id,account_id,month,aop_amount
731,257482651313,2025-02-01,0.0
732,257482651313,2025-03-01,0.0
793,273914427098,2024-04-01,0.0
794,273914427098,2024-05-01,0.0
795,273914427098,2024-06-01,0.0
796,273914427098,2024-07-01,0.0
797,273914427098,2024-08-01,0.0
798,273914427098,2024-09-01,0.0
799,273914427098,2024-10-01,0.0
800,273914427098,2024-11-01,0.0
801,273914427098,2024-12-01,0.0
802,273914427098,2025-01-01,0.0
803,273914427098,2025-02-01,0.0
804,273914427098,2025-03-01,0.0
805,285697138146,2024-04-01,0.0
806,285697138146,2024-05-01,0.0
807,285697138146,2024-06-01,0.0
808,285697138146,2024-07-01,0.0
809,285697138146,2024-08-01,0.0
810,285697138146,2024-09-01,0.0
811,285697138146,2024-10-01,0.0
812,285697138146,2024-11-01,0.0
813,285697138146,2024-12-01,0.0
814,285697138146,2025-01-01,0.0
815,285697138146,2025-02-01,0.0
816,285697138146,2025-03-01,0.0
889,335470755647,2024-04-01,0.0
890,335470755647,2024-05-01,0.0
891,335470755647,2024-06-01,0.0
892,335470755647,2024-07-01,0.0
893,335470755647,2024-08-01,0.0
894,335470755647,2024-09-01,0.0
895,335470755647,2024-10-01,0.0
896,335470755647,2024-11-01,0.0
897,335470755647,2024-12-01,0.0
898,335470755647,2025-01-01,0.0
899,335470755647,2025-02-01,0.0
900,335470755647,2025-03-01,0.0
961,339712993293,2024-04-01,0.0
962,339712993293,2024-05-01,10000.0
963,339712993293,2024-06-01,10000.0
964,339712993293,2024-07-01,10000.0
965,339712993293,2024-08-01,10000.0
966,339712993293,2024-09-01,10000.0
967,339712993293,2024-10-01,10000.0
968,339712993293,2024-11-01,10000.0
969,339712993293,2024-12-01,10000.0
970,339712993293,2025-01-01,10000.0
971,339712993293,2025-02-01,10000.0
972,339712993293,2025-03-01,10000.0
1081,383289569650,2024-04-01,0.0
1082,383289569650,2024-05-01,0.0
1083,383289569650,2024-06-01,0.0
1084,383289569650,2024-07-01,0.0
1085,383289569650,2024-08-01,0.0
1086,383289569650,2024-09-01,0.0
1087,383289569650,2024-10-01,0.0
1088,383289569650,2024-11-01,0.0
1089,383289569650,2024-12-01,0.0
