"Linked account","352506242819","628412515026","340077773684","567423616371","304016915943","002637409966","968032760053","424503791295","899249751508","272415727726","075790327284","211125458732","898496923608","445736908015","564188254156","381491835802","705108899578","811134095225","755560366148","359716425895","003079193758","901553615594","210577074618","479671683529","746682193773","211125515568","423969094700","761904723706","182401677120","975049957371","752518464574","753168370952","021891570382","337891198417","419830208690","929265682896","161115069565","647564693872","522974168642","233815244996","028914776520","758230397644","546818093346","576293063887","252197745876","251917288737","495419344110","474140895141","789596305652","239103975135","072401294672","340677782776","471112958605","480732456233","339712810712","407648374860","984308723723","339712759199","469795226344","885068115609","318633126153","442447453008","952840895893","685585466397","698979518480","090436275138","505767364771","337158390682","615069360012","997924011427","131752971524","068930846606","066636274316","562921704166","097001033170","064619502227","848332057417","718893572916","914516902729","127247839315","722152247093","736384229724","664526282133","611670160261","439726107081","821240137883","368920154232","625612021127","135329050410","054736913503","824873459626","066548792077","954976288980","465354398947","272968093320","153518195166","494799526181","481935107677","389881277731","017820698743","745098155683","630307967658","492902601864","239666495852","510772292268","218943325897","658447621694","548411824430","130653941854","367464822874","541095382258","320811487590","661338130494","453914767997","576911611801","737499001343","841860372390","116631508635","264522784930","850995531967","322263815270","185774682289","470060591194","463470958933",""
"Linked account name","payments-platform_prod_ocl ($)","Datalake AWS ($)","Paytm Financial Services ($)","parent account_ocl ($)","payments-data-rtdd_prod_ocl ($)","user-management-prod ($)","Fraud AWS ($)","merchant-payments-api_prod_ocl ($)","PayTm DaaS ML ($)","Paytm Ads ($)","cdp_growth marketing_ocl ($)","tpap-prod ($)","games_pfg ($)","recharge bill payments_ocl ($)","Lending DataScience ($)","uth-prod ($)","daas-managed-services ($)","AWS DaaS ($)","SAP-HANA ($)","Travel Aws ($)","IOT Prod ($)","merchantdashboards ($)","recon_prod_ocl ($)","cdp risk_ocl ($)","cds ($)","risk-ocl-tpap ($)","pai_push_ocl ($)","kyb ($)","onboardingengine ($)","tpap-dwh ($)","User Preferences System ($)","hawkeye_ocl ($)","risk-lending ($)","digital_cst ($)","AaaS-prod ($)","payment-non-prod ($)","infosec-soc ($)","aml-prod ($)","paytmchat_ocl ($)","payment-platform_nonprod_ocl ($)","edc_prod_ocl ($)","Mall Bangalore ($)","verifierAWS ($)","digital_insurance ($)","AWS InfoSec ($)","IT Production ($)","incentive ($)","Enterprise SMS ($)","regular_mf ($)","QR ($)","Oauth AWS ($)","aoa-prod ($)","lending-dwh ($)","dms-prod_ocl ($)","tpap-nonprod ($)","IT_BACKUP ($)","commonsaas_ocl ($)","feature-store-ocl ($)","billing account_ocl ($)","pai-sre ($)","AWS SMS ($)","Digital Gold ($)","User Management ($)","recon_nonprod_ocl ($)","central_pipeline_ocl ($)","Digital Channels ($)","risk anomaly ($)","dap_ocl ($)","merchant-ra-automation ($)","ckyc ($)","tocom-aws ($)","emi-prod_ocl ($)","webnmweb_ocl ($)","paytm-ups ($)","smartretail_ocl ($)","CentralToolsPlatform ($)","mloyal_prod ($)","AaaS-nonprod ($)","finance_support_ocl ($)","Sysops AWS ($)","paytm_app_ocl ($)","cloudsecurity-logs ($)","Paytm Labs ($)","emi-nonprod ($)","risk-verifier-nonprod ($)","edc_non prod_ocl ($)","central_app_tech_ocl ($)","aoa-nonprod ($)","CityBus ($)","scp-mgv ($)","miniapps_ocl ($)","IOT Core ($)","tocom-aisensy ($)","aml-nonprod ($)","legalapps ($)","cdo-non-prod ($)","AWS_Paytm'Mloyal ($)","DaaS-Apps ($)","merchant-business ($)","risk-devops-tools ($)","merchant_automation ($)","dms-nonprod_ocl ($)","ncmc_acquirer_ocl ($)","paytmhealth_ocl ($)","cdo-dre ($)","devopscommon ($)","hrtech_ocl ($)","pocketurmoney ($)","insurance-ds ($)","One97 IT ($)","Card Tokenization ($)","dev-projects ($)","telco-testing ($)","risk-monitoring ($)","poc_infra_testing_ocl ($)","call-centre-ivr ($)","fastag issuer_prod_ocl ($)","fastag_non prod_ocl ($)","AWS DNS ($)","cst-playground ($)","PM-EduTech-Prod ($)","pml-chat-dev ($)","edutech ($)","New Gold ($)","Total costs ($)"
"Linked account total","458798.1899848234","361410.0786617832","158573.4724692187","135161.0591902916","129745.1636537044","124121.5801769791","123427.6392105898","103191.6056272585","101546.3842497385","81500.5438844546","79185.4379945057","75135.1702783859","70066.8646184974","67127.9896452829","61555.6694784843","61308.1969830377","43980.5531524443","42889.6165531828","42472.7758864134","42345.1523504655","41657.7283065207","38303.9565070295","34844.1357668346","31993.7648131555","27867.5782075502","27428.9259251476","26583.447423932","26326.8019246254","21155.5011740959","19151.3837848625","19069.9088623515","17577.332016741","16768.2438326857","15888.477218665","14946.814974453","13907.4022260158","12639.0843212022","12489.7432129401","12355.2742281337","12075.1958213831","11116.329625588","10671.1653294849","10620.2055402016","10088.0388930447","9098.1786048476","8823.928821294","7105.5999578086","6963.537615966","6785.1402879343","6147.8640016603","5780.0268391312","5497.2552143272","5437.8725607545","5361.1311450275","5214.5294961873","5109.5556306961","5032.052138682","5003.0334450615","4925.0603689685","4594.9736611228","4502.3398478477","4250.4537756259","4039.7990944714","3926.2842692704","3919.0290335567","3833.2716654662","3668.6989284449","3449.4348128455","3379.1787823063","3212.063666636","2775.0466347728","2746.7000628392","2668.1544351258","2602.9007483415","2512.6203045643","2486.22065144","2284.4122190975","2225.1065767792","2198.6144969284","2025.9614498749","1989.6611940711","1929.7615363921","1779.338372685","1563.809079881","1529.3440206247","1359.5179698491","1114.3752154495","1092.9849970477","1059.6863616983","1051.3215067563","1032.8068647549","937.0216071589","933.9226964441","926.6963659167","912.3712918892","727.3349362315","716.6462214124","685.6926949406","584.0861904809","562.9441591789","481.727568746","464.0489496138","445.2277649259","406.6159347398","406.1738904468","269.4292782356","260.8072535594","219.6116259769","217.8937856814","215.8319689796","214.8217913346","163.9396629755","162.9219209708","116.2395377184","115.4767181042","88.8456693459","56.8358351982","55.3724444562","40.5333405199","3.1311224785","2.3252476574","2.0839269148","2.0106128511","1.0104903775","3035557.854856561"
"2025-04-01","458798.1899848234","361410.0786617832","158573.4724692187","135161.0591902916","129745.1636537044","124121.5801769791","123427.6392105898","103191.6056272585","101546.3842497385","81500.5438844546","79185.4379945057","75135.1702783859","70066.8646184974","67127.9896452829","61555.6694784843","61308.1969830377","43980.5531524443","42889.6165531828","42472.7758864134","42345.1523504655","41657.7283065207","38303.9565070295","34844.1357668346","31993.7648131555","27867.5782075502","27428.9259251476","26583.447423932","26326.8019246254","21155.5011740959","19151.3837848625","19069.9088623515","17577.332016741","16768.2438326857","15888.477218665","14946.814974453","13907.4022260158","12639.0843212022","12489.7432129401","12355.2742281337","12075.1958213831","11116.329625588","10671.1653294849","10620.2055402016","10088.0388930447","9098.1786048476","8823.928821294","7105.5999578086","6963.537615966","6785.1402879343","6147.8640016603","5780.0268391312","5497.2552143272","5437.8725607545","5361.1311450275","5214.5294961873","5109.5556306961","5032.052138682","5003.0334450615","4925.0603689685","4594.9736611228","4502.3398478477","4250.4537756259","4039.7990944714","3926.2842692704","3919.0290335567","3833.2716654662","3668.6989284449","3449.4348128455","3379.1787823063","3212.063666636","2775.0466347728","2746.7000628392","2668.1544351258","2602.9007483415","2512.6203045643","2486.22065144","2284.4122190975","2225.1065767792","2198.6144969284","2025.9614498749","1989.6611940711","1929.7615363921","1779.338372685","1563.809079881","1529.3440206247","1359.5179698491","1114.3752154495","1092.9849970477","1059.6863616983","1051.3215067563","1032.8068647549","937.0216071589","933.9226964441","926.6963659167","912.3712918892","727.3349362315","716.6462214124","685.6926949406","584.0861904809","562.9441591789","481.727568746","464.0489496138","445.2277649259","406.6159347398","406.1738904468","269.4292782356","260.8072535594","219.6116259769","217.8937856814","215.8319689796","214.8217913346","163.9396629755","162.9219209708","116.2395377184","115.4767181042","88.8456693459","56.8358351982","55.3724444562","40.5333405199","3.1311224785","2.3252476574","2.0839269148","2.0106128511","1.0104903775","3035557.854856561"
