service_id,service_name,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25
28,QuickSight,"2,237.9217","2,241.1474","2,307.7419","2,290.1172","2,235.3200","2,271.2200","2,296.0942","2,312.5534","2,331.3200","2,449.0347","2,605.3143","2,661.1901"
29,Lambda,"3,117.5411","2,512.4240","2,426.7048","2,463.9200","2,549.5414","1,979.2407","2,146.2062","2,019.8740","2,230.0975","2,248.5290","2,097.8104","2,255.8379"
30,Config,"1,077.6720","1,300.3720","1,289.2020","2,168.0700","2,386.9450","1,808.2570","2,023.4400","2,074.3480","2,517.4340","3,263.4990","3,427.8920","2,630.8240"
31,Textract,"6,745.8096",900.0405,460.4985,778.2045,780.4470,"1,135.1775","1,558.1556","1,347.9420","1,535.0604","1,614.4738","1,016.8485","3,456.7878"
32,Transfer Family,"1,512.0885","1,751.6623","1,927.6909","1,862.1265","1,562.7672","1,545.5022","1,785.8531","1,728.2560","1,786.2912","1,786.3965","1,613.8986","1,786.4360"
33,Athena,"2,237.3142","2,123.8895","2,085.2994","1,756.0853","1,949.6956","1,952.9007","2,060.5850","1,893.8993","1,646.5125",790.9416,685.5418,724.4187
34,Rekognition,"1,051.8632","1,190.1932","1,154.9782","1,412.9979","1,541.0497","1,636.8595","1,825.1122","1,850.1537","2,018.6277","2,053.3305","1,663.6315","1,927.6304"
35,VM-Series Next-Gen Virtual Firewall w/Advanced Threat Prevention (PAYG),"1,555.2000","1,607.0400","1,555.2000","1,605.9600","1,605.9600","1,555.2000","1,605.9600","1,555.2000","1,607.0400","1,607.0400","1,451.5200","1,607.0400"
36,GuardDuty,0.0513,75.2518,"1,971.5150","1,906.4754","1,765.2367","1,666.8273","1,716.8431","1,702.0304","1,766.0729","1,756.3304","1,648.2170","1,768.4952"
37,WorkSpaces,"3,241.8372",968.9415,981.4000,"1,113.2200","1,326.6511","1,451.7152","1,144.7200","1,574.7432","2,105.6731","1,202.9100","1,130.1600","1,016.6572"
38,Systems Manager,0.0611,0.0620,0.0569,0.0646,0.0664,0.0582,0.0632,"1,402.5554","2,491.6907","2,656.6537","3,222.0518","3,401.5248"
39,Cost Explorer,"1,174.3658",977.8502,986.6574,"1,144.0514",908.4619,"1,008.6367","1,003.3962",979.7650,"1,095.9790","1,048.0456","1,169.8571","1,066.9557"
40,Secrets Manager,963.8753,974.4313,983.6234,"1,025.2927","1,028.1582",990.9359,"1,010.3930","1,011.0431","1,032.7613","1,043.1172","1,062.9571","1,084.4747"
41,Kinesis Firehose,"1,462.7055","1,130.6421",809.9963,872.8260,893.5906,889.9641,922.8895,856.7601,926.7310,962.8870,920.5765,"1,057.5746"
42,Backup,934.6714,868.1244,854.1752,778.8662,738.4179,734.2094,742.5241,754.2154,"1,002.6878","1,278.4014","1,307.0411","1,313.8879"
43,Glue,875.2099,"2,098.4716","1,044.0575",916.3488,424.7865,630.0351,752.3842,873.3846,"1,010.3192",772.1466,758.6350,958.4941
44,Key Management Service,803.4714,897.9013,847.3815,842.8937,881.8574,914.9884,931.1397,925.6352,943.8004,954.3260,978.7152,"1,004.9377"
45,SES,613.4483,642.1031,570.1008,591.1669,554.9290,504.8679,501.6565,402.8013,465.1080,510.0603,493.3978,469.6986
46,SQS,511.3502,500.1525,509.7195,485.4816,573.5484,572.3826,513.0403,469.4216,565.1606,522.2346,454.0515,550.2829
47,CloudTrail,192.2266,926.7255,"2,564.9187",704.6693,188.9638,166.2169,170.7941,163.4340,170.9610,172.8113,172.8162,176.6886
48,Kinesis,416.2099,439.1982,428.8527,472.2227,482.1753,466.6231,482.1683,466.5793,482.1554,482.1701,435.4722,482.1407
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,367.2000,379.4400,367.2000,379.4400,392.1900,367.2000,379.4400,367.2000,379.4400,380.4600,342.7200,379.4400
50,WAF,"2,459.1810","1,189.2250",77.0582,85.6202,85.7296,77.1008,70.9697,56.4736,53.5852,54.0494,54.1209,84.6055
51,Directory Service,302.5576,312.1618,302.5283,312.5182,312.5155,302.5152,312.5386,302.3142,312.5548,312.4578,282.0073,312.2640
52,Step Functions,589.7148,858.4569,599.4047,78.3162,14.2596,14.1586,15.9238,16.3045,14.2718,13.6471,12.0651,13.2694
53,Savings Plans for  Machine Learning,0.0000,0.0000,0.0000,8.3732,19.9824,411.5056,"1,450.8727",0.0000,0.0000,0.0000,0.0000,0.0000
54,Lightsail,0.8191,0.8191,0.8191,10.7584,120.7570,103.1175,86.6533,104.4416,102.8919,131.1664,212.5340,279.7413
55,Service Catalog,10.1045,6.2643,22.7017,156.4969,184.1441,82.7582,263.4821,25.4247,29.4777,29.4252,25.0586,52.5840
56,Global Accelerator,72.0024,74.4013,72.0045,74.4014,74.4085,72.0031,74.4019,72.0019,74.4022,74.4021,67.2354,74.4024
57,Certificate Manager,0.0000,0.0000,0.0000,1.6256,396.9094,400.0000,43.5987,0.0000,0.0000,0.0000,0.0000,0.0000
58,Redshift,830.7618,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276,0.8276
59,Q,100.8000,104.1600,100.8000,104.1600,104.1600,100.8000,104.1600,17.7800,0.0000,0.0000,0.0000,0.0000
60,Resilience Hub,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000,60.0000
61,CloudFront,52.8857,41.8886,35.3022,45.0965,44.2040,39.6094,49.2127,45.9549,49.8524,57.1450,51.9176,51.2058
62,CloudWatch Events,60.7890,70.6350,61.4494,76.7839,70.5109,55.3925,33.4137,16.2990,18.0922,19.2145,18.1425,19.7937
63,DMS,133.9201,138.3841,46.3140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,Identity and Access Management Access Analyzer,0.0000,0.0000,0.0020,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,82.2000,92.2000,92.6000
65,CentOS 7 (ARM) with Support by Supported Images,0.0000,0.0000,61.6000,137.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,MongoDB Atlas (pay-as-you-go),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.0000
67,Elastic Container Service,9.1161,13.8120,13.0067,19.6896,13.7026,16.0864,15.0377,14.4138,13.2136,16.5551,13.5585,15.6028
68,SNS,13.1805,15.9967,20.0917,16.3855,22.4054,13.5902,10.7883,7.3397,7.6045,8.7392,9.5728,23.8715
69,End User Messaging,2.2660,2.1900,38.2110,15.2230,14.7270,9.0950,2.6210,4.7380,6.2810,3.2420,2.9630,4.3530
70,Elemental MediaLive,7.2000,7.4400,7.2000,7.4400,7.4400,7.2000,7.4400,7.2000,7.4400,7.4400,6.7200,7.4400
71,Websoft9 Applications Hosting Platform for Redash,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,71.7650,0.0000,0.0000,0.0000
72,Ubuntu Linux Desktop with Web Interface,0.0000,9.8400,28.7600,28.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
