id,account_id,month,spend,service_type
25,9124235587,2024-04-01,100.0,compute
26,9124235587,2024-05-01,200.0,compute
27,9124235587,2024-06-01,200.0,compute
28,9124235587,2024-07-01,200.0,compute
29,9124235587,2024-08-01,200.0,compute
30,9124235587,2024-09-01,200.0,compute
31,9124235587,2024-10-01,100.0,compute
32,9124235587,2024-11-01,100.0,compute
33,9124235587,2024-12-01,0.0,compute
34,9124235587,2025-01-01,0.0,compute
35,9124235587,2025-02-01,0.0,compute
36,9124235587,2025-03-01,0.0,compute
37,11420223908,2024-04-01,1600.0,compute
38,11420223908,2024-05-01,1500.0,compute
39,11420223908,2024-06-01,1400.0,compute
40,11420223908,2024-07-01,1700.0,compute
41,11420223908,2024-08-01,2900.0,compute
42,11420223908,2024-09-01,2900.0,compute
43,11420223908,2024-10-01,2600.0,compute
44,11420223908,2024-11-01,1700.0,compute
45,11420223908,2024-12-01,0.0,compute
46,11420223908,2025-01-01,0.0,compute
47,11420223908,2025-02-01,0.0,compute
48,11420223908,2025-03-01,0.0,compute
49,15680176265,2024-04-01,0.0,compute
50,15680176265,2024-05-01,0.0,compute
51,15680176265,2024-06-01,0.0,compute
52,15680176265,2024-07-01,100.0,compute
53,15680176265,2024-08-01,100.0,compute
54,15680176265,2024-09-01,0.0,compute
55,15680176265,2024-10-01,0.0,compute
56,15680176265,2024-11-01,0.0,compute
57,15680176265,2024-12-01,0.0,compute
58,15680176265,2025-01-01,0.0,compute
59,15680176265,2025-02-01,0.0,compute
60,15680176265,2025-03-01,0.0,compute
121,58264205572,2024-04-01,1000.0,compute
122,58264205572,2024-05-01,1000.0,compute
123,58264205572,2024-06-01,900.0,compute
124,58264205572,2024-07-01,1000.0,compute
125,58264205572,2024-08-01,1000.0,compute
126,58264205572,2024-09-01,1000.0,compute
127,58264205572,2024-10-01,1100.0,compute
128,58264205572,2024-11-01,1300.0,compute
129,58264205572,2024-12-01,2000.0,compute
130,58264205572,2025-01-01,2000.0,compute
131,58264205572,2025-02-01,2000.0,compute
132,58264205572,2025-03-01,2000.0,compute
133,58264391305,2024-04-01,5000.0,compute
134,58264391305,2024-05-01,5000.0,compute
135,58264391305,2024-06-01,4900.0,compute
136,58264391305,2024-07-01,5000.0,compute
137,58264391305,2024-08-01,4800.0,compute
138,58264391305,2024-09-01,4600.0,compute
139,58264391305,2024-10-01,4700.0,compute
140,58264391305,2024-11-01,4600.0,compute
141,58264391305,2024-12-01,0.0,compute
142,58264391305,2025-01-01,0.0,compute
143,58264391305,2025-02-01,0.0,compute
144,58264391305,2025-03-01,0.0,compute
157,65278587813,2024-04-01,5300.0,compute
158,65278587813,2024-05-01,5100.0,compute
159,65278587813,2024-06-01,4900.0,compute
160,65278587813,2024-07-01,4900.0,compute
161,65278587813,2024-08-01,4800.0,compute
162,65278587813,2024-09-01,4800.0,compute
163,65278587813,2024-10-01,4800.0,compute
164,65278587813,2024-11-01,4800.0,compute
165,65278587813,2024-12-01,4800.0,compute
166,65278587813,2025-01-01,4800.0,compute
167,65278587813,2025-02-01,4800.0,compute
168,65278587813,2025-03-01,4800.0,compute
265,123964038738,2024-04-01,17100.0,compute
266,123964038738,2024-05-01,17600.0,compute
267,123964038738,2024-06-01,16100.0,compute
268,123964038738,2024-07-01,16100.0,compute
269,123964038738,2024-08-01,15200.0,compute
270,123964038738,2024-09-01,14700.0,compute
271,123964038738,2024-10-01,15100.0,compute
272,123964038738,2024-11-01,14600.0,compute
273,123964038738,2024-12-01,14900.0,compute
274,123964038738,2025-01-01,14800.0,compute
275,123964038738,2025-02-01,14800.0,compute
276,123964038738,2025-03-01,14800.0,compute
289,128131020113,2024-04-01,2300.0,compute
290,128131020113,2024-05-01,2800.0,compute
291,128131020113,2024-06-01,4300.0,compute
292,128131020113,2024-07-01,5100.0,compute
293,128131020113,2024-08-01,2500.0,compute
294,128131020113,2024-09-01,2500.0,compute
295,128131020113,2024-10-01,2600.0,compute
296,128131020113,2024-11-01,2400.0,compute
297,128131020113,2024-12-01,2400.0,compute
298,128131020113,2025-01-01,5100.0,compute
299,128131020113,2025-02-01,5200.0,compute
300,128131020113,2025-03-01,5200.0,compute
349,155772818492,2024-04-01,30800.0,compute
350,155772818492,2024-05-01,29300.0,compute
351,155772818492,2024-06-01,20000.0,compute
352,155772818492,2024-07-01,22200.0,compute
353,155772818492,2024-08-01,21000.0,compute
354,155772818492,2024-09-01,0.0,compute
355,155772818492,2024-10-01,0.0,compute
356,155772818492,2024-11-01,0.0,compute
357,155772818492,2024-12-01,0.0,compute
