"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","Route 53($)","VPC($)","Elastic File System($)","CloudWatch($)","Elastic MapReduce($)","DynamoDB($)","Config($)","Elastic Container Service for Kubernetes($)","Direct Connect($)","SageMaker($)","QuickSight($)","EC2 Container Registry (ECR)($)","WAF($)","Elastic Container Service($)","Step Functions($)","Cost Explorer($)","Ubuntu Linux Desktop with Web Interface($)","Key Management Service($)","CloudFront($)","Glue($)","Secrets Manager($)","SQS($)","Claude 3 Sonnet ( Bedrock Edition)($)","Athena($)","Lambda($)","Service Catalog($)","SNS($)","FSx($)","Backup($)","CloudWatch Events($)","Bedrock($)","SES($)","Location Service($)","Simple Workflow Service($)","API Gateway($)","IoT($)","CloudShell($)","Glacier($)","CloudTrail($)","Migration Hub Refactor Spaces($)","SimpleDB($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","1773712.7948218044","853405.8659168076","143794.7146331338","124387.8259683284","31310.6445269291","21623.9450354039","13020.354753683","5927.5869658707","5458.4195103634","5129.4968089165","1634.679","1628.94927","1242.673451424","928.8259938245","287.9999974656","286.2590429644","251.9999985168","173.7865739678","138.616844987","117.46","66.68","60.8734374036","55.5184819422","47.0838501392","33.7520763358","27.5014990369","10.299162","8.206595","7.8454879666","5.2584","3.8999352555","3.4189453104","2.8752416627","1.248027","0.022698212","0.007411403","0.00437","0.0005853133","0.0000534406","0.000004992","1.629e-7","1.4e-9","0","0","0","0","0","2984797.395376969"
"2024-04-01","219229.1754052541","81086.4628710743","14634.9152523585","11671.4198397421","2683.8824015289","1696.8752308061","406.6718779382","481.3680939589","913.0230140106","427.4401284583","","144","216.1505485384","34.9487675933","24.000000192","22.7359878884","21.000000024","9.1161013479","8.8613616084","8.02","","4.487038032","7.2202827678","3.8787177247","2.8436372302","2.2425178839","","0.010455","0.5493692327","0.0763","0.4662149179","0.284912109","0.2295388775","0.108316","","0.0008010204","0.00036","0.0000500537","","","","","0","0","0","","","333742.4653931722"
"2024-05-01","200646.4793848693","77444.2895143698","14378.9133691272","11170.216062939","2860.8604772484","1854.8496198425","559.1324000234","473.9500525578","896.7253582098","427.4819033903","","148.8","133.8965118169","34.9945199005","23.999999616","23.0341652418","20.9999998128","13.8119577208","8.7258167036","8.54","9.84","4.513383936","7.7558540889","3.8575471262","2.8313447069","2.3404779939","","7.209275","0.9353368643","0.0616","0.520177584","0.2849121092","0.2295739566","0.129134","","0.0021033067","0.00038","0.0000528543","","","0.0000000289","","0","0","0","0","","311170.2122669458"
"2024-06-01","186468.0315306736","71880.4674215109","13333.9135728859","10678.7585305612","2700.1678592476","1803.7250200574","696.8584103335","456.5077326121","854.9346438638","427.440713539","","144","102.2520932897","42.5946030068","24.000000192","23.1243814903","21.000000024","13.0067476579","9.9809246717","7.03","28.76","4.4485004764","5.4309492607","3.8202799816","2.8083394524","2.2616035258","","0.35789","0.6707502662","0.161","0.2733985035","0.284912109","0.2302567896","0.12602","","0.0021030213","0.00034","0.0000462193","","","0.0000000306","","0","0","0","0","","289737.4305752538"
"2024-07-01","163081.0256101767","66571.4026965414","12149.8112346606","10447.3841316118","2759.4592468536","1832.8878808596","858.9987667638","435.2906800681","465.6144705068","427.4834516062","","148.8","90.534297779","42.1499423662","23.999999616","23.6363567362","20.9999998128","19.6896064545","13.2892511826","12.61","28.08","4.424805936","6.5258168384","3.8604832736","2.8237247069","2.3414075","","","0.6842218263","0.7833","0.2855101215","0.2849121092","0.2321587703","0.115266","","0.001102248","0.00037","0.0000535461","","","","","0","0","0","","","259475.5107564722"
"2024-08-01","139185.5740817979","64681.6830243223","11295.4422891658","10104.3594371423","2748.1861466096","1731.5107163043","1044.8883925153","437.9942950091","293.5699850964","427.4828886402","","148.8","89.28","31.4535305215","23.999999616","23.7316893821","20.9999998128","13.7025505961","12.400154357","6.44","","4.438095936","5.7354840468","4.0224555163","2.812086266","2.3390019073","","0.628975","0.6245983795","0.9527","0.2620856552","0.2849121092","0.2353866832","0.090842","","0.0006012804","0.00038","0.0000529167","","0.000004992","","","0","","0","","0","232343.9268435773"
"2024-09-01","139492.8120905028","62516.583263357","11192.6285317635","9972.551340177","2524.0139912751","1731.2664906891","1253.335082788","434.1766607214","300.4312961412","427.4408556943","","144","86.4","41.3937947","24.000000192","24.0979053507","21.000000024","16.0864177991","12.3498444508","9.81","","4.409791032","4.573767487","3.8214149816","2.8012933413","2.260833","","","0.5888270277","0.5061","0.2272043509","0.284912109","0.2393638819","0.096278","","0.0002004289","0.00036","0.0000459848","0.000012766","","","0.0000000014","0","","0","","","230244.1879700185"
"2024-10-01","128347.1245836187","69469.9468315758","11289.1692347982","10397.3168552035","2587.4399895109","1820.3836440219","1456.6498469711","435.2441820861","293.2704427734","427.4826071572","","148.8","89.28","160.5088721728","23.999999616","24.2821281661","20.9999998128","15.0377137136","13.8602641892","10.07","","4.452387592","4.6428647043","4.02306066","2.8100528251","2.3393948","","","0.630249308","1.5078","0.2549329695","0.2849121092","0.2419723114","0.109684","","","0.00038","0.0000532679","","","0.0000000703","","0","","0","","0","227052.164940005"
"2024-11-01","126514.0076680712","68394.3266373249","11074.2819588295","9902.0608759191","2389.5424488413","1732.5724061332","1658.1580493449","423.2343809818","338.6894790498","427.4399830975","","223.978900695","86.4","18.879999984","24.000000192","24.323286096","21.000000024","14.4137571589","14.2775555382","9.87","","4.419799032","4.2694948815","3.9876339808","2.8081383413","2.2616993","","","0.705493233","0.2016","0.2722363311","0.284912109","0.2450131596","0.104422","","","0.00036","0.0000503859","","","","","0","","0","","0","223311.0182400355"
"2024-12-01","128010.7356923581","74542.1946238499","11183.076460505","10796.2947750981","2478.6280248984","1879.4527137548","1855.4379674311","423.4716691879","262.0186174776","427.4827478987","","148.8","89.28","44.124692544","23.999999616","24.3232856208","20.9999998128","13.213553417","12.3868661742","10.01","","5.645947348","2.2350449513","3.8590702736","2.8127065887","2.336184442","","","0.7271216527","0.231","0.4088746377","0.2849121092","0.2472774309","0.118828","","","0.00036","0.0000513013","0.0000112199","","","","0","","0","0","0","232264.8390795997"
"2025-01-01","121884.0719970195","76791.702192577","11205.2132896311","10282.3434276934","2579.5322545859","1899.8735050278","2009.0074673807","566.5194633869","293.3135491206","427.4830293817","672.828","148.8","89.28","45.6063039191","23.999999616","24.3232856208","20.9999998128","16.5551041765","11.7858559543","10.56","","6.647516904","2.8626981192","4.01792766","2.8066331478","2.335617042","1.282131","","0.6403919452","0.2317","0.3802661453","0.2849121092","0.2481552956","0.096212","0.022698212","0.0005000973","0.00037","0.0000488722","0.00000477","","","","0","","0","","0","229025.6565082239"
"2025-02-01","116020.0033416191","69085.3306415909","11024.5941445066","9256.9038256103","2420.220482261","1749.2653147715","1221.1626868362","785.7195739145","277.9049881524","427.3555142224","961.851","80.170369305","80.64","61.9017693091","23.9999993856","24.3232857504","20.9999997312","13.5584870356","9.9022855395","9.46","","6.4700512752","2.3594662685","3.9173423008","2.7993950223","2.1094135","8.830581","","0.5434323581","0.2002","0.3642218737","0.28491211","0.2505006934","0.075456","","","0.00035","0.0000440612","0.0000246847","","","","0","","0","0","0","213583.4731006892"
