"Service","EC2-Other($)","EC2-Instances($)","S3($)","Elastic Load Balancing($)","CloudWatch($)","Elastic File System($)","VPC($)","ElastiCache($)","Network Firewall($)","OpenSearch Service($)","Direct Connect($)","DynamoDB($)","Elastic Container Service for Kubernetes($)","Athena($)","SQS($)","Backup($)","QuickSight($)","Lambda($)","Key Management Service($)","Global Accelerator($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","WAF($)","Route 53($)","Cost Explorer($)","Service Catalog($)","Config($)","CloudWatch Events($)","SNS($)","Glue($)","Relational Database Service($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","IoT($)","CloudShell($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","833306.7609412919","617962.8222066358","154658.5834562222","40651.9390518688","34207.8590602929","22607.4964657858","21113.124703162","16293.6","10667.5693313103","7469.3593180273","6446.3701857672","2447.1021153358","1853.07208872","1812.12624","1128.1150938455","1057.8413559806","864.2999923968","780.9303243706","400.9671823195","219.0321080302","176.3346037744","120.5446969274","71.9999993664","33.3032398","26.58","5.068","2.796","2.003034","0.6130865352","0.073354106","0.040120119","0.0005825314","0.0005369933","0.000156","0.000033732","2.34e-8","0","0","0","1776388.3286652719"
"2024-04-01","82864.9688134349","55367.6452081841","13414.8415440722","3436.0058627765","2718.764164295","2061.0608340297","1851.5285454971","1339.2","1692.1059293162","614.0463894903","1083.6315914658","199.7527453157","258.21594597","99.392385","62.8187597294","207.860677502","72.000000576","62.6105789401","29.257024896","18.0008216446","27.3837866826","0.2998098","6.000000048","0.8022296","2.33","0.0847","0.309","0.169433","0.0552885348","0.0046140192","0.003343536","0.0000495894","0.0000275933","0.000156","0.000033732","","0","0","","167491.1502942709"
"2024-05-01","74535.8955568021","49437.0557982338","13100.1452654858","3274.4321506649","2545.5204094545","1922.5458052416","1825.9832640261","1383.84","1460.3661541076","634.2071408621","1167.7276508993","205.4788059673","135.65614275","121.640805","89.8027561701","116.669769191","71.999998848","57.1880622459","29.581339536","18.6006531975","13.4180809814","1.5702669697","5.999999904","2.4135048","1.73","0.0616","0.078","0.141505","0.058933517","0.0049212128","0.003343536","0.0000523799","0.0000286224","","","","0","","","152159.8177656068"
"2024-06-01","75435.1419843534","47157.2947193803","12986.8532972172","3503.3865999848","2444.2383542825","1843.3500159042","1766.0920465389","1339.2","1552.7264902608","614.0469255205","1421.627613871","198.7345367394","144","131.70925","67.7385243303","90.2802195721","72.300000576","54.9077652555","30.0478175697","18.0022102282","13.4996166428","3.448732771","6.000000048","2.4453338","0.98","0.1582","0.522","0.126606","0.0438941398","0.0049980192","0.003343536","0.0000462438","0.000024907","","","","0","","","150898.9111676924"
"2024-07-01","74116.8868110287","46128.0841738378","13050.2309335684","3617.4608726218","2541.2290471457","1812.7202087582","1781.4648371066","1383.84","733.7277277208","634.2064806052","1092.7083208654","201.5646097528","148.8","151.043815","92.0709962271","76.8743384216","71.999998848","61.2202770308","32.03271584","18.6006948191","13.608531141","8.8713732814","5.999999904","2.4244926","0.58","0.7917","0.576","0.129258","0.0556742494","0.0077592128","0.003343536","0.0000540093","0.0000428722","","","","0","","","147779.8150880041"
"2024-08-01","69900.640761805","47088.7402736437","13927.0003310384","3678.2428673152","2620.0604790825","1834.3048872843","1771.1859815667","1383.84","668.5933325702","634.2069498932","220.9422805219","210.3066572438","148.8","172.34243","135.2675344","67.1605393974","71.999998848","60.1619400124","33.509822472","18.6035557797","13.4871692055","12.3523425969","5.999999904","0.909786","0.41","0.9338","0.342","0.163454","0.0569779094","0.00882918","0.003343536","0.0000519698","0.0000607495","","","0.0000000234","0","","","144680.5784379489"
"2024-09-01","63423.3238773322","49123.8196489651","11434.6639307248","3875.7797583418","2583.9788247724","1778.6652054395","1787.0178684671","1339.2","642.8867034671","614.0466797731","212.5223744439","204.629648516","144","184.87681","99.5486413761","59.8885202344","72.000000576","58.3038632246","33.500499264","18.0007127232","13.4104749761","12.782522736","6.000000048","0.8667488","2.99","0.4935","0.171","0.170045","0.0469025592","0.0062930184","0.003343536","0.0000469495","0.0000528686","","","","0","0","","137727.5944981331"
"2024-10-01","64979.9881285981","53736.6796557195","11905.2212120808","3467.8865389058","2913.9069900057","1828.230632827","1873.8363404887","1383.84","667.4055382742","634.2072699175","217.0126703133","207.3835782172","148.8","205.995485","100.0426164","59.0957989846","71.999998848","72.914173279","33.462980634","18.6009528372","13.4708453345","12.7825224912","5.999999904","19.6071934","3.9","1.4308","0.006","0.192651","0.0617737454","0.00986318","0.003343536","0.0000537688","0.000058156","","","","0","","0","144583.9756658465"
"2024-11-01","65159.3248587139","51944.4394316724","12250.7132564773","3052.288117763","3219.6136812095","1802.2772688903","1809.4390130434","1339.2","647.7933917148","614.046600458","219.9912998467","198.6929091215","144","223.07706","114.5036776","62.632425353","72.000000576","68.0436934048","33.7159060438","18.0009671326","13.4575849761","12.782522736","6.000000048","0.6187576","2.07","0.1848","0.486","0.178508","0.0490383289","0.0065430192","0.003343536","0.0000503953","0.0000532887","","","","0","","0","143029.6307609492"
"2024-12-01","65595.9905522455","54109.0901721785","12596.4203975687","3046.8143990263","3240.2298089466","1878.093458365","1803.982595316","1383.84","667.5648778233","634.2065445902","230.2694364472","210.5296198117","148.8","248.7421","170.4198612","66.443058971","71.999998848","63.8198721711","35.491382452","18.6011364339","13.415286141","12.7825224912","5.999999904","0.5541682","1.83","0.2107","0.099","0.179514","0.0498418039","0.0063102128","0.003343536","0.0000517748","0.0000543442","","","","0","","0","146256.4800648029"
"2025-01-01","66491.2135274767","55309.1704412036","12941.5348073784","3044.6385344232","3701.8887188537","1961.5249327197","1706.7781439618","1383.84","663.4819224028","634.2065698772","230.9940987005","209.1660871519","148.8","264.302795","88.2057255575","74.7776535974","71.999998848","70.8207054282","36.552347424","18.6011364354","13.5462657087","13.2621363784","5.999999904","0.6914752","2.47","0.2121","0.006","0.1764","0.0486161738","0.004997554","0.0033412902","0.0000488706","0.0000509336","","","","0","","0","149088.9195784533"
"2025-02-01","67035.0384862887","52412.5343630899","13258.249028887","3559.0149782261","2753.9042684098","1853.2182134668","1509.4106829168","1249.92","604.4565292707","573.7256179445","171.2460023213","189.4475567579","134.4","9.003305","51.8218872","83.239017132","71.9999981568","74.2106690932","36.515489616","16.8180879951","13.8266906888","14.4889294624","5.9999998464","1.4308756","3.78","0.1827","0.024","0.160885","0.0416191221","0.0052020176","0.0033434688","0.0000435925","0.0000460401","","","","0","","0","145688.1185166113"
