account_id,month,spend
352506242819,Apr-2024,926594
628412515026,Apr-2024,424243
340077773684,Apr-2024,220210
567423616371,Apr-2024,333742
968032760053,Apr-2024,174475
002637409966,Apr-2024,196285
304016915943,Apr-2024,179160
424503791295,Apr-2024,167491
899249751508,Apr-2024,137824
272415727726,Apr-2024,110477
075790327284,Apr-2024,128496
211125458732,Apr-2024,31625
381491835802,Apr-2024,24098
898496923608,Apr-2024,111248
445736908015,Apr-2024,102439
564188254156,Apr-2024,117918
705108899578,Apr-2024,63528
755560366148,Apr-2024,48345
811134095225,Apr-2024,50876
359716425895,Apr-2024,57967
003079193758,Apr-2024,48625
901553615594,Apr-2024,58660
210577074618,Apr-2024,18017
479671683529,Apr-2024,51536
423969094700,Apr-2024,43002
746682193773,Apr-2024,95015
761904723706,Apr-2024,31322
211125515568,Apr-2024,14930
647564693872,Apr-2024,16597
182401677120,Apr-2024,27750
975049957371,Apr-2024,2969
337891198417,Apr-2024,4687
752518464574,Apr-2024,21520
929265682896,Apr-2024,25775
021891570382,Apr-2024,0
419830208690,Apr-2024,32812
753168370952,Apr-2024,28435
161115069565,Apr-2024,18181
233815244996,Apr-2024,24384
522974168642,Apr-2024,17391
28914776520,Apr-2024,17371
546818093346,Apr-2024,34050
758230397644,Apr-2024,21130
252197745876,Apr-2024,12442
576293063887,Apr-2024,10274
251917288737,Apr-2024,12383
474140895141,Apr-2024,14244
239103975135,Apr-2024,9297
789596305652,Apr-2024,5384
072401294672,Apr-2024,9416
495419344110,Apr-2024,9499
339712759199,Apr-2024,0
340677782776,Apr-2024,9456
984308723723,Apr-2024,8671
407648374860,Apr-2024,6728
480732456233,Apr-2024,6848
885068115609,Apr-2024,6505
339712810712,Apr-2024,4692
318633126153,Apr-2024,6192
090436275138,Apr-2024,8939
952840895893,Apr-2024,8348
442447453008,Apr-2024,4646
66548792077,Apr-2024,1464
685585466397,Apr-2024,5651
337158390682,Apr-2024,6875
471112958605,Apr-2024,654
698979518480,Apr-2024,9435
615069360012,Apr-2024,2997
997924011427,Apr-2024,5233
68930846606,Apr-2024,4204
131752971524,Apr-2024,3057
66636274316,Apr-2024,3286
64619502227,Apr-2024,3339
562921704166,Apr-2024,3630
97001033170,Apr-2024,3334
848332057417,Apr-2024,2727
718893572916,Apr-2024,2622
914516902729,Apr-2024,842
736384229724,Apr-2024,3537
127247839315,Apr-2024,2268
722152247093,Apr-2024,3285
664526282133,Apr-2024,2345
611670160261,Apr-2024,2209
439726107081,Apr-2024,1706
821240137883,Apr-2024,2856
469795226344,Apr-2024,112223
368920154232,Apr-2024,1871
135329050410,Apr-2024,1174
54736913503,Apr-2024,3242
824873459626,Apr-2024,1805
625612021127,Apr-2024,3007
465354398947,Apr-2024,1301
272968093320,Apr-2024,1400
494799526181,Apr-2024,1668
153518195166,Apr-2024,1250
481935107677,Apr-2024,1022
505767364771,Apr-2024,277
389881277731,Apr-2024,1034
17820698743,Apr-2024,0
954976288980,Apr-2024,0
130653941854,Apr-2024,1719
630307967658,Apr-2024,874
745098155683,Apr-2024,819
492902601864,Apr-2024,3138
239666495852,Apr-2024,550
510772292268,Apr-2024,926
367464822874,Apr-2024,177
218943325897,Apr-2024,327
658447621694,Apr-2024,399
541095382258,Apr-2024,2088
548411824430,Apr-2024,323
576911611801,Apr-2024,247
320811487590,Apr-2024,220
661338130494,Apr-2024,214
453914767997,Apr-2024,157
737499001343,Apr-2024,113
116631508635,Apr-2024,1796
264522784930,Apr-2024,46
841860372390,Apr-2024,1633
850995531967,Apr-2024,0
322263815270,Apr-2024,2
185774682289,Apr-2024,1
470060591194,Apr-2024,1
463470958933,Apr-2024,0
663804405009,Apr-2024,14048
290310562512,Apr-2024,2315
700271710604,Apr-2024,3012
518207312579,Apr-2024,604
471112938013,Apr-2024,361
654654315008,Apr-2024,1133
161282784430,Apr-2024,2964
538615689396,Apr-2024,365
975049937880,Apr-2024,123
798411736697,Apr-2024,1616
608146213544,Apr-2024,730
23903256547,Apr-2024,152
769263341944,Apr-2024,447
475919677060,Apr-2024,83
797142548187,Apr-2024,538
176839215860,Apr-2024,412
269350686318,Apr-2024,39
576218818919,Apr-2024,60
678670235450,Apr-2024,45
605458724602,Apr-2024,17
239937555916,Apr-2024,90
860971823470,Apr-2024,29
907058949943,Apr-2024,10
532041146482,Apr-2024,2
913203018054,Apr-2024,1
905418240150,Apr-2024,0
352506242819,May-2024,795864
628412515026,May-2024,406120
340077773684,May-2024,212634
567423616371,May-2024,311170
968032760053,May-2024,183385
002637409966,May-2024,196124
304016915943,May-2024,173013
424503791295,May-2024,152160
899249751508,May-2024,123022
272415727726,May-2024,95418
075790327284,May-2024,137665
211125458732,May-2024,58915
381491835802,May-2024,31395
898496923608,May-2024,120427
445736908015,May-2024,106433
564188254156,May-2024,119189
705108899578,May-2024,57710
755560366148,May-2024,50535
811134095225,May-2024,52358
359716425895,May-2024,58568
003079193758,May-2024,47753
901553615594,May-2024,54558
210577074618,May-2024,18213
479671683529,May-2024,44894
423969094700,May-2024,43716
746682193773,May-2024,96807
761904723706,May-2024,31425
211125515568,May-2024,19207
647564693872,May-2024,12368
182401677120,May-2024,28024
975049957371,May-2024,12419
337891198417,May-2024,5195
752518464574,May-2024,22210
929265682896,May-2024,25071
021891570382,May-2024,0
419830208690,May-2024,32015
753168370952,May-2024,28609
161115069565,May-2024,18224
233815244996,May-2024,21333
522974168642,May-2024,18137
28914776520,May-2024,18748
546818093346,May-2024,32203
758230397644,May-2024,19709
252197745876,May-2024,13235
576293063887,May-2024,10809
251917288737,May-2024,10293
474140895141,May-2024,14799
239103975135,May-2024,9227
789596305652,May-2024,7374
072401294672,May-2024,9206
495419344110,May-2024,12682
339712759199,May-2024,476
340677782776,May-2024,8600
984308723723,May-2024,8840
407648374860,May-2024,7103
480732456233,May-2024,6748
885068115609,May-2024,5463
339712810712,May-2024,6539
318633126153,May-2024,6274
090436275138,May-2024,7851
952840895893,May-2024,6911
442447453008,May-2024,4779
66548792077,May-2024,1484
685585466397,May-2024,4932
337158390682,May-2024,6779
471112958605,May-2024,1971
698979518480,May-2024,7914
615069360012,May-2024,3217
997924011427,May-2024,4353
68930846606,May-2024,4740
