account_id,account_name,hod_name,entity,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
736384229724,cloudsecurity-logs,Amit Malhotra, OCL ,"3,395.82398197","3,429.78222179","3,464.08004401","3,498.72084445","3,533.70805290","3,569.04513342","3,604.73558476","3,640.78294061","3,677.19077001","3,713.96267771","3,751.10230449","3,788.61332753"
252197745876,AWS InfoSec,Amit Malhotra, OCL ,"14,635.06270523","14,781.41333228","14,929.22746561","15,078.51974026","15,229.30493766","15,381.59798704","15,535.41396691","15,690.76810658","15,847.67578765","16,006.15254552","16,166.21407098","16,327.87621169"
161115069565,infosec-soc,Amit Malhotra, OCL ,"17,844.84739824","18,023.29587222","18,203.52883094","18,385.56411925","18,569.41976044","18,755.11395805","18,942.66509763","19,132.09174860","19,323.41266609","19,516.64679275","19,711.81326068","19,908.93139328"
264522784930,AWS DNS,Amit Malhotra, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
647564693872,aml-prod,Akeshwar Jha, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
359716425895,Travel Aws,Anil Kundu, OCL ,"68,000.00000000","70,000.00000000","72,000.00000000","74,000.00000000","76,000.00000000","78,000.00000000","81,000.00000000","85,000.00000000","87,000.00000000","90,000.00000000","92,000.00000000","95,000.00000000"
135329050410,CityBus,anil Kundu, OCL ,"1,500.00000000","1,500.00000000","1,500.00000000","1,600.00000000","1,600.00000000","1,600.00000000","1,600.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,700.00000000"
769263341944,hotels,Anil Kundu, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
968032760053,Fraud AWS,Bhaskar Gopalan, Labs ,"243,700.00000000","246,300.00000000","248,900.00000000","156,100.00000000","158,800.00000000","161,500.00000000","164,200.00000000","167,100.00000000","169,900.00000000","174,800.00000000","177,700.00000000","180,700.00000000"
546818093346,verifierAWS,Bhaskar Gopalan, OCL ,"16,300.00000000","16,600.00000000","16,800.00000000",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
211125515568,risk-ocl-tpap,Bhaskar Gopalan, OCL ,"36,100.00000000","36,600.00000000","37,100.00000000","26,000.00000000","26,400.00000000","26,800.00000000","27,200.00000000","27,700.00000000","28,100.00000000","28,600.00000000","29,000.00000000","29,500.00000000"
608146213544,ppblmaquettepa-prod,Bhaskar Gopalan, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
439726107081,risk-verifier-nonprod,Bhaskar Gopalan, OCL ,"2,500.00000000","2,500.00000000","2,500.00000000",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
885068115609,pai-sre,Bhaskar Gopalan, Labs ,"6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000","6,500.00000000"
21891570382,Risk-Lending(new),Bhaskar Gopalan,OCL,"25,000.00000000","25,700.00000000","26,400.00000000","27,100.00000000","27,800.00000000","28,600.00000000","29,400.00000000","30,200.00000000","31,000.00000000","31,900.00000000","32,800.00000000","33,700.00000000"
767397937234,PPSL- risk,Bhaskar Gopalan,PPSL,"109,591.00000000","129,223.00000000","149,887.00000000","69,119.00000000","70,341.00000000","71,588.00000000","73,390.00000000","78,228.00000000","77,102.00000000","79,014.00000000","80,964.00000000","82,953.00000000"
017820698743,risk-devops-tools,Bhaskar Gopalan,OCL,"1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000","1,500.00000000"
339712759199,feature-store-ocl,Bruno Meira,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
746682193773,cds-clm,Bhaskar Gopalan,OCL,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
130653941854,insurance-ds,Bhaskar Gopalan, PIBPL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
465354398947,aml-nonprod,Akeshwar Jha, OCL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
532041146482,aml-ppsl-nonprod,Deepanshu Jain, PPSL ,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
914516902729,finance_support_ocl,Dheerendra Mishra, OCL ,"5,000.00000000","5,000.00000000","5,000.00000000","5,000.00000000","5,000.00000000","6,000.00000000","6,000.00000000","6,000.00000000","6,000.00000000","6,000.00000000","6,000.00000000","6,000.00000000"
625612021127,aoa-nonprod,Gagan Verma,OCL,"1,600.00000000","1,600.00000000","1,600.00000000","1,600.00000000","1,600.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,700.00000000","1,800.00000000"
340677782776,aoa-prod,Gagan Verma,OCL,"10,300.00000000","10,400.00000000","10,500.00000000","10,600.00000000","10,700.00000000","10,800.00000000","10,900.00000000","11,000.00000000","11,200.00000000","11,300.00000000","11,400.00000000","11,500.00000000"
541095382258,Card Tokenization,Gagan Verma,OCL,"1,900.00000000","2,000.00000000","2,000.00000000","2,000.00000000","2,000.00000000","2,000.00000000","2,100.00000000","2,100.00000000","2,100.00000000","2,100.00000000","2,100.00000000","2,200.00000000"
611670160261,emi-nonprod,Gagan Verma,OCL,"2,200.00000000","2,200.00000000","2,300.00000000","2,300.00000000","2,300.00000000","2,300.00000000","2,300.00000000","2,400.00000000","2,400.00000000","2,400.00000000","2,400.00000000","2,500.00000000"
068930846606,emi-prod_ocl,Gagan Verma,OCL,"4,500.00000000","4,500.00000000","4,600.00000000","4,700.00000000","4,700.00000000","4,800.00000000","4,900.00000000","4,900.00000000","5,000.00000000","5,100.00000000","5,200.00000000","5,200.00000000"
424503791295,merchant-payments-api_prod_ocl,Gagan Verma,OCL,"157,800.00000000","161,000.00000000","164,200.00000000","167,500.00000000","170,800.00000000","174,300.00000000","177,700.00000000","181,300.00000000","184,900.00000000","188,600.00000000","192,400.00000000","196,200.00000000"
929265682896,payment-non-prod,Gagan Verma,OCL,"27,400.00000000","27,800.00000000","28,200.00000000","28,600.00000000","29,100.00000000","29,500.00000000","29,900.00000000","30,400.00000000","30,800.00000000","31,300.00000000","31,800.00000000","32,200.00000000"
233815244996,payment-platform_nonprod_ocl,Gagan Verma,OCL,"20,700.00000000","20,900.00000000","21,200.00000000","21,400.00000000","21,600.00000000","21,800.00000000","22,000.00000000","22,200.00000000","22,500.00000000","22,700.00000000","22,900.00000000","23,100.00000000"
304016915943,payments-data-rtdd_prod_ocl,Gagan Verma,OCL,"180,100.00000000","182,800.00000000","185,600.00000000","188,300.00000000","191,200.00000000","194,000.00000000","196,900.00000000","199,900.00000000","202,900.00000000","205,900.00000000","209,000.00000000","212,200.00000000"
