"Service","VPC($)","EC2-Instances($)","EC2-Other($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","S3($)","Secrets Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudTrail($)","Glue($)","SNS($)","SQS($)","CloudFormation($)","Total costs($)"
"2024-05-08","4.4414075052","3.0993424305","2.0565676407","0.01","0","0.001722","0.0001067204","0.000125","0.0000014793","0.0000007488","","0","0","0","0","","9.6092735249"
"2024-05-09","4.4410915323","3.0993755974","2.0538326144","0.01","0","0.001764","0.00010672","0.000115","0.0000019724","0.0000009984","","0","0","0","0","","9.6062884349"
"2024-05-10","4.4412249294","3.0994127318","2.0557573155","0.01","0","0.001722","0.00010672","0.00013","0.0000014793","0.0000007488","","0","0","0","0","","9.6083559248"
"2024-05-11","4.4408577853","3.0992595668","2.0537451503","0.01","0","0.001764","0.0001067204","0.00013","0.0000019724","0.0000007488","","0","0","0","0","","9.605865944"
"2024-05-12","4.4407674783","3.0992558097","2.0564571854","0.01","0","0.001764","0.00010672","0.000115","0.0000019724","0.0000009984","","0","0","0","0","","9.6084691642"
"2024-05-13","4.4411328135","3.099268533","2.0539115629","0.01","0","0.001428","0.00010672","0.000105","0.0000014793","0.0000009984","","0","0","0","0","","9.6059551071"
"2024-05-14","4.4410368523","3.0992351307","2.0541025245","0.01","0","0.001764","0.0000967072","0.000125","0.0000014793","0.0000007488","","0","0","0","0","","9.6063624428"
"2024-05-15","4.4408995672","3.0992371521","2.0537013281","0.01","0","0.001428","0.0001617636","0.00012","0.0000019724","0.0000009984","","0","0","0","0","","9.6055507818"
"2024-05-16","4.4417058465","3.0993957783","2.0573183587","0.01","0","0.001722","0.0001517594","0.00012","0.0000014793","0.0000009984","","0","0","0","0","","9.6104162206"
"2024-05-17","4.4408616957","3.0992395234","2.054614439","0.01","0","0.001764","0.0001917909","0.000125","0.0000019724","0.0000009984","","0","0","0","0","","9.6067994198"
"2024-05-18","4.4407746722","3.099296805","2.0554190608","","0","0.001722","0.000191791","0.000125","0.0000019724","0.0000007488","","0","0","0","0","","9.5975320502"
"2024-05-19","4.4407681441","3.0992321149","2.0619193006","0.01","0","0.001722","0.000191791","0.000095","0.0000014793","0.0000009984","","0","0","0","0","","9.6139308283"
"2024-05-20","4.4409658812","3.0992414772","2.0544909624","0.01","0","0.001722","0.0001917909","0.00012","0.0000019724","0.0000009984","","0","0","0","0","","9.6067350825"
"2024-05-21","4.4412242834","3.0992510909","2.0538957333","0.01","0","0.001512","0.0001917909","0.00012","0.0000019724","0.0000009984","","0","0","0","0","","9.6061978693"
"2024-05-22","4.4461304028","3.0992723179","2.0547621671","0.01","0","0.00168","0.00010672","0.000115","0.0000014793","0.0000007488","","0","0","0","0","","9.6120688359"
"2024-05-23","4.4764174685","3.0993124737","2.0541484803","0.01","0","0.001722","0.0001917909","0.000125","0.0000019724","0.0000009984","","0","0","0","0","","9.6419201842"
"2024-05-24","4.4468065075","3.0992472735","2.0549353726","0.01","0","0.001638","0.0001917909","0.000115","0.0000019724","0.0000007488","","0","0","0","0","","9.6129366657"
"2024-05-25","4.4411400729","3.0991915014","2.0537056727","0.01","0","0.001302","0.0001917909","0.000075","0.0000014793","0.0000009984","","0","0","0","0","","9.6056085156"
"2024-05-26","4.4416266224","3.0992760057","2.0568113503","0.01","0","0.001722","0.000191791","0.00011","0.0000019724","0.0000009984","","0","0","0","0","","9.6097407402"
"2024-05-27","4.4418901586","3.0992365812","2.0540327988","0.01","0","0.001722","0.0002017953","0.000105","0.0000019724","0.0000007488","","0","0","0","0","","9.6071910551"
"2024-05-28","4.4427996999","3.1000629541","2.0595440063","0.01","0","0.001722","0.0001817867","0.000115","0.0000014793","0.0000009984","","0","0","0","0","","9.6144279247"
"2024-05-29","4.4407576639","3.0999147282","2.0569714696","0.01","0","0.001722","0.0015465942","0.000105","0.0000019724","0.0000007488","","0","0","0","0","","9.6110201771"
"2024-05-30","4.4411049755","3.0999090496","2.0557411916","0.01","0","0.001722","0.0020620857","0.000115","0.0000014793","0.0000009984","","0","0","0","0","","9.6106567801"
"2024-05-31","4.4411908567","3.099998099","2.0549758382","0.01","0","0.001722","0.0022321127","0.000105","0.0000019724","0.0000007488","","0","0","0","0","","9.6102266278"
"2024-06-01","4.3211340687","3.1000564627","2.0802988631","0.01","0","0.001599","0.0021470995","0.00011","0.0000014793","0.0000009984","","0","0","0","0","","9.5153479717"
"2024-06-02","4.4407548763","3.1000043953","2.0780853266","0.01","0","0.001599","0.0022321127","0.000095","0.0000019724","0.0000007488","","0","0","0","0","","9.6327734321"
"2024-06-03","4.4452899124","3.1000424723","2.078506383","0.01","0","0.001638","0.0018920589","0.000085","0.0000014793","0.0000009984","","0","0","0","0","","9.6374563043"
"2024-06-04","4.4448099333","3.1002384739","2.0785077228","0.01","0","0.001386","0.0018070457","0.0001","0.0000019724","0.0000009984","","0","0","0","0","","9.6368521465"
"2024-06-05","4.4729260912","3.1004555284","2.0881850536","0.01","0","0.001722","0.001886647","0.000095","0.0000014793","0.0000007488","","0","0","0","0","","9.6752725483"
"2024-06-06","4.5647950316","3.1044325801","2.1759960429","0.01","0","0.001344","0.0018070463","0.00011","0.0000019724","0.0000009984","","0","0","0","0","","9.8584876717"
"2024-06-07","4.4703731045","3.1004406794","2.2119785409","0.01","0","0.001512","0.0019770724","0.0001","0.0000019724","0.0000009984","","0","0","0","0","","9.796384368"
"2024-06-08","4.4408685154","3.1002259232","2.2239516112","0.01","0","0.001512","0.001892059","0.000085","0.0000014793","0.0000007488","","0","0","0","0","","9.7785373369"
