"Service","EC2-Instances($)","EC2-Other($)","Relational Database Service($)","ElastiCache($)","DocumentDB (with MongoDB compatibility)($)","Elastic Container Service for Kubernetes($)","S3($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic MapReduce($)","Elastic File System($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","Transfer Family($)","Route 53($)","DynamoDB($)","Backup($)","WAF($)","Key Management Service($)","Elastic Container Service($)","Cost Explorer($)","Service Catalog($)","SNS($)","Athena($)","SES($)","Lambda($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","SQS($)","CloudFormation($)","X-Ray($)","Total costs($)"
"2024-04-16","293.400791225","163.8796336064","128.1735337184","52.99","","28.8","22.1709436003","25.612531665","23.8205826458","2.6253833296","12.096","4.3779728328","1.8951924139","1.1470483328","7.2","0.7222836","1.18992","0.6816376205","0.7379550672","0.176287668","2.48976","0.11","0","0.0000993281","","0.0000272278","0.0000140629","0.000002027","0.0000010432","","0","0","0","","","774.2976010147"
"2024-04-17","293.0662567136","152.4853139066","131.1408245355","55.944","7.9190692088","28.8","22.1025190838","25.4405876364","19.1753788615","2.6342739779","12.1968","4.3779728328","1.8953107935","1.1457183328","7.2","0.6066672","1.63392","0.6816376205","0.6042078672","0.174913668","2.48976","0.19","0","0.000129034","0.00005","0.0000009788","0.0000160326","0.0000020215","0.0000010416","","0","0","0","","","771.9053313474"
"2024-04-18","291.915127891","165.5083355786","126.681001493","55.944","21.546","28.8","22.4810759049","25.6695130608","31.8931784799","2.6583764784","12.096","4.3779728328","1.8970294124","1.1460233328","7.2","0.813198","1.63392","0.6816376205","1.1791698672","0.175504668","2.48976","0.14","0","0.0001454847","","0.0000026384","0.0000124858","0.0000020176","0.00000104","","0","0","0","","","806.9269882868"
"2024-04-19","286.3674321382","151.2003178675","128.5829630103","55.944","21.546","28.8","22.178849766","25.5351341001","18.1326218866","2.7000287939","12.096","4.3779728328","1.8994275844","1.1446983328","7.2","0.610532","1.63392","0.6816376205","0.7286076672","0.174181668","2.48976","0.15","0","0.0001155025","","0.000006347","0.0000145865","0.0000015228","0.0000007888","","0","0","0","","","774.1742240159"
"2024-04-20","281.9082893915","148.8493994595","125.5539104746","55.944","21.546","28.8","21.9954868877","25.443974055","17.0528055515","2.7033333312","12.096","4.3779728328","1.8994440672","1.1453683328","7.2","0.6322356","1.63392","0.6816376205","0.5478000672","0.176122668","2.48976","0.13","0","0.0000770671","","0.0000090024","0.0000140665","0.0000020213","0.0000010368","","0","0","0","","","762.8075635336"
"2024-04-21","283.6871725627","147.1425230723","125.3137184794","55.944","21.546","28.8","22.0456920272","25.5611877857","16.4364601134","2.7033333312","12.096","4.3779728328","1.8994440672","1.1441083328","7.2","0.54531","1.63392","0.6816376205","0.5491380672","0.174331668","2.48976","0.13","0","0.0000697524","","0.0000002155","0.0000155136","0.0000020178","0.0000010416","","0","0","0","","","762.1017985013"
"2024-04-22","291.078446701","148.7613173011","125.9436745853","55.944","21.546","28.8","22.0795814763","25.4962227387","17.1069646831","2.7288588866","11.9952","4.3779728328","1.899463712","1.1462933328","7.2","0.6181344","1.63392","0.6816376205","0.5482944672","0.174115668","2.48976","0.57","0","0.00014542","","0.0000723724","0.0000148438","0.0000015302","0.0000007888","","0","0","0","","","772.8200933606"
"2024-04-23","288.6716371087","149.4610379736","129.2602698824","55.944","21.546","28.8","22.0443272517","25.4530927738","17.7502000556","2.7562701817","12.1968","4.3779728328","1.9009095182","1.1456633328","7.2","0.6343312","1.63392","0.6816376205","0.5645676672","0.174613668","2.48976","0.13","0","0.000126033","","0.0000039053","0.000014088","0.0000020232","0.00000104","","0","0","0","","","774.8171581565"
"2024-04-24","280.4538431726","145.1217810705","124.6943927601","55.944","21.546","28.8","22.1245413627","25.4112008375","17.1132346247","2.7565730518","12.096","4.3779728328","1.9017077449","1.1442033328","7.2","0.664468","1.63392","0.6816376205","0.5603904672","0.176620668","2.48976","0.18","0","0.0001146148","","0.000001808","0.0000108346","0.0000020139","0.0000007792","","0","0","0","","","757.0723775966"
"2024-04-25","268.8519561098","147.4525368518","126.5093586209","55.944","21.546","28.8","22.3397241007","25.4751324646","18.4223874725","2.767743052","8.6038442784","4.3779728328","1.9017442652","1.1544083336","7.2","0.702148","1.63392","0.6816376205","0.5937618672","0.172831668","2.4897600874","0.14","0","0.0001367188","","0.0000033885","0.0000168727","0.0000015245","0.0000010368","","0","0","0","","","747.7610271667"
