Service,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-06,2024-04-07,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-13,2024-04-14,2024-04-15,2024-04-16,2024-04-17
EC2-Other($),1862.5261977835,1837.1722219927,1830.1152825852,1839.6094254903,1831.8969196601,1827.3185044604,1827.9700651826,1826.4433283064,1826.4478651209,1830.5033839997,1824.2562771068,1825.7889436009,1829.0097885295,1831.2088459257,1830.3402864706,1843.4810072648,1840.4765712412
EC2-Instances($),1739.284656134,1210.7808052601,1016.8245067497,1051.1469150212,1007.3063593794,976.773290531,985.9391716067,976.0305957155,967.525036107,966.0522426132,965.1880987313,964.9923852389,964.5751197373,979.3918579183,1065.3008034967,1168.9088017079,1008.8182137454
S3($),244.7341013064,234.7156362435,211.9564897247,211.3523744961,214.4741484447,229.091585673,223.5486727569,220.0166359608,212.6543394276,207.9037662511,215.1614268094,218.9320670362,219.1464823692,225.3951985009,212.5136905383,204.3351078987,207.6889330709
ElastiCache($),197.2940064191,195.1140063971,197.0300063681,197.5720063422,195.8480063256,196.9130063046,196.3080062929,198.0230062964,199.4820063247,198.7000063409,198.6460063429,197.8900063379,196.4390063334,196.5720063286,198.70800632,196.2980062768,200.0390062485
Elastic Load Balancing($),159.9901588712,156.5552458401,153.7883343915,153.2749808558,152.9430257804,155.1504574605,155.3049380405,154.2025767536,153.9628030213,148.9848092067,147.011988681,149.2213596684,150.6913634516,152.944056902,150.5232875093,148.5539623276,151.2736785259
CloudWatch($),109.6727947783,105.2941192368,102.4105784634,103.0635893708,100.5689302167,100.8031642615,100.450492805,101.9673326907,101.2815440132,99.4322230308,98.983325956,100.2357740141,100.8097865454,101.0198677518,116.1952347584,135.9912064525,112.8953017457
Relational Database Service($),55.1458723186,55.1623191801,55.1671656965,55.1561019185,55.1552680764,55.1545722619,55.1542409016,55.1695558201,55.1528744948,55.1549900669,55.1722438506,55.1731451207,55.1696650034,55.1604434359,55.1504266182,55.1507547127,55.1707082811
Elastic Container Service for Kubernetes($),38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4,38.4
VPC($),28.387187488,28.3582376547,28.3661131349,28.5192877345,28.5017817113,28.7623125058,29.1640334023,28.5836528416,28.6761787404,28.390786338,28.6038905365,28.4443974073,28.3841724798,28.600878396,28.4988571029,28.3870380833,27.9145366132
Directory Service($),10.1013285916,10.1716347833,10.0877452671,9.8690115029,10.059631575,10.2857392944,10.0522131693,10.0699121832,10.1539487774,10.1107909194,9.9686395863,10.2837000386,9.9353982778,9.8418824776,10.2659796358,10.1077976229,10.1267448723
Transfer Family($),7.2,7.2016960027,7.2005155054,7.2005382861,7.2005635188,7.2005589333,7.2,7.2,7.2,7.2005756831,7.2,7.2005698892,7.2,7.2,7.2005639557,7.2004802915,7.2
Elastic File System($),7.1373062105,7.0661580581,6.9583579935,6.944256332,6.9296680711,7.0134646118,6.9010945016,6.9885442673,7.1570261371,6.9584269559,6.6877358407,6.9032631197,6.9678299836,6.8750925713,6.8586621623,6.9548045405,7.1200364007
WorkSpaces($),73.8,0.42,,,,,,,,,,,,,,,
Route 53($),9.3717531998,4.7208027998,3.7293525998,7.6105027998,2.6908699998,2.5449027998,2.4000773998,2.3587679998,2.3506555998,2.3459151998,2.3140861998,2.2940243998,2.4045691998,2.4787951998,2.3231437998,2.3014777998,2.3627811998
