"Service","EC2-Instances($)","EC2-Other($)","S3($)","VPC($)","Elastic Load Balancing($)","ElastiCache($)","Relational Database Service($)","Textract($)","Rekognition($)","SageMaker($)","Elastic MapReduce($)","CloudWatch($)","Elastic File System($)","Elastic Container Service for Kubernetes($)","EC2 Container Registry (ECR)($)","DynamoDB($)","Key Management Service($)","SNS($)","Cost Explorer($)","Secrets Manager($)","Lambda($)","Route 53($)","Glue($)","Service Catalog($)","SQS($)","CloudWatch Events($)","Athena($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","Direct Connect($)","Glacier($)","CloudTrail($)","X-Ray($)","Cognito($)","CloudFormation($)","Total costs($)"
"Service total","813672.6041426616","361224.973664671","168161.81586472","39352.7818298794","38612.3774375112","25934.293","21154.7116765899","20896.0593","16459.194054011","13244.7513645686","12584.8047636722","12171.9774539224","5969.8200641032","4937.826459223","1814.9137972051","62.3035640319","40.8172892166","33.9178136876","32.98","22.0151593335","7.624832149","4.8","4.1664824544","2.7293","0.1158940239","0.025631","0.0028","0.0005783162","0.0005207277","1.121e-7","7.5e-9","6.8e-9","0","0","0","0","1556404.4047378057"
"2024-04-01","66051.0863744512","30455.384406034","18158.2864949536","3115.6291806137","3806.395700231","","1659.0334139159","6745.7532","876.705718","1976.9962278044","2222.5529169736","960.4376402318","782.3120490412","867.970472085","129.9839618504","5.1223936862","2.266697016","2.8373310138","2.24","1.6128405396","0.4445263058","0.4","0.3540840064","0.0546","0.0165932171","0.018013","0.00005","0.0000495089","0.0000262685","","","","0","0","0","","137823.8949607481"
"2024-05-01","60809.1348467395","30132.1124627366","16316.5982800329","3141.8249186483","3753.8264604991","","1768.4822435917","899.355","1007.9419680014","1509.3309307092","1049.0693691478","1004.9277895725","825.6603400412","647.893649025","140.0764952788","5.2931399991","2.279344968","3.1515733978","2.52","1.6116433616","0.4820009944","0.4","0.342762552","0.0392","0.0118536","0.000721","","0.0000518224","0.000027987","0.0000000552","","","0","0","","","123022.3670737615"
"2024-06-01","58476.2520429307","29845.3152059599","16280.7777982063","3053.6322289603","3596.0448384687","703.921","1725.1492145713","460.2915","996.039468","1337.473264911","900.9898874452","994.2990514721","830.6724847653","218.96680264","144.8726473996","5.122390912","2.2403062382","2.9926951085","2.71","1.6071083174","0.6418308736","0.4","0.3395943408","0.0882","0.0096136","0.000453","","0.00004627","0.0000247955","","","","0","0","","","119580.8496991864"
"2024-07-01","58808.8469947285","29765.1267722286","16557.1753774934","3112.7225185013","3291.7572108471","3302.052","1756.601818259","778.149","1223.5094680014","1721.3453530503","749.5413853998","1004.4600010901","871.4066582447","223.2","147.0301014859","5.2931402987","2.232919968","3.0045839606","2.3","1.611472824","0.6538757332","0.4","0.345519552","0.4151","0.0109516","0.000407","","0.0000523783","0.000039951","","0.0000000075","","0","0","","","123329.1927226034"
"2024-08-01","60121.8464273996","29598.3623241132","14433.8919829571","3138.9996001546","3132.2815708699","2797.44","1803.4183999956","693.672","1273.5234680014","3408.592276483","686.4572613512","1010.0003324116","1171.1911137566","233.975453778","149.2676889364","5.2931403006","2.39276917","2.9174304186","2.65","1.6042522864","0.6339454305","0.4","0.344400552","0.4802","0.0105432","0.000857","","0.0000519603","0.0000560841","0.0000000255","","","0","0","","0","123669.6475466362"
"2024-09-01","63917.2679382836","29761.9796395152","14560.9552629997","3154.5453585613","3030.5781774807","2707.2","1736.2892807222","797.0475","1354.029468","2735.9442898874","735.9361009842","986.3890016646","732.3921854976","287.955042111","152.0403081899","5.1223923351","3.5744685821","2.7009237758","2.8","1.9391355666","0.6257224898","0.4","0.3395103408","0.2758","0.0091548068","0.00049","0.00125","0.0000462399","0.0000499095","","","","0","0","0","0","126668.3384979438"
"2024-10-01","75833.8509315363","30022.270761704","13748.5666494924","3511.6019619875","3087.7668756946","2797.44","1797.5651515044","1558.1556","1542.9484680014","96.5899651615","823.2148778344","991.829084856","174.539144672","297.6","154.2680127822","5.2931402987","4.262361592","2.8572551554","2.99","2.005464108","0.6940198458","0.4","0.3586699072","0.7455","0.009666","0.000599","0.0002","0.0000522738","0.0000562121","0.0000000314","","","0","0","0","0","136457.8244696511"
"2024-11-01","70198.6205884922","30121.2894856509","11847.8534298853","3367.5209340791","2919.3469384565","2707.2","1744.9174249906","1347.942","1586.067468","91.2037384862","1424.368120778","1067.4042717381","166.2420787322","468","155.1605856165","5.1186406452","4.2457784764","2.702198785","2.77","2.0074544604","0.6740999054","0.4","0.354474","0.1092","0.00866","0.00127","","0.0000500535","0.0000517545","","","0.0000000054","0","0","0","0","129231.5289429914"
"2024-12-01","71215.4220348074","30104.9353568532","11667.8789044487","3458.567169397","3069.9673112481","2797.44","1798.6043384025","1535.0604","1735.6914680014","93.7039343312","508.8279187908","1025.7321349359","107.1095727866","700.314965","156.4933022342","5.2892622552","4.309416936","2.7107153791","3.17","2.005793624","0.6930448959","0.4","0.3431515136","0.1274","0.0084428","0.000586","0.00015","0.0000514836","0.000053255","","","","0","0","0","0","129994.8068793794"
