"Service","EC2-Other($)","EC2-Instances($)","Elastic Load Balancing($)","S3($)","ElastiCache($)","VPC($)","Elastic File System($)","Elastic Container Service for Kubernetes($)","Transfer Family($)","Rekognition($)","CloudWatch($)","EC2 Container Registry (ECR)($)","QuickSight($)","Cost Explorer($)","DynamoDB($)","Secrets Manager($)","Key Management Service($)","Route 53($)","Backup($)","Glue($)","Service Catalog($)","Relational Database Service($)","SNS($)","Lambda($)","SQS($)","CloudWatch Events($)","Bedrock($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","SES($)","CloudShell($)","CloudTrail($)","CloudFormation($)","X-Ray($)","Total costs($)"
"Service total","266642.4122999466","171199.1138495815","66598.3479013022","40134.5768254971","17756.7626308432","16576.3962888888","10254.8527943293","7906.475670806","7884","2867.170938","2341.3434323844","1599.3243054341","431.9999961984","216.63","178.8349997295","157.2730875366","26.2500205868","18.9588312","9.9913650408","9.500755124","5.2437","1.2439122408","0.8224421641","0.4272511467","0.276706832","0.125058","0.0436731","0.032845671","0.0005810489","0.0005412108","0.0002002708","3.78e-8","0","0","0","612818.4329041522"
"2024-04-01","26723.3339971974","14390.1227342799","4911.4410807808","6326.5269323052","1454.880635912","1412.5660100336","1555.5793729204","684.120625333","648","175.1575","138.2739469874","115.5379155066","36.000000288","55.01","15.5195528112","12.4822605396","2.095594904","1.5476664","0.2709288846","0.9076511872","0.0798","0.103659336","0.0723431166","0.0324539656","0.1571092","0.013294","","0.0069712891","0.0000500593","0.0000278827","","","0","","","58659.8401151202"
"2024-05-01","23130.3366079705","14536.8717562967","4464.8545342222","5725.4581663297","1526.8536359024","1429.2712078038","1479.2469319246","981.200773002","669.6","182.25125","228.2455979156","120.8807621081","35.999999424","13.46","15.581495602","12.4262900246","2.218246968","1.598888","0.2390738496","0.788028712","0.0616","0.1036593624","0.0830983204","0.0364508218","0.1022480177","0.006978","","0.0100279817","0.0000528452","0.0000286272","","","0","","","54557.7873900322"
"2024-06-01","22526.484737461","13427.6790421034","4123.7421644192","5356.2749886624","1775.274635912","1367.7938111807","1111.3660132181","557.437234836","648","158.93875","220.5959512942","123.4181539156","36.000000288","12.27","14.8401550858","12.4654355396","2.1862912382","1.6243626","0.1682969532","0.7514022944","0.1589","0.103659336","0.0958326812","0.0344694876","0.008064","0.009914","","0.0075795288","0.0000462386","0.0000254076","","","0","","","51477.7299176816"
"2024-07-01","22625.0508621171","13423.0160766559","4325.4712816798","3313.7944874402","1880.1166359024","1385.1356528648","654.0256770971","489.6","669.6","189.488438","218.8703630439","127.5195809987","35.999999424","44.63","15.1679163765","12.483958358","2.189632968","1.5878376","0.1088637697","0.791423832","0.7805","0.1036593624","0.1003923892","0.0394701352","0.0019272143","0.009992","","0.0082668714","0.0000530566","0.0000431599","0.0002002708","","0","","","49415.6931925879"
"2024-08-01","21277.7450901802","12708.9776579133","4482.5774958312","2746.6250666243","1880.9206359024","1396.2438910295","653.988978708","1041.6","669.6","267.52625","211.6826052991","132.0086146651","35.999999424","12.09","15.3366821501","12.4503466913","2.189758968","1.5632976","0.0993090116","0.83843216","0.9233","0.1036593624","0.0842518809","0.032724599","0.0014076","0.00933","","","0.0000514827","0.0000601489","","","0","","","47551.218897232"
"2024-09-01","20398.7420965544","12362.236722656","5442.1254571273","2436.4075242695","1820.152635912","1344.1750447989","655.3407489571","1008","648","282.83","187.2170218458","133.3413477903","36.000000288","12.85","14.8407472686","12.3883710952","2.184863016","1.5719626","0.1921696393","0.7770058144","0.5033","0.103659336","0.0725990039","0.0268829782","0.0006928","0.009912","","","0.0000459905","0.0000542513","","","0","","","46800.0908659927"
"2024-10-01","21052.5081780135","14821.4805047839","5986.9409124419","2229.2287720269","993.4246359024","1393.6592631589","663.9578668487","1041.6","669.6","282.16375","183.2083102252","136.3527392147","35.999999424","12.68","15.3354514912","12.7646158254","2.187772796","1.5861096","0.9808657484","0.80139508","1.5043","0.1036593624","0.0878856195","0.0350980557","0.0015348","0.011048","","","0.0000532696","0.0000578317","","","0","0","0","49538.20477952"
"2024-11-01","21128.6510652031","14671.2756099928","5909.8170101547","2259.0806430461","947.260635912","1350.4383408397","704.686595162","812.81897972","648","264.08625","191.3180075901","138.8053567041","36.000000288","9.02","14.3465153435","13.5076744339","2.1846982382","1.5818708","1.2874605903","0.7606277872","0.2135","0.103659336","0.0780466252","0.0366138312","0.0010436","0.010648","","","0.0000499248","0.000053247","","","0","0","","49105.3709563699"
"2024-12-01","21374.1829857703","15235.9008908582","6518.6040872378","2323.053865356","978.7966359024","1383.8138813211","702.8087399903","318.098057915","669.6","282.93625","195.8998121075","140.6544692787","35.999999424","11.22","14.8245717818","14.1220255906","2.230414968","1.5728138","1.0434752201","0.770139912","0.2415","0.1036593624","0.0398599709","0.0395615204","0.0009016","0.010826","","","0.0000513021","0.0000548451","","","0","0","","50206.5695310347"
"2025-01-01","21662.5186002855","15316.3520733165","6904.0171888488","2399.1865839918","1804.6006359024","1394.8961478423","697.3715108845","297.6","669.6","282.02","196.077627479","141.6547852083","35.999999424","10.66","14.8244795706","14.1215299992","2.222254968","1.581458","1.8794746194","0.77859144","0.2324","0.1036593624","0.0394117706","0.0392707328","0.00075","0.011106","","","0.0000493465","0.0000511797","","","0","0","","51848.3896401723"
"2025-02-01","22137.5201579069","14252.3452673361","6384.4395387141","2462.7243615759","1434.9386358784","1293.7081051055","687.0882491802","268.8","604.8","245.515","177.9009552753","143.6164996017","35.9999990784","11.62","13.3898058275","14.0355716443","2.2021997584","1.5681854","1.8782477881","0.7441070248","0.2107","0.10365936","0.0362056494","0.036663994","0.0006568","0.01099","0.01704978","","0.0000431134","0.0000462575","","0.0000000378","0","0","","50175.2509020877"
"2025-03-01","22605.3379212867","16052.8555133888","7144.3171498444","2556.2154338691","1259.5426359024","1424.69493291","689.3921094383","405.6","669.6","254.2575","192.0532333213","145.5340804422","35.999999424","11.12","14.8276264207","14.0250077949","2.158291796","1.5743788","1.8431989665","0.79194988","0.3339","0.1036593624","0.0325151363","0.0375910252","0.0003712","0.01102","0.02662332","","0.0000344196","0.0000383722","","","0","","","53482.286716321"
