"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","DynamoDB($)","DocumentDB (with MongoDB compatibility)($)","API Gateway($)","OpenSearch Service($)","S3($)","CloudWatch($)","Elastic Load Balancing($)","DynamoDB Accelerator (DAX)($)","Lambda($)","VPC($)","Elastic Container Service for Kubernetes($)","ElastiCache($)","Secrets Manager($)","Athena($)","Route 53($)","SES($)","Cost Explorer($)","Key Management Service($)","Backup($)","Service Catalog($)","SQS($)","EC2 Container Registry (ECR)($)","SNS($)","CloudWatch Events($)","Glue($)","Simple Workflow Service($)","Step Functions($)","Direct Connect($)","CloudShell($)","Glacier($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","5971133.074214702","1088527.3390718582","740441.7247276747","268366.1921313495","193185.9250195271","159058.7458747121","88853.2041971153","81295.9076924033","36941.766438436","34754.225292997","32166.72","15278.2535695556","7123.6070856938","1592.405256275","867.611349946","103.9569996723","87.65667","46.9388728","32.7090123251","20.97","14.3193479195","8.4598429759","5.0659","2.2495249465","1.81078542","1.7342409495","0.404018","0.1062726544","0.0005820009","0.0005408503","0.0000227435","1.469e-7","5.6e-9","0","0","0","8719913.084555656"
"2024-04-01","638898.547161953","120534.0268571862","74327.4371882883","19979.9049386396","15773.8510261642","19314.0046967049","6834.9503872327","17925.6790616355","3573.8115307277","3430.2528526258","2643.84","1839.6671349679","819.8684969554","659.635767665","","8.6196622422","4.89513","4.8506086","16.6557967111","1.35","1.201231008","","0.0903","0.1771264","0.150898824","0.1867734172","0.021676","0.0067756027","0.0000505268","0.0000276036","0.0000037247","0.0000000955","","0","0","","926593.683161502"
"2024-05-01","539449.7070811468","108272.9252091511","63017.249158709","21614.4585431324","16304.4409370787","12221.0721400931","7025.4073950559","17706.0803653265","2843.1680649147","2874.3905023572","2731.968","1156.5846784293","542.2118202548","74.4","","8.6699140466","10.724645","4.0514804","3.3318877612","1.24","1.203987984","","0.0609","0.1851384598","0.1508987496","0.1102121727","0.025981","0.0073793734","0.0000528501","0.0000286464","0.0000165592","","","0","","","795863.8264186525"
"2024-06-01","515270.0146306215","103106.9947475028","56482.8098530304","19462.9289757042","15394.3450648149","11754.01945756","6243.3007401409","17305.0907280233","2637.9087110593","2715.0504908659","2643.84","1131.0825727691","509.0699211003","72","","8.6369300239","1.436525","4.0943342","3.9484442492","1.54","1.1715851191","","0.1645","0.18021","0.150898824","0.1737925578","0.027593","0.0073803106","0.0000462389","0.0000244","0.0000006968","","","0","","","754749.9881578129"
"2024-07-01","521774.8005304334","101985.6815881019","56706.1281757592","21240.7049774791","12156.8556193523","12306.6812402614","6035.2409146412","4606.9325968372","2730.2417017442","2602.129239264","2731.968","1168.7661942611","538.1223125148","95.16948861","","8.685518724","5.62512","3.7103462","4.5829452675","1.15","1.177176984","","0.7707","0.1911656267","0.1508987496","0.1308081502","0.032751","0.0101251298","0.0000540251","0.0000431449","0.0000017628","","","0","","","746705.6402340244"
"2024-08-01","480575.154957874","87285.890771607","54185.5162776789","21218.9056080232","9887.7084568068","14489.855812111","6037.4571997017","2625.407319079","2864.0317747521","2593.1545971433","2731.968","1262.7608156807","575.4744425788","74.4","","8.670478724","10.90868","2.9654264","0.6091258539","0.99","1.176117984","","0.9282","0.1905564","0.1508987496","0.1469315759","0.033211","0.0115241452","0.0000519625","0.0000610173","","","","0","","","686434.4672968489"
"2024-09-01","488467.212028107","79669.722240485","54364.516388897","21425.0757105477","21847.324780658","11737.2560402544","8073.1871687802","2678.5889449078","2650.7701373435","2654.5763960221","2643.84","1156.2432143033","585.480971695","72","867.611349946","8.6546066906","10.01102","3.7924752","0.5191325296","1.5","1.175566008","","0.4781","0.1841972402","0.150898824","0.1058997908","0.033192","0.0089536101","0.0000474198","0.0000544953","","","","0","0","","698920.0195157554"
"2024-10-01","498734.8857188627","81705.8788689748","59652.1128315859","22625.5825531598","17959.1114870227","12712.9132790157","8581.6329470894","2853.0261837034","3104.4484214404","2909.3396091568","2731.968","1250.9849333936","618.867502849","74.4","","8.6790380788","15.274635","3.7105544","0.5414557249","1.58","1.178043898","","1.4903","0.1929704","0.1508987496","0.14333002","0.036302","0.0130412474","0.0000527812","0.0000578359","","","","0","","0","715548.14301639"
"2024-11-01","459798.4281678421","80467.7018979615","59725.5081223407","24272.1907445392","17270.5829113026","11889.239749819","8325.313028005","2938.9477002111","3219.2140452487","2831.4285229646","2643.84","1172.3230508812","567.1656105893","72","","8.6647883572","1.75259","3.9346542","0.5372535327","1.61","1.186510008","","0.1743","0.1880104","0.150898824","0.1084836944","0.03758","0.0095740722","0.0000503978","0.0000532607","","","","0","","0","675212.238298452"
"2024-12-01","494276.2523175969","81203.077521832","64451.2326390713","25564.256245253","17677.520238719","12827.1594528227","8163.0210957912","3129.4562164993","3372.2559458781","3029.4160413351","2731.968","1261.5727221101","595.9834959619","74.4","","8.652143724","0.236505","3.9293732","0.5288687244","2.5","1.235856984","","0.2072","0.1923628","0.1508987496","0.1686707401","0.03721","0.0091324752","0.000050823","0.000054338","","0.0000000514","0.0000000056","0","","0","718375.4202604859"
