"Service","Relational Database Service($)","EC2-Other($)","EC2-Instances($)","S3($)","API Gateway($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","ElastiCache($)","Elastic MapReduce($)","Key Management Service($)","DynamoDB($)","Secrets Manager($)","Cost Explorer($)","Lambda($)","Route 53($)","Service Catalog($)","SNS($)","CloudWatch Events($)","Athena($)","Glue($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","Glacier($)","CloudTrail($)","X-Ray($)","CloudFormation($)","Total costs($)"
"Service total","1388926.5487757805","308869.0416576325","166702.9031397989","51831.3143493841","51326.4445894029","16436.6156710844","8998.2448571028","8826.983728295","3996.9243264728","481.662583179","163.6568124748","22.6095265762","14.7256046392","13.32","10.8225165536","5.378099","2.7356","0.365735467","0.128774","0.06314","0.0620905442","0.0023464","0.000575983","0.0005177175","2.63e-8","1.93e-8","0","0","0","2006630.555017534"
"2024-04-01","128989.4718918925","25729.3155170128","13417.1573023133","3833.5366964792","3943.4778378682","1285.4625948676","834.1942457206","777.3594548322","315.0376578992","29.4663584952","1.221376008","1.2787312361","1.0841439007","0.77","0.8528774726","0.5236824","0.056","0.0329135145","0.011315","","0.0047059808","0.0002796","0.0000499716","0.0000267604","","","0","","","179160.3156592255"
"2024-05-01","122495.1602251936","25164.9533246062","13749.5783375138","4115.721543609","3941.0848015002","1266.1804096439","706.8945402621","738.7377550011","333.1051589528","390.8376935904","106.029438984","1.9473962721","1.2481891744","0.61","0.8721282904","0.437837","0.0378","0.022761468","0.009603","","0.0048844256","0.000286","0.0000513597","0.000027987","","","0","","","173013.4741938343"
"2024-06-01","118607.2522443337","25123.1094886485","12974.9668127608","4190.0806634737","3923.4040404657","1260.2286997714","700.6433480299","744.6050478753","334.6366367472","61.3585310934","43.505758008","1.9180924341","1.2423916906","0.96","0.8357195732","0.4449304","0.0847","0.0285494023","0.010242","","0.0050369816","0.0002192","0.0000448819","0.00002455","","","0","0","","167969.3212223213"
"2024-07-01","110432.2932492057","25496.9971124778","13671.1637312163","4149.391319301","3938.4609503302","1264.606180687","719.3144062968","762.3970599938","346.0922523144","","1.186311984","1.9820284418","1.255148368","0.53","0.8298175347","0.4319356","0.4004","0.0328698031","0.012907","","0.00753136","0.0003236","0.0000519371","0.0000399593","","","0","","","160787.385627411"
"2024-08-01","107030.3791813534","25510.8739673376","13373.7845000975","4359.94772555","3813.2842015315","1230.7286153166","722.0730949872","650.2470528402","346.091247864","","1.193940984","1.982028497","1.2417362712","0.37","0.8802157902","0.4282618","0.4851","0.026862261","0.010567","0.003935","0.0065669116","0.000242","0.000052437","0.0000563662","","","0","","","157044.0391521962"
"2024-09-01","104233.0143795173","25502.689644437","12884.4400035916","4470.8244854346","3820.0572026566","1224.753740657","706.7843277669","656.9324876447","334.9333836744","","1.180972008","1.9180931234","1.2313750239","0.87","0.8668426118","0.4248594","0.2653","0.0157064687","0.009841","0.059205","0.004854799","0.0001176","0.0000457632","0.0000493948","","","0","","","153841.2769175729"
"2024-10-01","112238.557235133","26002.2286196717","14136.7832291099","4651.6809462622","4409.2570396956","1395.0413929991","765.6429095484","739.0790477547","346.0972693224","","1.200048898","1.9820289764","1.2355725616","0.92","0.9618489469","0.4439076","0.7483","0.0316031723","0.01035","","0.00665992","0.0002452","0.0000527233","0.000056204","","","0","","0","164691.9083636995"
"2024-11-01","111295.7450946179","25785.49421051","13714.644348085","4488.7028969019","4326.5041742003","1377.045016243","744.1838932469","712.1762984844","334.9351772328","","1.192777008","1.9180940599","1.2415950239","0.97","0.9357567354","0.441293","0.1141","0.0352062561","0.010096","","0.0052909936","0.0001772","0.0000500535","0.0000530076","","0.0000000193","0","","0","162786.2955988795"
"2024-12-01","126349.9780366234","25981.5540468939","14474.2223651332","4391.564918207","4706.5184374957","1501.1340211463","769.5438353509","760.4258572463","346.0983661152","","1.236435984","1.9820302848","1.2388291744","1.84","0.9703375279","0.4465276","0.1302","0.0565702589","0.011122","","0.00523792","0.000148","0.0000510069","0.0000525077","0.0000000263","","0","","0","179288.9574265028"
"2025-01-01","115846.6747375155","26028.8650797126","14618.1358905936","4360.1741998689","4806.8950325151","1527.2943683869","774.0767667976","757.6627210568","336.9362178896","","1.336942692","1.9820302946","1.2398549808","1.83","0.9759172611","0.4559996","0.1239","0.0253637261","0.010565","","0.00398392","0.000126","0.0000481467","0.0000512544","","","0","","0","169064.6997972123"
"2025-02-01","111923.9044996984","25635.243601188","13952.3718740165","4365.9845996994","4548.1636433178","1452.0879422879","721.3263898949","718.2298259492","295.670767388","","2.2088779488","1.736942448","1.2331342953","1.65","0.8888149274","0.4432756","0.1127","0.0242321213","0.009842","","0.004484832","0.0001108","0.0000438564","0.0000455016","","","0","","0","163621.2956477709"
"2025-03-01","119484.118000696","26907.7170451364","15735.6547453674","4453.7043545972","5149.337227826","1652.0526890777","833.5670992006","809.1311196163","327.2901910728","","2.163931968","1.982030508","1.2336341744","2","0.952239882","0.455589","0.1771","0.0330970147","0.012324","","0.0028525","0.0000712","0.0000338457","0.0000342245","","","0","","","175361.5854109077"
