"Service","EC2-Instances($)","S3($)","Elastic MapReduce($)","EC2-Other($)","Relational Database Service($)","Elastic Container Service for Kubernetes($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic File System($)","Transfer Family($)","Lambda($)","MongoDB on Hardened  Linux 2 (ARM)($)","DynamoDB($)","ElastiCache($)","Secrets Manager($)","Cost Explorer($)","Key Management Service($)","API Gateway($)","SES($)","EC2 Container Registry (ECR)($)","Service Catalog($)","SQS($)","Route 53($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Backup($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-10","3716.7335778863","2870.0704526764","2441.4402904276","648.4431095081","37.7917484729","14.4","1.6685832965","5.762978638","4.5564224668","0.356517374","","0.0185820179","1.2","1.0990563214","0.576","0.3119866672","0.01","0.2211546672","0.2293060769","0.0103127714","0.0126157824","0","0.0045464","","0","0.0000019128","0.0000010136","","","0","0","","9744.9172443774"
"2024-04-11","3745.8887843573","2915.6780485135","2438.0641130308","634.0578776516","37.7917484757","14.4","1.6044523412","5.8753497652","5.3356365306","0.3745160526","","0.4031524361","1.2","1.0993997744","0.576","0.3122966672","0.01","0.3549186672","0.4140504173","0.0045147676","0.0126157824","0","0.0042232","","0","0.0000014349","0.0000010136","","","0","0","","9803.4617008792"
"2024-04-12","4075.1061347411","2978.8884837792","2734.6345285364","695.4618599127","37.7917484588","14.4","2.0276745214","5.9217698638","5.8478793797","0.3627664476","","0.5374486941","1.2","1.0999827934","0.576","0.3122566672","0.01","0.4294296672","0.5186546324","0.0050246938","0.0126157824","0","0.0048768","","0","0.0000019128","0.0000007602","","","0","0","","10555.1491380442"
"2024-04-13","3807.0536888033","2939.5445024305","2437.3429919212","661.6332896521","37.7917484937","14.4","1.7563924576","5.9132141724","5.9727011379","0.4016521784","","0.5659342955","1.2","1.1005797028","0.576","0.3125066672","0.01","0.4341396672","0.4228181169","0.0046820327","0.0126157824","0","0.0043528","","0","0.0000019128","0.0000007602","","","0","0","","9916.4538129848"
"2024-04-14","3737.3893721779","2853.4373177181","2382.255898012","645.2606692235","37.7917486827","14.4","1.5940386747","5.8622629464","5.3144683489","0.4208461094","","0.4730116899","1.2","1.1011357258","0.576","0.3126316672","0.01","0.3302106672","0.3038913483","0.0017049208","0.0126157824","0","0.0037388","","0","0.0000014349","0.0000010136","","","0","0","","9688.0515649437"
"2024-04-15","3425.9004828903","2746.9129915683","2151.5919013756","609.4895528011","37.7917484825","14.4","1.6595346193","5.7724530173","4.0918936787","0.4426574507","","0.2819699412","1.2","1.1013218133","0.576","0.3129216672","0.01","0.1239546672","0.069590148","0.005176255","0.0126157824","0","0.00454","","0","0.0000019128","0.0000010136","","","0","0","","9001.7513090845"
"2024-04-16","3736.2939621249","2852.7387563792","2497.7835868576","727.6441660478","37.7917484791","14.4","1.7538203422","5.7886594952","4.1627565961","0.4688689052","","0.2972479473","1.2","1.1014393685","0.576","0.3124766672","","0.1434126672","0.0909452245","0.0131383286","0.0126157824","0","0.0038268","","0","0.0000019128","0.0000010136","","","0","0","","9882.5774309394"
"2024-04-17","3523.4634661351","2810.0630771761","2254.6541110988","658.3462049509","37.7917484687","14.4","1.674299758","5.8110981197","4.7629987694","0.4957284784","","0.3489967158","1.2","1.1016502303","0.576","0.3122916672","0.01","0.2566926672","0.1677667509","0.1119473251","0.0126157824","0","0.0045084","","0","0.0000014349","0.0000007602","","","0","0","","9315.5652046891"
"2024-04-18","3674.682815084","2864.8861673297","2369.718327538","701.0141342107","37.7917484723","14.4","1.7044637083","5.8230939486","4.896354809","0.5211502259","","0.3651614026","1.2","1.1019734523","0.576","0.3125766672","0.01","0.2716086672","0.1853547829","0.1347644195","0.0126157824","0","0.0050864","","0","0.0000019128","0.0000010136","","","0","0","","9679.613399827"
"2024-04-19","3835.0122444204","2850.9826134807","2515.1589940996","715.7716358043","37.7917491736","14.4","2.4539256839","5.817994623","5.0116126492","0.5395542867","","0.3957130764","1.2","1.1022913608","0.576","0.3119516672","0.01","0.2787696672","0.1876559886","0.1222240627","0.0126157824","0","0.00464","","0","0.0000019128","0.0000010136","","","0","0","","9987.1421887531"
"2024-04-20","3203.6424406171","2797.7754664974","1981.1927832728","521.9876724519","37.7917484756","14.4","3.2593154729","5.7886228913","5.0782568949","0.5586122956","","0.4525816692","1.2","1.102624657","0.576","0.3119516672","0.01","0.2898666672","0.1941190995","0.0999625034","0.0126157824","0","0.0037208","","0","0.0000014349","0.0000010136","","","0","0","","8575.7283641639"
"2024-04-21","3091.9059256166","2784.7909324129","1860.1682837452","485.1645948065","37.7917484717","14.4","3.2749366953","5.7810431728","4.9865339981","0.5756273303","","0.4170164992","1.2","1.102954311","0.576","0.3119816672","0.01","0.2861076672","0.1895628135","0.0850720734","0.0126157824","0.0014","0.0031324","","0","0.0000019128","0.0000007602","","","0","0","","8293.0354721363"
"2024-04-22","3733.617212836","2874.3432276446","2306.7202644784","645.8299972778","37.7917484782","14.4","3.7081747317","5.8676533752","4.8104744039","0.5954258717","","0.4419362333","1.2","1.1032711205","0.576","0.3111266672","0.01","0.2671056672","0.1704285961","0.1911685459","0.0160583822","0.0014","0.0052004","","0","0.0000014349","0.0000010136","","","0","0","","9631.9778771584"
"2024-04-23","3469.3951088153","2910.6820802406","2175.6577949276","587.1751354646","37.7917484796","14.4","3.3148871276","5.8456069151","4.5588158386","0.6180471719","","0.4178535634","1.2","1.1035307637","0.576","0.3119266672","0.01","0.2389626672","0.1461436837","0.1351497114","0.0178863768","0.0014","0.0047564","","0","0.0000019128","0.0000010136","","","0","0","","9213.6028377407"
"2024-04-24","3589.0245738152","2946.6707281711","2222.9107242768","576.1903715248","38.3182260055","14.4","3.3961912188","6.2520673783","4.5140400359","0.640685866","","0.3821754619","1.2","1.1037785987","0.576","0.2990538894","0.01","0.2332506672","0.1423547401","0.1078196286","0.0178863768","0.0007","0.0055524","","0","0.0000019128","0.0000007602","","","0","0","","9406.3961827281"
"2024-04-25","4163.7673901419","3080.2021297061","2748.6751994236","711.3102464586","38.5140829336","14.4","3.5331185491","6.4471719653","4.5457384401","0.6610169831","","0.3975749587","1.2","1.1040231552","0.576","0.3121866672","0.01","0.2335326672","0.1432073346","0.1837941934","0.0178863768","0.0014","0.0055648","","0","0.0000019128","0.0000010136","","","0","0","","10776.2412676809"
"2024-04-26","3840.839874065","3061.1440934818","2577.8970631224","635.4395204842","38.5140829438","14.4","3.2731889249","6.4169630481","4.4838852088","0.6811577481","","0.3915442602","1.2","1.1042671271","0.576","0.3120766672","0.01","0.2316786672","0.1426610099","0.0941367693","0.0178863768","0.0014","0.005926","","0","0.0000014349","0.0000010136","","","0","0","","10187.1774083533"
"2024-04-27","3685.1199164273","3013.4661877308","2404.5349153464","622.6722595155","38.5140829303","14.4","3.2518796234","6.40580062","4.5290209523","0.699976311","","0.4218964458","1.2","1.1045139342","0.576","0.3120516672","0.01","0.2362026672","0.1457736584","0.0689285872","0.0178863768","0.0014","0.0054704","","0","0.0000014349","0.0000010136","","","0","0","","9797.6941656423"
"2024-04-28","3460.5928043231","2978.234173252","2257.5147927804","565.5712255576","38.5140829024","14.4","3.2471620181","6.4012777106","4.5584089339","0.7170439924","","0.4004261036","1.2","1.104764529","0.576","0.3119316672","0.01","0.2373216672","0.1461101856","0.0700240561","0.0178863768","0.0014","0.0044412","","0","0.0000019128","0.0000007602","","","0","0","","9333.831279929"
"2024-04-29","3889.1574501248","3080.1496687329","2613.1382701164","667.1953542769","38.5140831082","15.549742194","3.3627641543","6.4359769817","4.6150100401","0.7345864743","","0.3858807163","1.2","1.1050114735","0.576","0.3120266672","0.01","0.2340366672","0.1429462411","0.140016098","0.0178863768","0.0014","0.0046784","","0","0.0000014349","0.0000010136","","","0","0","","10322.9827912922"
"2024-04-30","3570.0102473406","3065.511864844","2319.4505663464","610.319300865","38.5140829847","16.8","3.3431704867","6.4237633752","4.7153823385","0.7535242242","","0.3864159941","1.2","1.1052561364","0.576","0.3123816672","0.01","0.2344206672","0.1428431857","0.0942288332","0.0178863768","0.0014","0.0054464","","0","0.0000019128","0.0000007602","","","0","0","","9639.9281847389"
"2024-05-01","3301.517227623","3014.5929305316","2204.9988436324","556.3885218705","38.3873062724","16.8","3.3068473153","6.4299190905","4.3367907785","0.747938312","","0.0188355423","1.2","0.9237511652","0.576","0.3019991936","0.01","0.226642128","0.2210307968","0.1683414548","0.0173093952","0","0.0000252","0.1","0","0.0000019128","0.0000010136","","","0","0","","9151.2702632285"
"2024-05-02","3806.7586778376","3104.6582200536","2572.3506552688","637.1670163692","38.3873062799","16.8","3.3795829433","6.8200139677","4.7620104774","0.7653528678","","0.1610641133","1.2","1.1051744832","0.576","0.3025241936","0.01","0.227536128","0.1967573799","0.2026227878","0.0173093952","0","0.0057512","","0","0.0000014349","0.0000010136","","","0","0","","10195.8535781948"
"2024-05-03","3613.1262455304","3026.2743608876","2407.7646178376","585.4743672259","38.3873062729","16.8","3.3818931627","7.3972919134","4.9240048866","0.7822601011","","0.4006346938","1.2","1.1054543404","0.576","0.3025241936","0.01","0.232852128","0.2009966974","0.158990308","0.0173093952","0","0.0057748","","0","0.0000019128","0.0000007602","","","0","0","","9708.5228870476"
"2024-05-04","3173.3475911014","2885.8573779468","2056.5115019204","546.7599753426","38.3873062796","16.8","3.2513925167","7.5632427474","5.030286466","0.799063787","","0.4361800571","1.2","1.1057445614","0.576","0.3021191936","0.01","0.241066128","0.2079510227","0.0866424024","0.0173093952","0","0.0043412","","0","0.0000014349","0.0000010136","","","0","0","","8738.4950945168"
"2024-05-05","2994.2448462327","2870.5180904281","1921.8639697764","490.9353361225","38.3873062895","16.8","3.2439293391","7.5603799229","4.9856654258","0.8145572903","","0.3896116419","1.2","1.1060440128","0.576","0.3020741936","0.01","0.242050128","0.2108343391","0.1064532845","0.0173093952","0","0.0036428","","0","0.0000019128","0.0000007602","","","0","0","","8353.5181032954"
"2024-05-06","3488.5462753869","2986.8129624272","2255.7961020576","579.6195791958","38.9177082549","16.8","3.352298885","7.591013643","5.0878905723","0.8376762315","","0.3952745621","1.2","1.1063405697","0.576","0.3020741936","0.01","0.239218128","0.1756066253","0.1811805152","0.0173093952","0","0.0048672107","","0.0000000028","0.0000019128","0.0000010136","","","0","0","","9387.5693807832"
"2024-05-07","3514.3647132294","3017.821100955","2300.2663612452","581.9861201357","39.1025979848","16.8","4.6521368068","7.5798109492","5.0475740469","0.8635966022","","0.4035505559","1.2","1.1066317756","0.576","0.3022741936","0.01","0.236503128","0.174595771","0.0998238431","0.0173093952","0","0.0046084","","0","0.0000019128","0.0000010136","","","0","0","","9492.615311944"
