"Service","EC2-Instances($)","VPC($)","EC2-Other($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Elastic Load Balancing($)","ElastiCache($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Service Catalog($)","Cost Explorer($)","DynamoDB($)","Route 53($)","Key Management Service($)","S3($)","SQS($)","SNS($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-24","11.4394114675","6.8404556305","9.1156550127","2.4","1.2839219569","2.352561712","","0.0825649992","0.0380566656","0.0014","0.01","0.021312","","0.002706","0.0002324083","0.0001008","0","0.00000258","0.000000314","0.0000005481","","0","0","","33.5883820948"
"2024-04-25","11.4394035749","6.8404563807","9.1128069436","2.4","1.2847081023","2.3538008022","","0.0826799992","0.0380566656","0.0014","0.01","0.021312","","0.002706","0.0002324082","0.0001104","0","0.0000026917","0.000000345","0.0000006003","","0","0","","33.5876769137"
"2024-04-26","11.1143915701","6.840458008","9.1249193798","2.4","1.2845178882","2.3534062026","","0.0827949992","0.0380566656","0.0014","0.01","0.021312","","0.002706","0.0002357126","0.0001152","0","0.0000025653","0.000000344","0.0000006264","","0","0","","33.2743171618"
"2024-04-27","11.4393921823","6.8404557715","9.122193989","2.4","1.2826372573","2.3518703178","","0.0829099992","0.0380566656","0.0014","","0.021312","","0.002772","0.000242137","0.0001152","0","0.0000027996","0.000000328","0.0000006264","","0","0","","33.5833612737"
"2024-04-28","11.4393908704","6.8404556388","9.1181744059","2.4","1.2826130915","2.3538361569","","0.0827949992","0.0380566656","0.0007","0.01","0.021312","","0.003036","0.0002324082","0.0001152","0","0.0000025051","0.000000386","0.0000006003","","0","0","","33.5907209279"
"2024-04-29","11.4394105793","6.8405361443","9.1206729057","2.4","1.2847031442","2.3541971698","","0.0822199992","0.0380566656","0.0014","0.01","0.021312","","0.002829","0.0002324082","0.000096","0","0.0000032733","0.000000328","0.0000005742","","0","0","","33.5956701918"
"2024-04-30","11.4394303635","6.8405695991","9.1188212062","2.4","1.2858745915","2.3524813284","","0.0824499992","0.0380566656","0.0007","0.01","0.021312","","0.002898","0.0002356442","0.0001056","0","0.0000037025","0.000000314","0.0000006525","","0","0","","33.5929396667"
"2024-05-01","9.3216130369","6.8483025871","9.2055359266","2.4","1.2648199051","2.3533856648","","0.0799843536","0.037314773","0","0.01","0.021312","0.1","0.00231","0.0002324082","0.0001056","0","0.0000036612","0.000000357","0.0000006525","","0","0","","31.644920926"
"2024-05-02","9.2843523628","6.842250149","8.9591731786","2.4","1.2850280804","2.3529585295","","0.0799843536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002324082","0.0000864","0","0.0000035607","0.000000313","0.0000005742","","0","0","","31.2758927268"
"2024-05-03","9.2842837776","6.8410356732","8.9461246172","2.4","1.2812088849","2.3545884501","","0.0798693536","0.0378048168","0","0.01","0.021312","","0.002838","0.000238901","0.0001056","0","0.0000036686","0.000000299","0.0000005742","","0","0","","31.2594146162"
"2024-05-04","9.284278099","6.8405038868","8.9479411233","2.4","1.284756294","2.3533194811","","0.0798693536","0.0378048168","0","0.01","0.021312","","0.002244","0.0002324082","0.0001104","0","0.0000033878","0.000000372","0.0000006003","","0","0","","31.2623762229"
"2024-05-05","9.2842858586","6.840505583","8.9499817506","2.4","1.2793038083","2.3544579761","","0.0797543536","0.0378048168","0","0.01","0.021312","","0.00231","0.0002357126","0.0001104","0","0.0000035829","0.000000342","0.0000005742","","0","0","","31.2600667587"
"2024-05-06","9.2842998374","6.8409966855","8.9508175425","2.4","1.2806087075","2.3545881951","","0.0797543536","0.0378048168","0","0.01","0.021312","","0.00231","0.0002324082","0.0001008","0","0.0000034958","0.000000343","0.0000005742","","0","0","","31.2628297596"
"2024-05-07","9.2843292962","6.8409894887","8.9630069348","2.4","1.2800240503","2.3545888375","","0.0802143536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002324082","0.0001056","0","0.0000033569","0.000000314","0.0000004959","","0","0","","31.2753179529"
"2024-05-08","9.2843141196","6.8405271961","8.9476948946","2.4","1.2796473661","2.3547347502","","0.0767585472","0.0378048168","0","0.01","0.021312","","0.002706","0.0002324082","0.0001104","0","0.0000033293","0.000000327","0.0000005481","","0","0","","31.2558467032"
"2024-05-09","9.2843296454","6.8405397942","8.952772868","2.4","1.2773993435","2.3542963204","","0.0798693536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002061877","0.0001152","0","0.000003587","0.000000342","0.0000006264","","0","0","","31.261356085"
"2024-05-10","9.2843359891","6.8424276383","8.9578227053","2.4","1.2780414912","2.3534544518","","0.0802143536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002324082","0.0001152","0","0.0000036577","0.000000357","0.0000006264","","0","0","","31.2684716954"
"2024-05-11","9.2842793375","6.8404427472","8.9471481302","2.4","1.2776502479","2.3539391888","","0.0769885472","0.0378048168","0","0.01","0.021312","","0.002244","0.0002356442","0.00012","0","0.0000035035","0.000000357","0.0000006264","","0","0","","31.2521691467"
"2024-05-12","9.2842803834","6.8404550615","8.9528108491","2.4","1.2785627638","2.3544741326","","0.0800993536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002390054","0.0001104","0","0.0000037328","0.000000357","0.0000005481","","0","0","","31.2628594041"
"2024-05-13","9.2843134837","6.8404531663","8.9512404913","2.4","1.6124923758","2.3532149139","","0.0766435472","0.0378048168","0","0.01","0.021312","","0.002706","0.0002324088","0.0001056","0","0.0000035151","0.000000315","0.0000004176","","0","0","","31.5905230515"
"2024-05-14","9.2842954048","6.8417483272","8.9482265872","2.4","1.2780969225","2.3539452131","","0.0799843536","0.0378048168","0","0.01","0.021312","","0.002706","0.0002356442","0.0000816","0","0.0000034897","0.000000328","0.0000005742","","0","0","","31.2584412613"
"2024-05-15","9.3569102501","6.8446958582","9.1013725162","2.4","1.2823322474","2.3555453535","","0.0767635472","0.0379207925","0","0.01","0.021312","","0.001914","0.0002374082","0.0001104","0.0000000022","0.0000030407","0.000000358","0.0000006003","","0","0","","31.4891183745"
"2024-05-16","9.2843082122","6.8409876227","8.9533577023","2.4","1.2775774244","2.3539055463","","0.0803293536","0.0379655016","0","0.01","0.021312","","0.00264","0.0003370363","0.0001056","0","0.000002931","0.00000027","0.0000004959","","0","0","","31.2628296963"
"2024-05-17","9.284291395","6.8404522257","8.952718852","2.4","1.2771089991","2.3537981744","","0.0799843536","0.0379655016","0","0.01","0.021312","","0.002706","0.0003568184","0.0001056","0","0.0000028805","0.000000345","0.0000006525","","0","0","","31.2608037978"
"2024-05-18","9.2842871997","6.8404524218","8.9479355062","2.4","1.278088275","2.3546071865","","0.0799843536","0.0379655016","0","0.01","0.021312","","0.002706","0.0003536291","0.00012","0","0.0000028632","0.000000345","0.0000005742","","0","0","","31.2578158559"
"2024-05-19","9.2607571756","6.8404531272","8.9461278753","2.4","1.2762547686","2.3546269025","","0.0798693536","0.0379655016","0","0.01","0.021312","","0.002706","0.0003153206","0.0001056","0","0.0000029064","0.00000027","0.0000005742","","0","0","","31.2304973756"
"2024-05-20","9.2842982562","6.8419085846","8.9529509991","2.4","1.2718589793","2.3531306402","","0.0802143536","0.0379655016","0","0.01","0.021312","","0.002706","0.0003242085","0.0001104","0","0.0000029422","0.00000036","0.0000006003","","0","0","","31.2567838256"
"2024-05-21","9.2843289149","6.8431808837","8.9541793688","2.4","1.27590229","2.3542011493","","0.0799843536","0.0379655016","0","0.01","0.021312","","0.002772","0.0003109206","0.0001104","0","0.0000029087","0.000000345","0.0000005742","","0","0","","31.2642516104"
"2024-05-22","9.2843207615","6.8405086862","8.9625973923","2.4","1.2760377262","2.3540217585","","0.0767585472","0.0379655016","0","0.01","0.021312","","0.002178","0.0003524775","0.0001104","0","0.0000028903","0.00000033","0.0000006003","","0","0","","31.2661670716"
"2024-05-23","9.2844516914","6.8446393208","8.9988842573","2.4","1.3223983627","2.3549560263","","0.0798693536","0.0380514004","0","0.01","0.021312","","0.002706","0.0003329081","0.0001056","0","0.0000029063","0.000000357","0.000000522","","0","0","","31.3577107059"
"2024-05-24","9.2844581265","6.8428685612","9.0042986794","2.4","1.3581494346","2.3548251514","","0.0798693536","0.038239681","0","0.01","0.021312","","0.002706","0.0002993079","0.0001056","0","0.0000028391","0.0000003","0.0000004959","","0","0","","31.3971355306"
"2024-05-25","9.2842827822","6.8404490979","8.9426687154","2.4","1.3533259204","2.3555866234","","0.0796393536","0.0382867176","0","0.01","0.021312","","0.002739","0.0003771273","0.0000816","0","0.0000027735","0.000000255","0.0000005742","","0","0","","31.3287525405"
"2024-05-26","9.2842824072","6.8404512999","8.944561008","2.4","1.3534337107","2.3534892988","","0.0796393536","0.0382867176","0.0014","0.01","0.021312","","0.002898","0.0003375247","0.000096","0","0.0000029046","0.000000269","0.0000004698","","0","0","","31.3301909639"
"2024-05-27","9.2843227234","8.5054769846","8.9501091738","2.4","1.3536502664","2.3542092676","","0.0799843536","0.0382867176","0.0014","0.01","0.021312","","0.002346","0.0003308807","0.0000912","0","0.0000029748","0.000000269","0.0000004698","","0","0","","33.0015232813"
"2024-05-28","8.3340741406","9.7233386178","8.8740212476","2.4","1.3496577443","2.3501608322","","0.0796393536","0.0383954952","0.0014","0.01","0.021312","","0.002898","0.0002529822","0.000096","0","0.000002815","0.000000343","0.000000522","","0","0","","33.1852500935"
"2024-05-29","7.7243702891","9.7206868203","8.7294182665","2.4","1.3396555387","2.3489897049","","0.0797543536","0.0384474864","0.0014","0.01","0.021312","","0.002829","0.0014427003","0.000096","0","0.0000035628","0.000000225","0.0000004698","","0","0","","32.4184064174"
"2024-05-30","7.7243169697","9.7206898107","8.1908236915","2.4","1.3389226894","2.3506515028","","0.0765285472","0.0384474864","0.0014","0.01","0.021312","","0.002829","0.0020261973","0.0000912","0","0.0000037205","0.000000313","0.000000522","0.0000000249","0","0","","31.8780436754"
"2024-05-31","7.7243021325","9.7206822202","8.0141223967","2.4","1.3383644362","2.3483044948","","0.0792943536","0.0384474864","0.0014","0.01","0.021312","","0.002829","0.0021945311","0.0001056","0","0.0000039622","0.000000341","0.0000004959","","0","0","","31.7013634506"
"2024-06-01","7.7242835735","9.7206826642","8.1281884348","2.4","1.3394337679","2.349696463","","0.0827949992","0.0397290696","0","0.01","0.021312","0.1","0.002706","0.0022745772","0.0001008","0","0.0000038836","0.000000267","0.0000006003","","0","0","","31.9212071003"
"2024-06-02","7.7242701114","9.7206794083","8.1273724848","2.4","1.3405439109","2.3503109961","","0.0824499992","0.0397290696","0","0.01","0.021312","","0.002706","0.0022928613","0.0001152","0","0.0000037865","0.000000341","0.0000005481","","0","0","","31.8217867172"
"2024-06-03","7.7243329958","9.7207273356","8.1340736949","2.4","1.3422869207","2.3497145103","","0.0823349992","0.0397290696","0","","0.021312","","0.002772","0.0022078201","0.0000912","0","0.0000037392","0.000000297","0.0000005742","","0","0","","31.8195871566"
"2024-06-04","7.7242918861","9.7206815719","8.1238293606","2.4","1.3417873591","2.3512156585","","0.0823349992","0.0397290696","0","0.01","0.021312","","0.002706","0.0016910955","0.000096","0","0.0000031326","0.00000027","0.0000005742","","0","0","","31.8196789773"
"2024-06-05","7.7244175546","9.7207135522","8.1338312175","2.4","1.3427214806","2.3515495481","","0.0824499992","0.0397290696","0","0.01","0.021312","","0.00231","0.0016778988","0.0000912","0","0.0000024591","0.000000195","0.0000003915","","0","0","","31.8308065662"
"2024-06-06","7.7243774301","9.7207334489","8.1315190571","2.4","1.3446406922","2.3497279903","","0.0821049992","0.0397290696","0","0.01","0.021312","","0.002508","0.0018694312","0.0000912","0","0.0000031038","0.000000285","0.0000005481","","0","0","","31.8286172555"
"2024-06-07","7.724400637","9.7207334273","8.1234100687","2.4","1.3393788838","2.3496921629","","0.0818749992","0.0397290696","0","0.01","0.021312","","0.002376","0.0017778022","0.0000624","0","0.0000031064","0.000000296","0.0000003915","","0","0","","31.8147512446"
"2024-06-08","7.7242884752","9.7206830292","8.1267276195","2.4","1.3417249608","2.3491352093","","0.0818749992","0.0397290696","0","0.01","0.021312","","0.002376","0.0018677672","0.0000816","0","0.0000032099","0.000000269","0.0000004437","","0","0","","31.8198046526"
"2024-06-09","7.7242785931","9.7206820673","8.129320955","2.4","1.341790898","2.3494928109","","0.0821049992","0.0397290696","0","0.01","0.021312","","0.002376","0.0018677672","0.0000816","0","0.0000030797","0.000000285","0.0000004698","","0","0","","31.8230405948"
"2024-06-10","7.7243560481","9.7242019021","8.1263287241","2.4","1.3430077464","2.3471998873","","0.0821049992","0.0397290696","0","0.01","0.021312","","0.00231","0.0021228065","0.000072","0","0.0000030874","0.00000024","0.0000004959","","0","0","","31.8227490066"
"2024-06-11","7.7243288189","9.7206814035","8.1258247985","2.4","1.3431196295","2.3502852353","","0.0819899992","0.0397290696","0","0.01","0.021312","","0.002376","0.0018478063","0.000072","0","0.0000028592","0.00000024","0.0000004176","","0","0","","31.8215702776"
"2024-06-12","7.7243778868","9.7206808468","8.1455469948","2.4","1.3461853632","2.3491676524","","0.0817599992","0.0397290696","0","0.01","0.021312","","0.002376","0.0015144243","0.0000576","0","0.0000029915","0.00000024","0.0000004698","","0","0","","31.8427115384"
"2024-06-13","7.7243383902","9.7206736889","8.1262720254","2.4","1.3414544836","2.3496555647","","0.0816449992","0.0397290696","0","0.01","0.021312","","0.0024","0.0016177315","0.000072","0","0.0000028843","0.00000024","0.0000003654","","0","0","","31.8191734428"
"2024-06-14","7.7242715746","9.7207282429","8.1253211589","2.4","1.3409880569","2.3496270797","","0.0812999992","0.0397290696","0","0.01","0.021312","","0.002154","0.0011292794","0.000048","0","0.0000028386","0.00000018","0.0000002349","","0","0","","31.8166117147"
"2024-06-15","7.7243059694","9.7207614975","8.1227564316","2.4","1.340232784","2.3483941053","","0.0806099992","0.0397290696","0","0.02","0.021312","","0.002178","0.0007625917","0.0000192","0","0.0000032741","0.00000006","0.0000001044","","0","0","","31.8210650868"
"2024-06-16","7.72428566","9.7207397412","8.1248999666","2.4","1.3425095368","2.3510583255","","0.0802649992","0.0397290696","0","0.01","0.021312","","0.002376","0.0003375247","0.0000096","0","0.0000034155","0.00000003","0.0000000261","","0","0","","31.8175258952"
"2024-06-17","7.7243328889","9.7207421873","8.1339389755","2.4","1.3428784968","2.3483167125","","0.0767016659","0.0397290696","","","0.021312","","0.002178","0.0003375247","","","0.000003185","","","","0","","","31.8104707062"
"2024-06-18","6.7743257655","9.7207366332","8.129071466","2.4","1.3432344927","2.3497229175","","0.0767016659","0.0397290696","","","0.021312","","0.002244","0.0003375247","","","0.0000028397","","","","0","","","30.8574183748"
"2024-06-19","6.7424394651","9.7207368491","8.12629296","2.4","1.3420431724","2.3491981963","","0.0804949992","0.0397290696","","","0.021312","","0.001716","0.0003375247","0.0000144","","0.0000029257","","","","0","0","","30.8243175621"
"2024-06-20","6.6713211081","9.7207353578","8.1265118039","2.4","1.3431438019","2.3471224443","","0.0800349992","0.0397290696","","","0.021312","","0.001254","0.0003375247","","","0.0000028608","","","","0","","","30.7515049703"
"2024-06-21","6.6571658793","9.7207354863","8.1276258207","2.4","1.348110628","2.3490445071","","0.0802649992","0.0397290696","0","0.02","0.021312","","0.002112","0.0005075521","0.0000096","0","0.0000031686","0.00000003","0.0000000783","","0","0","","30.7666208192"
"2024-06-22","6.5502861689","9.7207321615","8.1313665146","2.4","1.3427011288","2.34921199","","0.0800349992","0.0397290696","0","","0.021312","","0.002112","0.0003375249","","","0.0000030141","0.00000003","0.0000000261","","0","0","","30.6378266277"
"2024-06-23","6.5502864391","9.7207824897","8.1286937901","2.4","1.3452888815","2.3489025131","","0.0809549992","0.0397290696","0.0105","0.06","0.021312","","0.002244","0.0009342551","0.0000384","0","0.0000033264","0.0000001487","0.0000002349","","0","0","","30.7096705474"
"2024-06-24","6.4741112381","9.7207916834","8.1264040138","2.4","1.3462293155","2.3504159594","","0.0830249992","0.0397290696","0.0021","0.01","0.021312","","0.002376","0.0021833028","0.0001344","0","0.0000030103","0.000000402","0.0000007047","","0","0","","30.5788160988"
"2024-06-25","6.3083280443","9.7207925057","8.1454207507","2.4","1.3456706952","2.3500969547","","0.0831399992","0.0397290696","0.0021","0.01","0.021312","","0.00231","0.0029729407","0.000144","0","0.0000027946","0.000000458","0.0000008352","","0","0","","30.4320210479"
"2024-06-26","6.451741434","9.7207724863","8.1309955444","2.4","1.3463518932","2.3495849569","","0.0835999992","0.0397290696","0.0021","0.01","0.021312","","0.002376","0.0029729401","0.0001536","0","0.0000027959","0.000000458","0.0000008091","","0","0","","30.5616939867"
"2024-06-27","6.4205108452","9.7207339938","8.1305569198","2.4","1.3475050304","2.3497161356","","0.0819899992","0.0397290696","0.0007","","0.021312","","0.002376","0.0022928329","0.0001152","0","0.0000027284","0.000000356","0.0000006003","","0","0","","30.5175417112"
"2024-06-28","6.4696265728","9.7207359523","8.1294526312","2.4","1.3468647757","2.3502103616","","0.0837149992","0.0397290696","0.0021","0.01","0.021312","","0.002553","0.0029763373","0.0001488","0","0.0000027933","0.000000458","0.0000008352","","0","0","","30.5794285862"
"2024-06-29","6.371297397","9.7207319679","8.1298879918","2.4","1.3462550952","2.3495507424","","0.0837149992","0.0397290696","0.0021","0.01","0.021312","","0.002484","0.0025495084","0.0001488","0","0.0000027745","0.000000458","0.0000008091","","0","0","","30.4797656131"
"2024-06-30","6.3453094184","9.7207359694","8.126033945","2.4","1.3470385188","2.3502143964","","0.0830249992","0.0397290696","0.0014","0.01","0.021312","","0.002484","0.0025478731","0.0001248","0","0.0000027944","0.000000472","0.0000007308","","0","0","","30.4499589871"
"2024-07-01","6.4741479007","9.7206984586","8.0070532983","2.4","1.3464309497","2.3492333163","","0.0804443536","0.0384474864","0","0.01","0.021312","0.1","0.002376","0.0030579535","0.0001488","0","0.0000027959","0.000000472","0.0000008352","","0","0","","30.5533546202"
"2024-07-02","6.7924129992","9.5028372183","8.0075936339","2.4","1.3462122831","2.0159789919","","0.0811343536","0.0384474864","0","0.01","0.021312","","0.002046","0.0029729401","0.0001296","0","0.0000028395","0.000000444","0.0000007047","","0","0","","30.2210814947"
"2024-07-03","6.6803769525","9.3607118802","8.0156836854","2.4","1.3460481892","1.7747040901","","0.0810193536","0.0384474864","0","0.01","0.021312","","0.00198","0.0029729417","0.0001248","0","0.0000027178","0.000000384","0.0000008091","","0","0","","29.73338529"
"2024-07-04","6.6981474016","9.3607018063","8.0070096277","2.4","1.3442952709","1.77680465","","0.0806743536","0.0384474864","0","0.02","0.021312","","0.002376","0.0021244989","0.0001344","0","0.0000027953","0.000000414","0.0000007047","","0","0","","29.7520314094"
"2024-07-05","6.6593944743","9.3609171464","8.0745776367","2.4","1.3432772195","1.7745462237","","0.0799843536","0.0384474864","0","0.01","0.021312","","0.002376","0.002677505","0.0001104","0","0.0000027735","0.000000342","0.0000006003","","0","0","","29.7676241614"
"2024-07-06","6.4629724146","9.3606837785","8.0066418916","2.4","1.3444639667","1.7767784698","","0.0764135472","0.0384474864","0","0.01","0.021312","","0.00231","0.002029502","0.0001008","0","0.0000026393","0.000000313","0.0000005742","","0","0","","29.5021573833"
"2024-07-07","6.5168464405","9.3606880257","8.0055310506","2.4","1.3445087066","1.7758195792","","0.0799843536","0.0384474864","0","0.01","0.021312","","0.002376","0.0023716863","0.0001056","0","0.0000026613","0.00000033","0.0000006003","","0","0","","29.5579945205"
"2024-07-08","6.763462936","9.3606888569","8.0055330565","2.4","1.345451388","1.7741582726","","0.0799843536","0.0384474864","0","0.01","0.021312","","0.002244","0.0022845422","0.0000912","0","0.000002617","0.000000328","0.0000005481","","0","0","","29.8036615853"
"2024-07-09","6.6110748438","9.3606974827","8.0154665705","2.4","1.3462766196","1.7752707179","","0.0800993536","0.0384474864","0","0.01","0.021312","","0.002376","0.0022845428","0.0001056","0","0.0000027728","0.000000328","0.0000005742","","0","0","","29.6634148923"
"2024-07-10","6.6244694979","9.3606804839","8.010154633","2.4","1.3518744799","1.7756804615","","0.0802143536","0.0384474864","0","0.01","0.021312","","0.002376","0.0028787962","0.0001392","0","0.0000027726","0.000000444","0.0000007569","","0","0","","29.6782313659"
"2024-07-11","6.7590094717","9.3608593297","8.0337487004","2.4","1.3499929222","1.7750418396","","0.0811343536","0.0384474864","0","0.01","0.021312","","0.00198","0.0031346762","0.0001488","0","0.00000264","0.000000458","0.0000008091","","0","0","","29.8348134869"
"2024-07-12","6.7407826717","9.3606937129","8.0005078269","2.4","1.3499070818","1.7754516824","","0.0810193536","0.0384474864","0.0245","0.01","0.021312","","0.00231","0.0028030451","0.0001584","0","0.000002773","0.000000486","0.0000008613","","0","0","","29.8078973811"
"2024-07-13","6.610992824","9.3607136938","7.998910383","2.4","1.350022822","1.7759324765","","0.0811343536","0.0384474864","0.0245","0.01","0.021312","","0.00231","0.0031346762","0.0001536","0","0.0000028161","0.000000472","0.0000008352","","0","0","","29.6775684388"
