"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","Route 53($)","Elastic Load Balancing($)","OpenSearch Service($)","DocumentDB (with MongoDB compatibility)($)","DynamoDB Accelerator (DAX)($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","Secrets Manager($)","DynamoDB($)","ElastiCache($)","EC2 Container Registry (ECR)($)","S3($)","Cost Explorer($)","Service Catalog($)","Key Management Service($)","API Gateway($)","SQS($)","SNS($)","Lambda($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","X-Ray($)","CloudWatch Events($)","Total costs($)"
"2024-04-21","86.2342493055","11.3244564777","5.8203142464","2.3475839876","0.00003","1.7208","","2.6867820084","","2.4","0.5866666726","0.0297983344","0.021312048","","0.001687692","0.0018337446","0.01","0.0014","0.002706","","0.0001056","0","","0.0000025498","0.000000328","0.0000005742","","0","0","","","","113.1897295692"
"2024-04-22","87.0201370215","11.9775140783","5.8217715214","2.3456936187","0.000076","1.7209836841","","2.6867598672","","2.4","0.7129166714","0.0299033344","0.021312051","","0.001687692","0.0021414951","0.01","0.0014","0.002706","","0.0001152","0","","0.0000025058","0.000000358","0.0000006264","","0","0","","","","114.7551217253"
"2024-04-23","87.4560179701","12.280296088","5.8206545466","2.5390742474","0.0000272","1.7208172244","","2.6871029125","","2.4","0.8266666702","0.0298833344","0.0213120528","","0.001687692","0.0018426","0.01","0.0014","0.002733","","0.0001152","0","","0.0000025055","0.000000357","0.0000007047","","0","0","","","","115.7996343056"
"2024-04-24","88.6941533386","12.775160139","5.8204494328","2.3493958046","0.0000264","1.7208233782","","2.686954932","","2.4","0.9200000026","0.0296933344","0.0213120528","","0.001687692","0.0019137318","0.01","0.0014","0.002772","","0.0001056","0","","0.00000264","0.000000329","0.0000005742","","0","0","","","","117.435851382"
"2024-04-25","89.1277148273","13.699771095","5.8308745","2.7085800321","0.0000972","1.7225188475","","2.686615004","","2.4","1.5790284738","0.0878916673","0.6446880574","","0.0041217024","0.0023522931","0.01","0.0014","0.002727","0.0000107655","0.0010052547","0.0000000088","","0.000002805","0.000000285","0.0000006264","","0","0","","","","120.5094004453"
"2024-04-26","88.7860103674","12.8450846737","5.8218322268","2.3573108992","0.0000572","1.7210426441","","2.6869899796","","2.4","1.760000002","0.3169949999","0.8524800621","","0.0114156119","0.002199705","0.01","0.0014","0.002889","0.0000161527","0.0018708","0","","0.0000029508","0.000000345","0.0000006003","","0","0","","","","119.5775982205"
"2024-04-27","89.1049327821","12.7781635503","5.8204740176","2.3566068992","0.000052","1.7208","","2.6870301154","","2.4","1.760000002","0.460175","0.8524800648","","0.0162491424","0.0023823368","","0.0007","0.002706","","0.0018616","0","","0.0000028875","0.000000357","0.0000006525","","0","0","","","","119.9646174076"
"2024-04-28","88.7858888867","12.7859430621","5.8204754125","2.3549835259","0.0000368","1.7208","","2.6871522476","","2.4","1.760000002","0.45959","0.8524800648","","0.0162491424","0.0023807368","0.01","0.0007","0.002829","","0.0018564","0","","0.0000028372","0.000000313","0.0000005481","","0","0","","","","119.6613689791"
"2024-04-29","104.4626613844","13.6080445251","5.8277949484","2.4038074421","0.0002892","1.7219651116","","2.6867954424","","2.4","1.760252949","0.6258744442","0.8524800688","","0.0217302508","0.0021197368","0.01","0.0014","0.00315","0.0000129222","0.0018744","0.0000000022","","0.0000033533","0.000000356","0.0000006003","","0","0","","","","136.3902571376"
"2024-04-30","113.6638408098","13.4651035627","5.8227104009","2.3603309564","0.0002036","1.7210496528","","2.6871834045","","2.4","1.760174746","0.709185","0.8524801032","","0.0310993267","0.0021662966","0.01","0.0014","0.002904","0.0000290743","0.0018692","0","","0.000004138","0.000000329","0.0000005481","","0","0","","","","145.491735149"
"2024-05-01","113.6634244119","13.3524539639","5.825066497","2.3580185516","0.2001832","1.7214514798","","2.6867824265","","2.4","1.7037444572","0.699072096","0.7104001128","","0.0378170959","0.001943988","0.01","0","0.002775","0.0000172296","0.001862","0","","0.0000042161","0.000000343","0.0000006003","","0","0","","","","145.3750176696"
"2024-05-02","113.6207024254","13.3262056051","5.8215816579","2.3570336082","0.000084","1.7209051047","","2.6869339284","","2.4","1.7041736692","0.7136432248","0.8524801128","","0.0447875079","0.001931671","0.01","0","0.002805","0.0000086148","0.0018512","0","","0.0000042743","0.000000328","0.0000006786","","0","0","","","","145.2651326111"
"2024-05-03","117.3903167693","13.7889994347","5.8247133611","2.3586752412","0.0001632","1.721278473","","2.6868576864","","2.4","1.7034833913","0.7686215051","0.8524801178","","0.0482423662","0.002296988","0.01","0","0.002739","0.0000290689","0.0018368","0.0000000022","","0.000004226","0.000000328","0.0000005481","","0","0","","","","149.5607385073"
"2024-05-04","121.8423737302","13.9009609086","5.8223352522","2.3563538117","0.0000372","1.7208053333","","2.6868021868","","2.4","1.7032265538","0.8070750008","0.85248012","","0.0503740656","0.0019320724","0.01","0","0.002772","","0.0018336","0","","0.0000043462","0.000000358","0.0000006003","","0","0","","","","154.1593671399"
"2024-05-05","115.8028996563","13.7963252813","5.8220899312","2.3566156012","0.0000212","1.7208332024","","2.6873128866","","2.4","1.7032409442","0.8074000008","0.85248012","","0.0503740656","0.0019376927","0.01","0","0.002178","","0.0018568","0","","0.0000043384","0.000000344","0.0000006003","","0","0","","","","148.015570665"
"2024-05-06","113.6662321199","13.7023223574","5.8237814442","2.3572608749","0.0001468","1.721156997","","2.6868929398","","2.4","1.7032265582","0.8356367208","0.85248012","","0.0536695564","0.0019487942","0.01","0","0.002715","0.0000430728","0.001912","0","","0.0000044855","0.000000314","0.0000005742","","0","0","","","","145.8194307293"
"2024-05-07","113.6683570203","13.8312642435","5.8236314567","2.3606941913","0.0001088","1.7210759921","","2.6867260104","","2.4","1.704005592","0.927339194","0.8524801234","","0.0610573875","0.0027248195","0.01","0","0.022195204","0.0000161527","0.001876","0","","0.0000044028","0.000000329","0.0000005481","","0","0","","","","146.0735574673"
"2024-05-08","113.6241248022","13.9374620979","6.0296267774","2.3579954584","0.0002992","1.7217579834","2.0545478944","2.6883053144","","2.4","1.7042781525","1.0063061836","0.8524801324","","0.0726608579","0.0025967246","0.01","0","0.035927064","0.0000172298","0.001866","0","","0.0000041367","0.000000342","0.0000006525","","0","0","","","","148.5002570041"
"2024-05-09","113.3260988583","13.9333463515","6.0274288425","4.6251438056","0.0003088","1.7218299131","3.2872895971","2.6869002672","","2.4","1.7042265667","1.112905484","0.8524801344","","0.0839746094","0.0023077185","0.01","0","0.035735064","0.0000139987","0.0018524","0.0000000022","","0.0000039769","0.000000344","0.0000005742","","0","0","","","","151.8118473083"
"2024-05-10","113.6479090377","14.1115775052","5.8290307984","2.4216446976","0.0003856","1.7220632816","3.2872893147","2.6870604739","","2.4","1.7046422972","1.1726006448","0.8524801398","","0.0925171328","0.0024298305","0.01","0","0.035279064","0.0000226135","0.001896","0","","0.0000038871","0.000000371","0.0000006003","","0","0","","","","149.9788332901"
"2024-05-11","113.6706462161","13.9111123532","5.8226321554","2.4228399337","0.0000716","1.7208338971","3.2872894448","2.6868621052","","2.4","1.7044412963","1.1867345692","0.8524801383","","0.0987966264","0.0022395577","0.01","0","0.035699064","","0.001856","0","","0.0000038064","0.000000386","0.0000006264","","0","0","","","","149.8145397762"
"2024-05-12","119.8845502375","14.3872880714","5.8236377386","2.4239036508","0.0001048","1.7209446209","3.2872895611","2.6870984164","","2.4","1.7044419126","1.2241212896","0.8524801388","","0.0987966264","0.0023818407","0.01","0","0.035534064","","0.0018564","0.0000000066","","0.0000038726","0.000000329","0.0000006003","","0","0","","","","156.5444341773"
"2024-05-13","138.2092656097","14.7422462353","5.8278307068","3.2336708406","0.0004112","1.7216841571","3.2872888197","2.6870116288","1.872","2.4","1.7039198811","1.2444945692","0.8524801379","","0.1044969628","0.0026794897","0.01","0","0.035537064","0.0000107686","0.0018528","0","","0.0000038511","0.000000299","0.0000004698","","0","0","","","","177.9368854912"
"2024-05-14","138.2090327749","14.9172799631","5.8281117718","3.556640078","0.0003856","1.7258551624","3.2873016434","2.6869003904","2.808","2.4","1.7032618798","1.3143712896","0.8524801364","","0.1183359674","0.0039056314","0.01","0","0.036038064","0.0000139963","0.0018592109","0.0000000022","","0.000003711","0.000000342","0.0000006525","","0","0","","","","179.4597782675"
"2024-05-15","137.8675474482","14.831765459","5.8270011184","3.4930825082","0.0004928","1.72610385","3.2873033481","2.6871978304","2.808","2.4","1.6841448202","1.3023745692","0.983018665","","0.1282282136","0.0063008167","0.01","0","0.035996064","0.0000204599","0.0018884","0","","0.0000031478","0.000000343","0.0000006003","","0","0","","","","179.080470462"
"2024-05-16","139.9655040482","15.5312398377","5.8255776422","3.5460114247","0.0001536","1.7219799896","3.2873034201","2.6892558169","2.808","2.4","1.6976618663","1.3270131712","2.3632473225","","0.131430072","0.004173456","0.01","0","0.035960064","0.0000075381","0.0018604","0","","0.0000030396","0.00000033","0.0000006003","","0","0","","","","183.3463836394"
"2024-05-17","143.0510368027","16.0942060458","5.8254688945","8.2484990718","0.0004","1.7222808254","3.2873066196","2.6879189795","2.808","2.4","1.728741786","1.3262545152","1.6745231878","","0.1320165196","0.0038238057","0.01","0","0.035969064","0.0000236906","0.001904","0","","0.0000028618","0.000000343","0.0000005742","","0","0","","","","191.0383775872"
