"Service","EC2-Instances($)","EC2-Other($)","VPC($)","CloudWatch($)","ElastiCache($)","OpenSearch Service($)","Elastic Load Balancing($)","S3($)","Secrets Manager($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Lambda($)","SNS($)","SQS($)","Simple Workflow Service($)","Step Functions($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-16","236.2681990751","35.0442961338","11.8254448695","8.0730905577","5.904","12.1596267695","1.7477127663","0.1650418471","0.60667","2.4","0.170891961","0.132304728","0.00369","0.01","","0","0.000012271","0.0000017607","0.0000108","0.0000019128","0.0000007602","0","0","","314.5109962127"
"2024-04-17","236.2684381862","35.0828257582","11.8261845378","8.0745171567","5.904","12.1596408856","1.7482044881","0.1653834597","0.60621","2.4","0.1708912496","0.132304728","0.00369","0.01","","0","0.0000088813","0.0000018731","0.0000104","0.0000014349","0.0000010136","0","0","","314.5523140528"
"2024-04-18","236.2683999145","35.0729375341","11.7977599691","8.1059916145","5.904","12.1596411774","1.7486766534","0.1682929401","0.60575","2.4","0.170894384","0.132304728","0.00369","0.01","","0","0.0000068708","0.0000018711","0.0000104","0.0000019128","0.0000010136","0","0","","314.5483609834"
"2024-04-19","236.2683779287","35.0831957594","11.7065069036","8.1199128802","5.904","12.15964436","1.7477174064","0.1709541114","0.60529","2.4","0.1708931015","0.132304728","0.00306","0.01","","0","0.0000102543","0.0000018733","0.0000092","0.0000019128","0.0000010136","0","0","","314.4818814332"
"2024-04-20","236.2684041977","35.0872766627","11.7040421024","8.1062912237","5.904","12.1596481154","1.7460983546","0.166029018","0.60506","2.4","0.1708886837","0.132304728","0.00306","0.01","","0","0.0000159875","0.0000023131","0.0000096","0.0000014349","0.0000007602","0","0","","314.4631331819"
"2024-04-21","236.1384264405","35.0794685783","11.6667841886","8.0789646688","5.904","12.1596477382","1.7443018168","0.1629449406","0.60598","2.4","0.1708866885","0.132304728","0.00369","0.01","","0.0014","0.0000097","0.0000017623","0.00001","0.0000019128","0.0000010136","0","0","","314.258824177"
"2024-04-22","236.183250338","35.099845149","11.5862955356","8.0812176504","5.904","12.1596472329","1.7471360318","0.1856125734","0.60552","2.4","0.1708899668","0.132304728","0.00306","0.01","","0.0014","0.000020425","0.0000019811","0.00001","0.0000014349","0.0000010136","0","0","","314.2702140605"
"2024-04-23","236.268502191","35.1066933106","11.5875270851","8.0573134794","5.904","12.1596468766","1.7480940919","0.196719521","0.60598","2.4","0.170891107","0.132304728","0.003687","0.01","","0.0014","0.0000149524","0.0000023065","0.00001","0.0000019128","0.0000010136","0","0","","314.3527895759"
"2024-04-24","236.1833016518","35.097621196","11.5853800005","8.0683639803","5.904","12.1596483033","1.7466375839","0.190301242","0.57983","2.4","0.1708923889","0.132304728","0.00369","0.01","","0.0014","0.0000032541","0.0000016537","0.0000084","0.0000019128","0.0000007602","0","0","","314.2333870555"
"2024-04-25","236.269492389","35.1033198542","11.5863735051","8.0767392291","5.904","12.1596482415","1.7464435097","0.1836002461","0.60506","2.4","0.1708926739","0.132304728","0.00369","0.01","","0.0014","0.0000092938","0.0000018708","0.0000096","0.0000019128","0.0000010136","0","0","","314.3529880676"
"2024-04-26","236.2690954047","35.3029762222","11.6131645562","8.3944697501","5.904","12.1596481515","1.7448101946","0.1790248989","0.60506","2.4","0.1708919617","0.132304728","0.004029","0.01","","0.0014","0.0000084854","0.0000015432","0.0000092","0.0000019128","0.0000007602","0","0","","314.8908967695"
"2024-04-27","236.1391503096","36.217879485","11.7042643145","8.0584684732","5.904","12.1596491765","1.7447289164","0.1789551304","0.60506","2.4","0.1708903939","0.132304728","0.004077","","","0.0014","0.0000071479","0.000001984","0.0000088","0.0000014349","0.0000007602","0","0","","315.4208480545"
"2024-04-28","236.269105722","36.2778552818","11.704334692","8.0583294417","5.904","12.159649497","1.7434609454","0.1745990927","0.60552","2.4","0.1708872592","0.132304728","0.004104","0.01","","0.0007","0.0000028459","0.0000014345","0.0000084","0.0000019128","0.0000010136","0","0","","315.6148662666"
"2024-04-29","236.2692900415","36.28709496","11.7417411546","8.0716439656","5.904","12.1596480175","1.7467809847","0.1941271451","0.60506","2.4","0.1708918191","0.132304728","0.003825","0.01","","0.0014","0.0000183167","0.0000023095","0.0000084","0.0000019128","0.0000010136","0","0","","315.6978397687"
"2024-04-30","236.2692592072","36.3176346971","11.8316423511","8.0883934749","5.904","12.1596409207","1.7473131044","0.198312172","0.606","2.4","0.1708989441","0.132304728","0.0138832223","0.01","","0.0007","0.0000072147","0.0000018713","0.0000084","0.0000014349","0.0000007602","0","0","","315.8500025029"
"2024-05-01","240.1213798684","35.6578142176","11.854090388","8.3804288476","5.904","12.1297188617","1.7482866452","0.1998062493","0.7191201616","2.4","0.1709678182","0.1292073344","0.037244064","0.01","1","0","0.0000768","0.0000037474","0.0000096","0.0000019128","0.0000010136","0","0","","320.4621575298"
