"Service","EC2-Instances($)","EC2-Other($)","Elastic MapReduce($)","ElastiCache($)","Relational Database Service($)","S3($)","CloudWatch($)","VPC($)","Elastic Load Balancing($)","Route 53($)","Elastic Container Service for Kubernetes($)","DynamoDB($)","EC2 Container Registry (ECR)($)","Key Management Service($)","Secrets Manager($)","Cost Explorer($)","Service Catalog($)","SQS($)","Lambda($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Systems Manager($)","CodeArtifact($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Total costs($)"
"2024-04-18","1334.0442071277","724.5457857456","255.8976","1.9705459896","53.0664184178","1.4901113904","9.9012628804","9.4652725771","5.6279545564","9.889590235","4.8","0.6393601407","0.3470242484","0.3109230024","0.1408783344","0.01","0","0.0000536","0.0000058396","0","0.0000019128","0.0000007602","","0","","0","0","","","2412.1469967585"
"2024-04-19","1339.3395472069","713.4247709698","255.8976","1.9705459896","53.1033728361","1.3713956866","10.0662314796","9.4098402953","5.6320696396","9.88711","4.8","0.6393601385","0.3545747765","0.3107580024","0.1379333344","0.01","0","0.0000328","0.0000062104","0","0.0000014349","0.0000010136","","0","","0","0","","","2406.3551518142"
"2024-04-20","1333.6136297129","699.6908195373","255.8976","1.9705490937","53.1299040283","0.8563751432","9.9042327095","9.3640144717","5.8747775001","9.9024872","4.8","0.639360139","0.356565516","0.3108390024","0.1355983344","0.01","0","0.0000288","0.0000061416","0","0.0000019128","0.0000010136","","0","","0","0","","","2386.4567902565"
"2024-04-21","1333.3817266248","689.1042718582","255.8976","1.9705717449","53.1329083446","0.8866988982","9.9113287243","9.3632658482","5.586771321","9.896116","4.8","0.6393601385","0.356565516","0.3108390024","0.1356433344","0.01","0.0014","0.00003","0.0000058896","0","0.0000019128","0.0000007602","","0","","0","0","","","2375.3851059181"
"2024-04-22","1333.3637012464","722.7856179587","255.8976","1.9705782036","53.146173568","0.9479357858","10.3344041676","9.4223693695","5.7147191684","9.9028252","4.8","0.6393601386","0.3567872953","0.3106800024","0.1356833344","0.01","0.0014","0.0000256","0.0000061916","0","0.0000014349","0.0000010136","","0","","0","0","","","2409.7398696788"
"2024-04-23","1332.5459780383","708.4850107964","255.8976","1.970578212","53.1146879172","0.9942264247","9.8474023024","9.4181095757","5.627398018","9.9039824","4.8","0.6393601385","0.3573368339","0.3106710024","0.1358133344","0.01","0.0014","0.000028","0.0000059479","0","0.0000019128","0.0000010136","","0","","0","0","","","2394.0595918682"
"2024-04-24","1331.3536744808","715.7796551487","255.8976","14.9004710508","53.0717887443","1.0979976054","9.9008153074","9.4237096141","5.7035598918","9.9027604","4.8","0.639360139","0.363662118","0.3107520024","0.1380750003","0.01","0.0014","0.0000264","0.0000204054","0.0001215529","0.0000019128","0.0000007602","","0","","0","0","","","2413.2954525343"
"2024-04-25","1340.764820422","714.4970304838","255.8976","40.5145803264","53.0300142851","1.0626363129","10.1121091002","9.6307155554","5.7831945226","9.9053376","4.8","0.6393601381","0.3690387031","0.3106650024","0.1489466664","0.01","0.0014","0.0000372","0.0000061854","0","0.0000014349","0.0000010136","","0","","0","0","","","2447.4774949523"
"2024-04-26","1351.1527340198","715.4357888169","255.8976","40.5147581334","52.9748508896","1.0790604855","9.6779286829","9.4668628047","5.8208568644","9.905166","4.8","0.6393601381","0.3722748367","0.3106470024","0.1489466664","0.01","0.0014","0.000024","0.0000060729","0","0.0000019128","0.0000010136","","0","","0","0","","","2458.2082683401"
"2024-04-27","1350.9217352717","714.262862198","255.8976","40.5163807398","52.9729218862","1.0995935224","9.6679367274","9.3617634354","5.5641414707","9.90379","4.8","0.6393601394","0.3731068816","0.3106050024","0.1491266664","0.01","0.0014","0.0000312","0.0000060041","0","0.0000019128","0.0000007602","","0","","0","0","","","2456.4523638185"
