"Service","EC2-Instances($)","EC2-Other($)","Elastic Load Balancing($)","VPC($)","Network Firewall($)","Elastic Container Service for Kubernetes($)","CloudWatch($)","S3($)","Lambda($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","Route 53($)","Cost Explorer($)","DynamoDB($)","Service Catalog($)","Key Management Service($)","SQS($)","SNS($)","Simple Workflow Service($)","Step Functions($)","Athena($)","Elastic File System($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-11","156.663675267","58.0952890368","12.6305674955","10.8943994409","9.6785744154","2.4","1.6699999991","0.1183565332","","0.1697616664","0.119890332","0.0025304","0.01","0.0213120648","0","0.004182","0.0017576","0","0.0000014349","0.0000007602","","0.0000000624","0","0","","252.4802985086"
"2024-04-12","153.1099476866","57.9273267195","12.6476888928","10.9494399478","9.6794892092","2.4","1.6864138048","0.1208781161","0.0000038867","0.1699466664","0.119890332","0.0046248","0.01","0.0213120648","0","0.004182","0.0017636","0.0000007666","0.0000019128","0.0000010136","","0.0000000624","0","0","","248.8529114821"
"2024-04-13","147.2744936604","58.2227261451","12.8475273161","10.945349052","9.5906620369","2.4","1.6723200026","0.1208420715","","0.1698716664","0.119890332","0.0053532","0.01","0.0213120648","0","0.004182","0.0017608","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","243.4062933366"
"2024-04-14","147.0238776519","58.445616515","12.8176951391","10.9457068187","9.5843586533","2.4","1.6704300026","0.1213819402","","0.1699516664","0.119890332","0.00514","0.01","0.0213120648","0","0.004209","0.0017612","0","0.0000019128","0.0000007602","","0.0000000624","0","0","","243.3413337194"
"2024-04-15","144.0576384321","59.21333925","12.8414847607","10.8514059397","9.7483630341","2.4","1.6741100026","0.1233372524","","0.1700366664","0.119890332","0.0066284","0.01","0.0213120648","0","0.004182","0.0017612","0.0000001174","0.0000014349","0.0000010136","","0.0000000624","0","0","","241.2434919631"
"2024-04-16","142.0583142355","59.2843015533","12.8685190099","10.8256090691","9.6758939127","2.4","1.6704100026","0.1251133701","","0.1698616664","0.119890332","0.0064104","0.01","0.0213120648","0","0.004308","0.00176","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","239.2417066052"
"2024-04-17","141.7387258938","60.4522113453","12.8666599466","10.8265210442","9.7461692088","2.4","1.6702211919","0.127993094","0.0017071493","0.1699816664","0.119890332","0.006056","0.01","0.0213120648","0","0.004224","0.0017572","0.0000002058","0.0000019128","0.0000007602","","0.0000000624","0","0","","240.1634330783"
"2024-04-18","142.747595583","61.0850636296","12.9048717613","10.8341581056","9.7101011608","2.4","1.6736162849","0.1359702156","82.2613213858","0.1801316664","0.119890332","0.005884","0.01","0.0213120648","0","0.004194","0.0017648","0","0.0000014349","0.0000010136","","0.0000000624","0","0","","324.0958775007"
"2024-04-19","152.5077529185","59.6924299812","12.8834779637","10.8273440571","9.6789513175","2.4","1.670172692","0.1310062728","1.4025972914","0.1700166664","0.119890332","0.005632","0.01","0.0213120648","0","0.004191","0.0017564","0","0.0000019128","0.0000007611","","0.0000000624","0","0","","251.5265336937"
"2024-04-20","152.6150607734","59.8397719658","12.8854860451","10.8252152548","9.660731189","2.4","1.6695887255","0.1308194793","","0.1698966664","0.119890332","0.0050768","0.01","0.0213120648","0.0007","0.003366","0.0017576","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","250.3586758849"
"2024-04-21","152.487530361","60.0330651153","12.8409706251","10.8352204856","9.5097801632","2.4","1.6700053921","0.1314736865","","0.1697466664","0.119890332","0.0048252","0.01","0.0213120648","0.0014","0.004284","0.0017564","0","0.0000014349","0.0000010136","","0.0000000624","0","0","","250.2412630029"
"2024-04-22","152.2080847945","59.7128774933","12.8730342173","10.9472220592","9.5923819424","2.4","1.6702653921","0.1350065492","","0.1698566664","0.119890332","0.0063424","0.01","0.0213120648","0.0014","0.004287","0.0017548","0","0.0000019128","0.0000007602","","0.0000000624","0","0","","249.8737184466"
"2024-04-23","151.6718809334","59.1878905188","13.1643680328","10.9455403478","9.6755617493","2.4","1.6703253921","0.1340834973","","0.1698866664","0.119890332","0.0058784","0.01","0.0213120648","0.0014","0.004188","0.0017624","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","249.1839713235"
"2024-04-24","151.5561206459","59.5036086879","13.5227627645","10.9609647415","9.7482641171","2.4","1.6729353921","0.1371962878","","0.1634805553","0.119890332","0.005988","0.01","0.0213120648","0.0014","0.004182","0.0017528","0","0.0000014349","0.0000010136","","0.0000000624","0","0","","249.8298608998"
"2024-04-25","151.9674890122","59.6891208189","13.4935929741","10.902420365","9.7072576966","2.4","1.670557392","0.1382301074","1.5700479865","0.1706116664","0.119890332","0.0051168","0.01","0.0213120648","0.0014","0.004182","0.0017552","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","251.8729874047"
"2024-04-26","151.9229632571","59.5363179261","13.4818821754","10.9639655372","9.7515047842","2.4","1.6716855584","0.1472706144","","0.1696816664","0.119890332","0.0049516","0.01","0.0213120648","0.0007","0.004182","0.001756","0","0.0000019128","0.0000007602","","0.0000000624","0","0","","250.2080662514"
"2024-04-27","151.5826060789","59.3670600509","13.4427156311","10.8305656415","9.6615859811","2.4","1.6700055584","0.1385121353","","0.1699966664","0.119890332","0.0046136","","0.0213120648","0.0007","0.00357","0.0017504","0","0.0000014349","0.0000010136","","0.0000000624","0","0","","249.4148866513"
"2024-04-28","151.9865115044","59.3691687709","13.4130749322","10.8253921168","9.5060730482","2.4","1.6700055584","0.1395826372","","0.1698416664","0.119890332","0.0047604","0.01","0.0213120648","0.0014","0.00441","0.0017552","0","0.0000019128","0.0000010136","","0.0000000624","0","0","","249.6431812201"
"2024-04-29","151.576304837","59.4633146623","13.4607399174","10.8291101228","9.5413190509","2.4","1.670469049","0.1355587582","0.7509469553","0.1699416664","0.1206566438","0.0051836","0.01","0.0213120648","0.0014","0.004305","0.00176","0","0.0000019128","0.0000007602","","0.0000000624","0","0","","250.1623250633"
"2024-04-30","151.6249051319","59.7459619517","13.4910023122","10.8294240838","9.537720914","2.4","1.670175625","0.1390980679","","0.1699566664","0.1213541688","0.0053572","0.01","0.0213120648","0.0014","0.004332","0.0017512","0","0.0000014349","0.0000010136","","0.0000000624","0","0","","249.7737538974"
"2024-05-01","147.3109395722","58.5351477765","13.5378807328","10.8322784201","9.5242531122","2.4","0.2227472787","0.1328750778","0.00000128","0.164830484","0.1183144217","1.5072688","0.01","0.0213120624","0","0.0042","0.0017576","0.0000001029","0.0000019128","0.0000007602","","0.00000006","0","0","","244.3238094543"
"2024-05-02","147.5882728567","58.5801104114","13.588602101","10.8330613403","9.564071767","2.4","1.6169356878","0.1339778912","0.0000012683","0.164925484","0.118781748","0.0094636","0.01","0.0213120624","0","0.004182","0.0017492","0.0000001029","0.0000019128","0.0000010136","","0.00000006","0","0","","244.6354505074"
"2024-05-03","147.8591950024","58.6992802172","13.5270235544","10.8297814064","9.6797185013","2.4","1.6195864895","0.1348493238","0.795895","0.164960484","0.118781748","0.0085104","0.01","0.0213120624","0","0.004182","0.001754","0","0.0000014349","0.0000010136","","0.00000006","0","0","","245.8748326979"
"2024-05-04","147.7064820542","58.6504695545","13.5003928373","10.8251622979","9.5507925424","2.4","1.6161345724","0.133356689","","0.156520484","0.118781748","0.0080364","0.01","0.0213120624","0","0.004284","0.0017572","0","0.0000019128","0.0000007602","","0.00000006","0","0","","244.7034851751"
"2024-05-05","147.916752575","57.6311004856","13.4728542874","10.8310799873","9.5512701684","2.4","1.6161345724","0.133726287","","0.143385484","0.118781748","0.008146","0.01","0.0213120624","0","0.004182","0.0017528","0","0.0000019128","0.0000010136","","0.00000006","0","0","","243.8604814439"
"2024-05-06","147.9946452911","57.6993100094","13.5038176868","11.0517996574","9.5734682836","2.4","1.6188369854","0.1357555333","0.0000024883","0.143445484","0.118781748","0.008022","0.01","0.0213120624","0","0.003471","0.0017528","0.0000002108","0.0000014349","0.0000010136","","0.00000006","0","0","","244.284423749"
"2024-05-07","122.8751394393","58.7807617967","13.5237953558","10.9543041775","9.6556099287","2.4","1.6170493619","0.1370199386","0.0000051033","0.143425484","0.118781748","0.007794","0.01","0.0213120624","0","0.004215","0.0017528","0.0000004347","0.0000019128","0.0000007602","","0.00000006","0","0","","220.2509693639"
"2024-05-08","123.3635956306","59.0279777257","13.5113794644","10.957871366","9.6182628087","2.4","1.6163745792","0.1370176409","","0.1374215055","0.1193071019","0.0075348","0.01","0.0213120624","0","0.004182","0.0017536","0","0.0000019128","0.0000010136","","0.00000006","0","0","","220.9339932717"
"2024-05-09","123.9828927767","59.0686719013","13.5281786369","10.9919929713","9.7036163975","2.4","1.6162981153","0.1408054633","0.0000036917","0.143460484","0.1198860072","0.007564","0.01","0.0213120624","0","0.004182","0.001748","0.0000003087","0.0000014349","0.0000010136","","0.00000006","0","0","","221.7406153248"
"2024-05-10","124.648995644","58.795871761","13.4788410423","11.0722164929","9.5578190316","2.4","1.6157313569","0.1391835124","","0.143465484","0.1198860072","0.007204","0.01","0.0213120624","0","0.004182","0.0017564","0","0.0000019128","0.0000007602","","0.00000006","0","0","","222.0164675277"
"2024-05-11","126.1404782734","58.7552493773","13.4637125717","10.850960688","9.5524860445","2.4","1.6161345827","0.139439343","","0.143630484","0.1198860072","0.0066808","0.01","0.0213120624","0","0.004182","0.0017576","0","0.0000019128","0.0000010136","","0.00000006","0","0","","223.2259128206"
