"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Secrets Manager($)","Elastic File System($)","S3($)","Backup($)","Relational Database Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Systems Manager($)","Lambda($)","SNS($)","Athena($)","SQS($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","CloudWatch Events($)","Total costs($)"
"2024-06-11","23.000469956","30.5976777974","11.9941618612","6.9571396416","3.4719566778","2.4","1.2162240096","0.706103285","0.593383311","1.2569398088","0.4299616672","0.1501650335","0.1823035475","0.0850929666","0.155944272","0.04","","0","","0.0004427409","0.0000006532","","0.0000068","","0.0000019128","0.0000010136","","0","0","","","83.2379769557"
"2024-06-12","21.6001306332","30.5250008181","11.8629432185","6.9600235368","3.3430000527","2.4","1.2131580096","0.7077531918","0.5933833297","1.2494788514","0.4302466672","0.1491023157","0.1867714267","0.0850938313","0.155944272","0.04","","0","","0.0004603053","0.0000006532","","0.0000068","","0.0000019128","0.0000007602","","0","0","","","81.5025005862"
"2024-06-13","24.3598826067","30.9198093771","11.8680935805","6.9655702867","3.3188470778","2.4","1.2166740096","0.7105373388","0.5933833489","1.0996520643","0.4303066672","0.7949880294","0.1876376476","0.0850953044","0.155944272","0.04","","0","","0.0004350414","0.0000016013","","0.000006","","0.0000014349","0.0000010136","","0","0","","","85.1468667022"
"2024-06-14","21.9670409326","30.7839492347","11.8550482254","6.956237947","3.4039266529","2.4","1.2184140096","0.7117043016","0.5933834538","3.5720807267","0.4292566672","0.3931933309","0.1880885547","0.0850953044","0.155944272","0.04","","0","","0.0004757636","0.0000014377","","0.0000044","","0.0000014349","0.0000007602","","0","0","","","84.7538474099"
"2024-06-15","22.3332340447","30.1504119748","11.8387374286","6.9557867796","3.3298797195","2.4","1.2179760096","0.7117043016","0.5933827994","1.068907316","0.4281716672","0.3935314657","0.1865592298","0.0850953044","0.155944272","0.04","","0","","0.000426629","0.0000006532","","0.0000024","","0.0000009566","0.0000007602","","0","0","","","81.8897537119"
"2024-06-16","21.7032576754","30.5822244473","11.838579434","6.9560307156","3.3308025724","2.4","1.2149100096","0.7117043016","0.593382818","1.4814832399","0.4275916672","0.3930702752","0.1866412064","0.0850953044","0.155944272","0.05","","0","","0.0004541409","0.0000006532","","0.0000012","","0.0000009566","0.0000002534","","0","0","","","82.1111751431"
"2024-06-17","22.6366642207","30.2240423395","11.8542315037","6.958126836","3.3275577804","2.4","1.2118440096","0.7120906592","0.5350735109","0.8878708368","0.4096138894","0.4058886604","0.2339699163","0.0851291105","0.155944272","0.03","","","","0.0004823785","0.0000017639","","0.0000004","","","","","0","","","","82.0685320878"
"2024-06-18","122.8677090239","28.2111510064","11.8458167012","6.9555392232","3.4829055141","2.4","1.2149280096","0.7133764542","0.4535928025","1.4431901099","0.4096588894","0.1430625097","0.1937927883","0.0851624337","0.155944272","0.03","","","","0.0004649077","0.000002727","","0.0000004","","","0.0000002534","","0","","","","180.6062980262"
"2024-06-19","169.5141713327","28.6751012175","11.8434007897","6.9554942706","3.3390251418","2.4","1.2118260096","0.7140200208","0.4400504712","1.0212591644","0.4270966672","0.1387384797","0.1954661963","0.0851624337","0.155944272","0.06","","0","","0.0004890832","0.0000005226","","0.0000004","","0.0000004782","","","0","","","","227.1772469512"
"2024-06-20","170.8697732436","29.5909161445","11.8456022016","6.9530931277","3.3400978138","2.4","1.2118500096","0.715206266","0.4400504904","0.9187689216","0.4274016672","0.1433115902","0.1951209614","0.0851624337","0.155944272","0.03","","","","0.000426643","0.0000012048","","0.0000004","","","","","0","","","","229.3227273911"
"2024-06-21","171.3197401297","29.6378898095","11.8405738944","6.9531053624","3.3909607277","2.4","1.2135960096","0.7206593263","0.4400505096","1.4000543366","0.4277166672","0.1471999496","0.2102186643","0.0851624337","0.155944272","0.04","","0","","0.0004728787","0.000000625","","0.0000016","","0.0000009566","0.0000002534","","0","0","","","230.3833484063"
"2024-06-22","170.5192693601","29.6158338823","11.843342188","6.9506516901","3.3284132195","2.4","1.2135960096","0.7224353856","0.4400498553","0.930239639","0.4277116672","0.1474182455","0.1982742197","0.0851624333","0.155944272","0.04","","","","0.0004224058","0.0000003172","","0.0000004","","","","","0","0","","","229.0187651902"
"2024-06-23","171.1567337171","29.8041556099","11.9573217965","6.9514284153","3.342456464","2.4","1.2144720096","0.7224353856","0.4400498743","0.9372501774","0.4286566672","0.1523296021","0.1990254226","0.0851624333","0.155944272","0.08","","0.0021","","0.000459272","0.0000004289","","0.0000048","","0.0000014349","0.0000007602","","0","0","","","230.0299885429"
"2024-06-24","166.0147939336","29.4888048309","11.9635268878","6.9556692011","3.3845026056","2.4","1.2210420096","0.7255206823","0.4405305666","0.9237766744","0.4319616672","0.1519141123","0.200668979","0.0851624333","0.155944272","0.04","","0.0021","","0.0004436995","0.0000007276","","0.0000116","","0.0000014349","0.0000007602","","0","0","","","224.5863770779"
"2024-06-25","162.8664425808","28.7771749981","12.0758014246","6.9547896597","3.2936097249","2.4","1.2302490096","0.727987956","0.440050948","1.7694140568","0.4320516672","0.1511291852","0.1964001844","0.0851624333","0.155944272","0.04","","0.0014","","0.0004858379","0.0000012181","","0.0000124","","0.0000019128","0.0000010136","","0","0","","","221.598110483"
"2024-06-26","159.9348487982","28.0958814677","12.0900309225","6.9571443936","3.3332368999","2.4","1.2262980096","0.727987956","0.4400508326","1.1257227433","0.4328866672","0.1449062824","0.1960888432","0.0851624333","0.155944272","0.04","","0.0021","","0.0004510008","0.0001214443","","0.0000128","","0.0000019128","0.0000010136","","0","0","","","217.388878693"
"2024-06-27","160.8890393094","28.4131594866","11.9766738707","7.3584952499","3.4187640667","2.4","1.2166800096","0.7283821973","0.4400508524","0.9888902216","0.4313766672","0.1405779725","0.1958260372","0.0851624333","0.155944272","0.03","","0.0021","","0.0004712473","0.0000003172","","0.0000092","","0.0000014349","0.0000010136","","0","0","","","218.8716058594"
"2024-06-28","159.2215020801","27.9487387226","11.9625710828","7.5250019367","3.325600775","2.4","1.2166620096","0.7287597755","0.4400508712","2.584699626","0.4323966672","0.1419259086","0.1956040277","0.085162432","0.155944272","0.04","","0.0014","","0.0004428196","0.0000003172","","0.0000128","","0.0000014349","0.0000007602","","0","0","","","218.4064783189"
"2024-06-29","160.0652451945","28.315068059","11.9573652719","7.5246163074","3.3610292919","2.4","1.2163350096","0.7288970952","0.4400502172","2.6099411026","0.4327566672","0.1397960311","0.1906282652","0.0851618889","0.155944272","0.04","","0.0021","","0.0004589868","0.0000003171","","0.0000132","","0.0000019128","0.0000010136","","0","0","","","219.665410104"
"2024-06-30","159.8747757868","27.7560745696","11.956454744","7.5245504281","3.3723469696","2.4","1.2159000096","0.7288970952","0.440050236","3.3175600475","0.4329366672","0.138850085","0.1907335091","0.0851618889","0.155944272","0.04","","0.0021","","0.0004453465","0.0000003171","","0.0000136","","0.0000019128","0.0000010136","","0","0","","","219.6327984986"
"2024-07-01","163.5689105482","27.6463664058","11.8683973108","7.5255363993","3.3648246139","2.4","1.177118304","0.7053842856","0.1940790838","2.6566718348","0.4187282264","0.1322590994","0.1953119078","0.0824142055","0.150913812","0.04","0.2","0","","0.0000144969","0.0000003172","","0.0000128","","0.0000014349","0.0000007602","","0","0","","","222.3269458465"
"2024-07-02","168.2081470591","28.3630149301","11.9572340014","7.5297825542","3.385528261","2.4","1.177514304","0.7053842856","0.4258573743","2.4860991873","0.4192682264","0.136636259","0.1895256031","0.0824142049","0.150913812","0.04","","0","","0.0002289025","0.0000003172","","0.0000104","","0.0000019128","0.0000010136","","0","0","","","227.6575626085"
"2024-07-03","167.1928402891","28.6456001102","11.9681454151","7.5311310096","3.2977819001","2.4","1.177085304","0.7053842856","0.4258573601","1.0840186353","0.4188032264","0.1374949509","0.1819698446","0.0824136793","0.150913812","0.04","","0","","0.000486435","0.0000013304","","0.0000132","","0.0000019128","0.0000010136","","0","0","","","225.4399437141"
"2024-07-04","167.968267259","28.695753827","12.0691097611","7.5301092097","3.3873894445","2.4","1.177514304","0.7070232897","0.425857379","1.0528907085","0.4176932264","0.1408273405","0.1714091731","0.0823945269","0.150913812","0.04","","0","","0.0004534655","0.0000003172","","0.0000112","","0.0000019128","0.0000007602","","0","0","","","226.4176209171"
"2024-07-05","167.0545119331","28.0343397955","12.0784835042","7.5294998333","3.3685800167","2.4","1.178390304","0.7075868232","0.4258573979","2.4457460415","0.4174232264","0.1414017708","0.1730648461","0.082355409","0.150913812","0.04","","0","","0.0004974721","0.0000003172","","0.0000096","","0.0000019128","0.0000007602","","0","0","","","226.228664776"
"2024-07-06","166.9972022674","27.7066102448","12.0763816579","7.5290575699","3.3591358501","2.4","1.177373304","0.7075868232","0.425856741","2.47777909","0.4003189253","0.1411736362","0.1742777551","0.082355409","0.150913812","0.04","","0","","0.000415951","0.0000003172","","0.0000088","","0.0000014349","0.0000010136","","0","0","","","225.8464506026"
"2024-07-07","167.4519289022","28.3119690948","12.0764078714","7.529384358","3.3678289168","2.4","1.177655304","0.7075868232","0.425856759","2.4453723672","0.4174132264","0.1410487319","0.1733993449","0.082355409","0.150913812","0.05","","0","","0.0004542653","0.0000003172","","0.0000096","","0.0000014349","0.0000010136","","0","0","","","226.9095875518"
"2024-07-08","166.9243659208","28.6861802063","11.9641032191","7.5306702743","3.3166909219","2.4","1.177514304","0.7075868232","0.4263375364","2.4346267836","0.4172582264","0.1364643052","0.1638615586","0.082355409","0.150913812","0.04","","0","","0.0004790518","0.0000003172","","0.0000092","","0.0000019128","0.0000007602","","0","0","","","226.5594205428"
"2024-07-09","169.6429206974","28.8314402288","11.9859624921","7.5331265806","3.4702582443","2.4","1.177514304","0.7102098599","0.4258576409","2.4474347737","0.4005639253","0.1373679304","0.1738570432","0.082355409","0.150913812","0.04","","0","","0.0004367255","0.000121331","","0.0000096","","0.0000014349","0.0000007602","","0","0","","","229.6103527932"
"2024-07-10","171.0978117776","28.9932888123","12.3071374134","7.5366445928","3.2699923667","2.4","1.177544304","0.7210594843","0.4258576598","2.4635098769","0.4009639253","0.1481573445","0.1942950518","0.0823554077","0.150913812","0.04","","0","","0.0004951906","0.0000003172","","0.000012","","0.0000019128","0.0000010136","","0","0","","","231.4100422633"
"2024-07-11","170.9405162557","29.0354883776","12.3499083767","7.5437455834","3.3439424277","2.4","1.180586304","0.7271507544","0.4258576789","2.495977466","0.4194482264","0.1497378282","0.2054410081","0.0823551696","0.150913812","0.01","","0","","0.0004344966","0.0000003172","","0.0000132","","0.0000019128","0.0000010136","","0","0","","","231.4615202089"
"2024-07-12","168.2900103305","28.9414503109","12.44167495","7.5310379737","3.4833449778","2.4","1.186712304","0.7271507544","0.4258576983","2.4660136392","0.4192732264","0.1519102069","0.2013593497","0.0823551681","0.150913812","0.01","","0.0217","","0.0004707252","0.0000003172","","0.000014","","0.0000019128","0.0000007602","","0","0","","","228.9312524173"
"2024-07-13","168.3647536042","28.6174365638","12.5951123677","7.5299529811","3.2948563666","2.4","1.177076304","0.7271507544","0.4258570431","2.4573743003","0.4187332264","0.1566705298","0.2000977156","0.0823551681","0.150913812","0.01","","0.0245","","0.0004295357","0.0000003172","","0.0000128","","0.0000014349","0.0000010136","","0","0","","","228.6332858385"
"2024-07-14","168.0348847647","28.5582908357","12.6960058928","7.5313759096","3.3174297528","2.4","1.177514304","0.7271507544","0.4258570615","2.4453295078","0.4186132264","0.1600401283","0.1998597571","0.0823551681","0.150913812","0.01","","0.0189","","0.0004690931","0.0000003172","","0.0000112","","0.0000019128","0.0000010136","","0","0","","","228.3550044119"
"2024-07-15","168.5213481035","28.9733445988","12.879745076","7.5342146603","3.3622818446","2.4","1.177952304","0.7274175374","0.4258577535","2.1418462707","0.4188332264","2.4266177019","0.2033367435","0.0823551681","0.150913812","0.01","","0.0245","","0.0004355934","0.0000003172","","0.0000124","","0.0000019128","0.0000010136","","0","0","","","231.4610160377"
"2024-07-16","172.5372830156","28.8448630782","12.9201228328","7.5532016892","3.4515151418","2.4","1.177103304","0.7296568275","0.4258577724","1.6342399963","0.4195632264","0.1746645792","0.2031692731","0.0823551681","0.150913812","0.01","","0.0231","","0.0004779976","0.0001012751","","0.0000104","","0.0000019128","0.0000007602","","0","0","","","232.7382020623"
"2024-07-17","172.307917151","29.0207902068","13.0772893799","7.5617472982","3.2825818279","2.4","1.177529304","0.7334469809","0.4258577909","1.5902335895","0.4194482264","0.1478699235","0.2042576235","0.0823551669","0.150913812","0.01","","0.0231","","0.0004539229","0.000020486","","0.0000124","","0.0000014349","0.0000010136","","0","0","","","232.6158275388"
"2024-07-18","95.7186583036","28.9951124225","12.9955299078","7.5354061631","3.3466218723","2.4","1.177523304","0.7357412136","0.4258578102","1.6237017322","0.4184282264","0.1447119632","0.2212870567","0.0823618166","0.150913812","0.01","","0.0224","","0.0004680384","0.0000003172","","0.000012","","0.0000019128","0.0000010136","","0","0","","","156.0047388862"
"2024-07-19","23.4419826971","28.5413959829","12.6626232419","7.5322498627","3.4179589109","2.4","1.175321304","0.736901232","0.4968255724","1.5670275131","0.4177682264","0.1311850396","0.3617662567","0.0823618166","0.150913812","0.01","","0.0189","","0.0004101653","0.0000003172","","0.000008","","0.0000014349","0.0000018085","","0","0","","","83.1456031942"
"2024-07-20","22.4138292373","28.8302409888","12.6764897164","7.5321960947","3.3411417279","2.4","1.186274304","0.7397998647","0.5032765301","1.69946753","0.4164382264","0.1314923784","0.2818786116","0.0823618166","0.150913812","0.01","","0.014","","0.0004741008","0.0000003172","","0.0000072","","0.0000019128","0.0000015555","","0","0","","","82.4102859252"
"2024-07-21","21.5547527832","28.7633348217","12.5086454606","7.5284616727","3.3694732556","2.4","1.177076304","0.7427484816","0.5032765483","1.3527664137","0.4159432264","0.1259511344","0.2275044471","0.0823618166","0.150913812","0.01","","0.0119","","0.000432648","0.0000004289","","0.0000056","","0.0000014349","0.0000020736","","0","0","","","80.9255523633"
"2024-07-22","25.9505162813","29.2618844885","12.5731800218","7.5430200361","3.3156503136","2.4","1.177076304","0.7480778835","0.5032773263","1.3585119646","0.4163932264","0.1304785468","0.2332266319","0.0823388811","0.150913812","0.01","","0.0112","","0.0004809666","0.0000003172","","0.000006","","0.0000019128","0.0000015553","","0","0","","","85.8662364698"
"2024-07-23","22.9312738086","29.1408499858","12.4853548592","7.5495420828","3.3678379584","2.4","1.177076304","0.75234074","0.5032773451","1.308702279","0.4183182264","0.1498659813","0.2332409439","0.0823283321","0.150913812","0.01","","0.0182","","0.000462487","0.000004625","","0.0000116","","0.0000019128","0.000002074","","0","0","","","82.6796053574"
"2024-07-24","24.7159384909","29.2544694508","12.2573856745","7.5297254015","3.3528813693","2.4","1.177514304","0.7537172956","0.5032774495","1.3795069625","0.4193882264","0.1195235071","0.2379388964","0.0823283321","0.150913812","0.01","","0.0217","","0.0004683094","0.0001938172","","0.0000116","","0.0000014349","0.0000018087","","0","0","","","84.3668861428"
"2024-07-25","21.8079288566","28.9989159352","12.1833962364","7.5368037231","3.4252279444","2.4","1.176641304","0.7541510112","0.5032774687","1.3309938344","0.4175982264","0.1151831465","0.2336152966","0.0823283321","0.150913812","0.01","","0.0196","","0.000452087","0.0001568172","","0.00001","","0.0000019128","0.0000018198","","0","0","","","81.1471977644"
"2024-07-26","21.7816672983","28.9118510251","12.0796388332","7.5332846329","3.3573914305","2.4","1.177514304","0.7541510112","0.503277488","1.3627774668","0.4172682264","0.1114263165","0.2352446774","0.0823283321","0.150913812","0.01","","0.0168","","0.0004664399","0.0001483171","","0.0000084","","0.0000014349","0.0000020732","","0","0","","","80.8861615195"
"2024-07-27","21.2411765977","28.9050672946","11.9551588468","7.5365397472","3.3847049055","2.4","1.177514304","0.7541510112","0.5032768331","1.3317672803","0.4171032264","0.1074004816","0.2328259469","0.0823283321","0.150913812","0.01","","0.0168","","0.0004422656","0.0001438171","","0.0000088","","0.0000019128","0.0000018083","","0","0","","","80.2073272232"
"2024-07-28","21.1711791851","28.8573907376","11.8394805259","7.5331735719","3.370422611","2.4","1.177625304","0.7541510112","0.5032768516","1.3577765391","0.4171082264","0.1035865114","0.2326889988","0.0823283321","0.150913812","0.01","","0.0175","","0.0004483361","0.0001443171","","0.0000092","","0.0000019128","0.0000018198","","0","0","","","79.9792078039"
"2024-07-29","22.3608552228","29.0237185103","11.9279555097","7.5316080729","3.3230545054","2.4","1.174979304","0.7541510112","0.503277544","1.3546341375","0.4166082264","0.1069936938","0.231470208","0.0823283321","0.150913812","0.01","","0.0147","","0.0004828347","0.0001138171","","0.0000072","","0.0000014349","0.0000020736","","0","0","","","81.3678554504"
"2024-07-30","23.170544333","29.4346304559","12.014145191","7.5407218283","3.2901184363","2.4","1.177625304","0.7601442356","0.5032776489","1.3558735563","0.4165682264","0.1093652888","0.2287861848","0.0823283321","0.150913812","0.01","","0.0119","","0.0004557893","0.000111041","","0.0000064","","0.0000019128","0.00000182","","0","0","","","82.6575197965"
"2024-07-31","22.1747536375","29.9742803914","12.0807991052","7.5279106877","3.3863657333","2.4","1.177625304","0.7650483144","0.5032778591","1.3330427501","0.4163232264","0.1135226155","0.2262167419","0.0823283321","0.150913812","0.01","","0.0126","","0.0004801572","0.0001046262","","0.0000068","","0.0000019128","0.0000018083","","0","0","","","82.3356038151"
"2024-08-01","22.1442281556","28.9059567871","12.0827717662","7.540299261","3.3314643834","2.4","1.177952304","0.7650483144","0.5032701925","1.3573427029","0.4159532264","0.1122868028","0.2253104104","0.0823283321","0.150913812","0.01","1","0","","0.0000136645","0.000001331","","0.0000072","","0.0000014349","0.0000015549","","0","0","","","82.2051516361"
"2024-08-02","24.2869235153","28.9861444888","12.0825829972","7.5293815113","3.4627033968","2.4","1.177076304","0.7650483144","0.5032940839","1.3261004053","0.4183982264","0.1124987774","0.2300951624","0.0823283321","0.150913812","0.01","","0","","0.0003487703","0.0000010748","","0.0000104","","0.0000014349","0.0000018198","","0","0","","","83.5238528271"
"2024-08-03","21.7297034143","28.628351298","12.078819717","7.5349054988","3.3656064558","2.4","1.177952304","0.7650483144","0.503293436","1.3522440564","0.4162732264","0.1123443965","0.2240055693","0.0823283321","0.150913812","","","0","","0.0003455781","0.0000009923","","0.0000072","","0.0000019128","0.0000018083","","0","0","","","80.5221473225"
"2024-08-04","21.4198594363","28.5720134648","11.9959156829","7.5266756385","3.3453133196","2.4","1.177514304","0.7650483144","0.5032934614","1.3522197408","0.4162732264","0.1201435272","0.225628643","0.0823283321","0.150913812","0.01","","0.014","","0.0003405203","0.0000003172","","0.000006","","0.0000014349","0.0000018198","","0","0","","","80.0774909956"
"2024-08-05","23.6708705012","29.5538351306","11.9204604729","7.5433280479","3.3743853304","2.4","1.177514304","0.7650483144","0.5032941605","1.3256322918","0.3992439253","0.107760919","0.2271970141","0.0823283321","0.150913812","0.01","","0.0126","","0.0003601306","0.0000003172","","0.0000072","","0.0000019128","0.0000018085","","0","0","","","83.2247839253"
"2024-08-06","23.7599195979","29.0467692964","11.8536552283","7.5308775632","3.2407304416","2.4","1.177520304","0.7650483144","0.5032942718","5.3544379026","0.4165132264","0.1121556889","0.2264878463","0.0823283321","0.150913812","0.01","","0.0119","","0.0003564535","0.0000935558","","0.0000068","","0.0000019128","0.0000015553","","0","0","","","86.6430121033"
"2024-08-07","23.4704643313","28.8916290172","11.8440260582","7.5344047826","3.4423120275","2.4","1.177514304","0.7681190386","0.5032942977","1.2113167549","0.4163282264","0.103527622","0.2269257971","0.0823479721","0.150913812","0.01","","0.0126","","0.0003508497","0.0001073172","","0.0000072","","0.0000014349","0.0000020736","","0","0","","","82.246192917"
"2024-08-08","22.4889696197","28.8592175001","11.8495673071","7.5339769171","3.3970633082","2.4","1.174448304","0.7725760531","0.5032943239","1.2144641552","0.3993039253","0.1037306558","0.2277142953","0.0823479721","0.150913812","0.01","","0.0161","","0.0003563457","0.0001183172","","0.0000084","","0.0000014349","0.00000182","","0","0","","","81.1841744667"
"2024-08-09","21.1295330163","28.7025062743","11.840508623","7.5335661373","3.3473888583","2.4","1.177514304","0.7735172064","0.5032943498","1.193367182","0.4166932264","0.103899101","0.2265911451","0.0823479721","0.150913812","0.01","","0.014","","0.0003574387","0.0002398309","","0.0000076","","0.0000019128","0.0000018083","","0","0","","","79.6062497987"
"2024-08-10","21.4621350559","28.6264590758","11.8393190674","7.5257427186","3.3056452918","2.4","1.177514304","0.7735172064","0.5032937023","1.166881265","0.4162832264","0.1036181028","0.2249131955","0.0823479721","0.150913812","0.01","","0.0133","","0.0003475398","0.0001099287","","0.0000064","","0.0000014349","0.0000020734","","0","0","","","79.7823513728"
"2024-08-11","20.3929061914","28.5885656065","11.840284063","7.5250878024","3.3605754973","2.4","1.177514304","0.7735172064","0.5032937276","1.1787072795","0.4169432264","0.1034788282","0.2249351696","0.0823479721","0.150913812","0.01","","0.0168","","0.0003356434","0.0001248172","","0.0000084","","0.0000019128","0.0000018198","","0","0","","","78.7463432796"
"2024-08-12","21.2180508321","28.7832922381","11.8420655513","7.5380258691","3.354150547","2.4","1.177553304","0.7735172064","0.503294598","1.1556688746","0.4251103768","0.1036435238","0.2256172981","0.0823479721","0.150913812","0.02","","0.014","","0.0003608258","0.0001127072","","0.0000068","","0.0000019128","0.0000018083","","0","0","","","79.7677360575"
"2024-08-13","24.8328537113","30.2042080127","11.8467642671","7.5385237436","3.2847234389","2.4","1.177514304","0.7761559473","0.5032947952","1.2064997816","0.430331452","0.1043193106","0.2299500264","0.0823479721","0.150913812","0.01","","0.0133","","0.0003647866","0.0000913172","","0.0000068","","0.0000014349","0.0000015553","","0","0","","","84.7921664688"
"2024-08-14","21.187524069","29.8370143555","11.9310780801","7.5528835273","3.4392751945","2.4","1.177076304","0.7788564408","0.5032948217","1.1859982904","0.429566452","0.1068357654","0.2307448011","0.0823479721","0.150913812","0.01","","0.0133","","0.0003604015","0.0001401201","","0.0000068","","0.0000019128","0.0000020734","","0","0","","","81.0172211937"
"2024-08-15","21.6618869982","29.7010222125","11.9595690608","7.5382560503","3.3509257056","2.4","1.175324304","0.7788564408","0.5032948478","1.1635880518","0.428926452","0.1090156676","0.2311030265","0.0823479721","0.150913812","0.01","","0.0133","","0.0003651709","0.0001093172","","0.000006","","0.0000014349","0.0000015551","","0","0","","","81.2588140801"
"2024-08-16","21.706129347","29.8192159224","12.0051577908","7.5528022407","3.4048887251","2.4","1.177094304","0.7792800429","0.5032948739","1.1806043561","0.4570155376","0.1094454221","0.2311345025","0.0823479721","0.150913812","0.01","","0.0126","","0.0003594447","0.0001377469","","0.0000076","0.0000000805","0.0000014349","0.0000020738","","0","0","","","81.58243323"
"2024-08-17","20.9488050418","29.6614271162","12.0785192041","7.546195427","3.3296167722","2.4","1.177514304","0.7796420256","0.5032942261","1.1888149562","0.4680661288","0.1133240944","0.2299697647","0.0823479721","0.150913812","0.01","","0.0126","","0.0003522011","0.0000983172","","0.0000064","0.0000000402","0.0000019128","0.0000015549","","0","0","","","80.6815112714"
"2024-08-18","21.124551654","29.5524593332","12.0785419026","7.5517670026","3.3058022472","2.4","1.177811304","0.7796420256","0.5032942516","1.149214381","0.4678861288","0.1128621907","0.2297597609","0.0823479721","0.1508921115","0.01","","0.0112","","0.0003545789","0.0001028172","","0.0000064","","0.0000019128","0.0000020732","","0","0","","","80.6885000479"
"2024-08-19","20.9828777117","29.7819257133","12.0784994513","7.5450003674","3.4421223863","2.4","1.177514304","0.7796420256","0.503294951","1.1780776349","0.4680761288","0.11285315","0.2299042403","0.0823479721","0.150913812","0.01","","0.0126","","0.0003654022","0.0001046539","","0.0000064","","0.0000014349","0.0000018083","","0","0","","","80.936129548"
"2024-08-20","21.3810810894","29.9993545322","11.9845248624","7.5642268084","3.2926328167","2.4","1.177223304","0.7796420256","0.5032950629","1.1738837336","0.4698361288","0.1098608329","0.2307684986","0.0823479721","0.150913812","0.01","","0.0161","","0.0003648269","0.0001548172","","0.0000092","0.0000000201","0.0000019128","0.0000018198","","0","0","","","81.3262240764"
"2024-08-21","21.5836179605","30.10875273","11.9594026333","7.5554733878","3.4026303306","2.4","1.177514304","0.7796420256","0.5032951749","1.0442233584","0.4694211288","0.1095710325","0.2334635851","0.0823479721","0.150913812","0.01","","0.0154","","0.0003725436","0.0001398172","","0.0000088","0.0000000402","0.0000019128","0.0000018083","","0","0","","","81.5861943577"
"2024-08-22","21.3741724497","30.0039076325","11.9266919156","7.5695201464","3.3494677614","2.4","1.177514304","0.7799654088","0.503295201","0.3125871283","0.4695861288","0.1087157454","0.232738233","0.0823477465","0.150913812","0.01","","0.0168","","0.0003684753","0.0001424101","","0.0000072","0.0000000101","0.0000019128","0.0000018198","","0","0","","","80.4687454415"
"2024-08-23","22.5347908048","30.8688066131","11.8419890079","7.5633708186","3.3531614279","2.4","1.174886304","0.7801345176","0.5032952277","0.3300202892","0.4696361288","0.1814553889","0.2346283086","0.0823477483","0.150913812","0.01","","0.0168","","0.0003631439","0.0001480031","","0.0000096","","0.0000014349","0.0000020736","","0","0","","","82.4967606529"
"2024-08-24","21.0907160802","29.877713003","11.8402038831","7.5404129997","3.3625511889","2.4","1.174448304","0.7801345176","0.5032945809","0.3206322703","0.4699261288","0.1038623143","0.2320143887","0.0823864956","0.1508640581","0.01","","0.0217","","0.000402666","0.0001743172","","0.0000104","","0.0000019128","0.0000018202","","0","0","","","79.9614513294"
"2024-08-25","20.9665865436","29.8738276837","11.8384310883","7.5380105541","3.4328061251","2.4","1.174886304","0.7801345176","0.5032946078","0.3157516916","0.4702961288","0.1048886861","0.2312059865","0.0823864956","0.150913812","0.01","","0.021","","0.000466435","0.0001788172","","0.0000108","","0.0000019128","0.0000018085","","0","0","","","79.8950799983"
"2024-08-26","22.4558193357","31.4194403039","11.8479072756","7.5507832796","3.2905974695","2.4","1.174448304","0.7828743424","0.5032952635","0.3394705078","0.4695311288","0.3897775173","0.2361812606","0.0823864956","0.150913812","0.01","","0.0161","","0.0006990963","0.0001630924","","0.0000088","","0.0000014349","0.0000020734","","0","0","","","83.1204007933"
"2024-08-27","22.7338402862","31.4032962654","11.9324786159","7.5565197664","3.3438012417","2.4","1.175345304","0.7868068721","0.50327904","0.3089099415","0.4762261288","0.365877503","0.2414287054","0.0823865127","0.150913812","0.01","","0.0182","","0.0004544243","0.0001620597","","0.0000092","","0.0000019128","0.00000182","","0","0","","","83.4899394119"
"2024-08-28","23.0000412939","31.5929931062","11.9686372749","7.5628777426","3.3552690502","2.4","1.174454304","0.7903018997","0.5032790597","0.3243636174","0.4506962901","0.3097529367","0.2343959089","0.0823865127","0.150913812","0.01","","0.0168","","0.000493536","0.0002055969","","0.0000092","","0.0000019128","0.0000018087","","0","0","","","83.9278748634"
"2024-08-29","22.8762106929","32.4418326992","12.0826493355","7.5533119147","3.3889065778","2.4","1.173215304","0.7990351467","0.5032790793","0.323275797","0.4691211288","0.3059398563","0.2395655615","0.0823865127","0.150913812","0.01","","0.0147","","0.0004580314","0.0001333171","","0.000008","0.0000001207","0.0000019128","0.0000018202","","0","0","","","84.8149466206"
"2024-08-30","21.9384727211","31.9037477904","12.0794999738","7.543276161","3.3037844971","2.4","1.174979304","0.8042978215","0.5032790986","0.323296899","0.4678261288","0.3105056622","0.2389238791","0.0823865127","0.150913812","","","0.0084","","0.000500375","0.0000799288","","0.0000048","","0.0000009566","0.0000013017","","0","0","","","83.2341776234"
