"Service","EC2-Other($)","EC2-Instances($)","VPC($)","Elastic Load Balancing($)","Directory Service($)","Elastic Container Service for Kubernetes($)","Key Management Service($)","EC2 Container Registry (ECR)($)","CloudWatch($)","DynamoDB($)","Secrets Manager($)","Elastic File System($)","S3($)","Backup($)","Relational Database Service($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Systems Manager($)","Lambda($)","SNS($)","Athena($)","SQS($)","Direct Connect($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","CloudWatch Events($)","Total costs($)"
"2024-04-11","15.1877092674","33.4664590755","11.7055793714","5.8030664761","3.3233466195","2.4","1.2183960096","0.0094152","0.5733777411","0.2315674582","0.3772483344","0.033069482","0.030000325","0.0003853856","0.155944272","0.05","","0","","0.0003501121","0.0000003696","","0.0000104","","0.0000019128","0.0000010136","","0","0","","","74.5659288259"
"2024-04-12","15.4767253322","38.9510931969","11.5990296104","5.8038305028","3.4276175112","2.4","1.2179580096","0.0094152","0.5779380604","0.2309271166","0.3773933344","0.0330654381","0.0303564868","0.0003853856","0.155944272","0.09","","0","","0.000390836","0.0000006878","","0.0000104","","0.0000014349","0.0000007602","","0","0","","","80.3820835759"
"2024-04-13","15.5625733813","43.9305894743","11.5984833561","5.8032731242","3.3119452139","2.4","1.2179610096","0.0094152","0.5800554588","0.2332465186","0.3775383344","0.0330802776","0.0300802652","0.0003853856","0.155944272","0.05","","0","","0.0003927238","0.0000005544","","0.0000104","","0.0000019128","0.0000010136","","0","0","","","85.2949778762"
"2024-04-14","15.4934336836","38.9668958216","11.4901687646","5.8032683304","3.2805192582","2.4","1.2223380096","0.0094152","0.5800439007","0.2349651178","0.3775383344","0.0330821851","0.0300015022","0.0003853856","0.155944272","0.05","","0","","0.000333789","0.0000003696","","0.0000116","","0.0000014349","0.0000010136","","0","0","","","80.1283479729"
"2024-04-15","15.6687305669","36.5069230646","11.4796654271","5.803782251","3.4219952667","2.4","1.2254040096","0.0094152","0.5800445902","0.2349066741","0.3773933344","0.033089166","0.0300492712","0.0003853856","0.155944272","0.05","","0","","0.0003905458","0.000101289","","0.0000112","","0.0000019128","0.0000010136","","0","0","","","77.9782344406"
"2024-04-16","16.5654648359","36.3996637454","11.4820513233","5.8036765852","3.3695052028","2.4","1.2179580096","0.0161540679","0.5800447252","0.2348471709","0.3771033344","4.8544921489","0.0316542322","0.0003853856","0.155944272","0.05","","0","","0.000360689","0.000021135","","0.0000112","","0.0000019128","0.0000007602","","0","0","","","83.5393407363"
"2024-04-17","16.4940105494","36.7155979444","11.4800192194","5.8038890305","3.3750924473","2.4","1.2179700096","0.0253944137","0.5800446231","0.2347800953","0.3772483344","0.5481634173","0.0303358502","0.0829643738","0.155944272","0.09","","0","","0.0004120115","0.0000001848","","0.00001","","0.0000014349","0.0000010136","","0","0","","","79.6118792252"
"2024-04-18","17.6420085991","36.7997189385","11.5477261576","5.8046347021","3.3957720807","2.4","1.2179580096","0.0375506446","0.5800446399","0.2347033359","0.3768433344","0.5484509182","0.0312110369","0.0829643748","0.155944272","0.05","","0","","0.0003592377","0.0000003141","","0.0000104","","0.0000019128","0.0000010136","","0","0","","","80.9059039225"
"2024-04-19","18.7918290143","35.8309186346","11.702235461","5.8076238808","3.3089038694","2.4","1.2155670096","0.0484377543","0.5800446533","0.2346461826","0.3766933344","0.5512122843","0.0305247464","0.0829643748","0.155944272","0.05","","0","","0.000396869","0.0000178839","","0.0000092","","0.0000019128","0.0000007602","","0","0","","","81.1679720977"
"2024-04-20","18.26859158","33.9739233212","11.7184471942","5.8059735176","3.2989077527","2.4","1.2190650096","0.0517884912","0.580043996","0.2359462878","0.3772533344","0.5516205617","0.0303339928","0.0829643748","0.155944272","0.05","","0","","0.000351091","0.0000424963","","0.0000092","","0.0000014349","0.0000010136","","0","0","","","78.8012089218"
"2024-04-21","18.1250961814","32.2948929349","11.7184273024","5.8043346749","3.3573195638","2.4","1.2181890096","0.0517884912","0.5800440118","0.2298296664","0.3771083344","0.551115191","0.0303597034","0.0829643748","0.155944272","0.05","","0.0014","","0.0003802492","0.0000222397","","0.0000092","","0.0000019128","0.0000010136","","0","0","","","77.0292283273"
"2024-04-22","20.3020564362","38.3046107498","11.8266262036","5.8060843785","3.3485616889","2.4","1.2182040096","0.0618930125","0.5804847016","0.2274341025","0.3771533344","0.6860871072","0.0309900558","0.0829643755","0.155944272","0.05","","0.0014","","0.0003804535","0.0000223321","","0.0000096","","0.0000014349","0.0000007602","","0","0","","","85.4609090088"
