"Service","EC2-Instances($)","EC2-Other($)","S3($)","Elastic Load Balancing($)","Network Firewall($)","CloudWatch($)","VPC($)","Elastic File System($)","ElastiCache($)","Elastic Container Service for Kubernetes($)","Route 53($)","Directory Service($)","EC2 Container Registry (ECR)($)","Secrets Manager($)","DynamoDB($)","Key Management Service($)","Direct Connect($)","Lambda($)","Backup($)","Athena($)","SQS($)","Cost Explorer($)","OpenSearch Service($)","Service Catalog($)","SNS($)","Systems Manager($)","Simple Workflow Service($)","Step Functions($)","Glacier($)","CloudShell($)","CloudTrail($)","Glue($)","X-Ray($)","CloudFormation($)","Certificate Manager($)","Total costs($)"
"2024-04-23","1609.745723881","859.4279177834","22.0041439302","43.8999662317","72.6447256985","14.7491981515","18.1482602259","4.4316957594","7.776","4.8","5.7588896","3.4593963057","1.4458870117","1.7187716664","0.6532702269","0.6442263384","2.143373555","0.1837537387","0.3602648046","","0.367176","0.05","","0.0014","0.0013040974","","0.0000019128","0.0000010136","","","0","0","","","","2674.4153479328"
"2024-04-24","1498.9105963316","858.0982701671","23.019292242","46.0372313433","72.4131155351","14.7038734024","17.8694627585","4.6001762521","7.776","4.8","5.7982488","3.3158520305","1.4635853721","1.7174805553","0.6558692873","0.6440013384","2.1854902404","0.1890253555","0.3602505374","","0.3395172","0.05","","0.0014","0.0014161858","","0.0000019128","0.0000010136","","","0","0","","","","2564.9501578612"
"2024-04-25","1477.7950046481","858.7308556","24.0452972907","45.3040991367","72.4083010672","14.7911056451","17.5446013532","4.7046341767","7.776","4.8","5.8796552","3.3927538556","1.4730454735","1.7303166664","0.6654666407","0.6439803384","2.2178134891","0.2263635333","0.3602493319","","0.3502584","0.04","","0.0014","0.0013380222","","0.0000014349","0.0000007602","","","0","0","","","","2544.8825420639"
"2024-04-26","1429.25397247","851.9027696226","24.6845466028","44.5954078724","69.436035193","14.1413049399","16.9676640525","4.7587105125","7.776","4.8","5.6505544","3.2997038084","1.4792188109","1.7053416664","0.6616310484","0.6442263384","2.1953267479","0.1654428304","0.3602539204","","0.4200472","0.05","","0.0014","0.0014573265","","0.0000019128","0.0000010136","","","0","0","","","","2484.9510182898"
"2024-04-27","1385.40011078","853.2305154077","25.4392387979","46.1927638086","70.9951275753","13.6946305074","16.6868857464","4.8279891759","7.776","4.8","5.5694588","3.4298716474","1.4796184128","1.6982616664","0.6631650096","0.6422793384","2.202019164","0.0961960105","0.3602539205","","0.4042796","0.05","","0.0007","0.0010799005","","0.0000019128","0.0000010136","","","0","0","","","","2445.6404481957"
"2024-04-28","1362.781988214","846.4851745382","25.9298104558","43.8669638524","67.7150511643","13.3713464698","16.6438853698","11.7375021323","7.776","4.8","5.2282732","3.3576906808","1.4796184128","1.7165066664","0.6619689533","0.6446043384","2.1573656906","0.1001315678","0.3602539205","","0.3722672","0.05","","0.0007","0.0010852931","","0.0000014349","0.0000007602","","","0","0","","","","2417.2381903154"
"2024-04-29","1384.0958884376","856.265190589","27.3164948817","48.2496179754","72.533975586","14.5270659829","16.7707516091","5.6555018621","7.776","4.8","5.8193912","3.3389934083","1.4838483265","1.6874366664","0.6652690092","0.6443553384","2.1434210775","0.3095980175","0.3602539205","","0.3581744","0.05","","0.0014","0.0015506482","","0.0000019128","0.0000010136","","","0","0","","","","2454.8541818627"
"2024-04-30","1374.2695621245","898.8911619271","29.0125777544","50.800378086","103.3367109379","15.5845219688","17.1124502139","4.896378596","7.776","4.8","6.0767204","3.3844218722","1.4958808485","1.7080916664","0.6660130782","0.6443553384","2.3559631008","0.5151336797","0.3602273034","","0.3578448821","0.05","","0.0014","0.0013570024","","0.0000019128","0.0000007602","","","0","0","","","","2524.0971534537"
"2024-05-01","1301.7707244945","857.4672466134","29.2457593614","47.1823560992","74.353530274","12.8893676625","17.1539607109","4.8584571432","7.776","4.8","8.3556204","3.3295172555","1.46093277","1.70355258","0.6656367517","0.621618216","2.2706479643","0.0390803773","0.3485791795","","0.1103788852","0.04","","0","0.0000969138","","0.0000014349","0.0000010136","","","0","0","","","","2376.4430661009"
"2024-05-02","1355.0190161243","879.4017387834","30.3600524458","49.2786262982","80.4747137923","15.1985712919","17.6521971559","4.9923895668","7.776","4.8","6.0359812","3.3409361418","1.4778275654","1.79339258","0.6674945198","0.623586216","2.1820146814","0.0702403056","0.348598714","","0.3159992","0.05","","0","0.000119703","","0.0000019128","0.0000010136","","","0","0","","","","2461.859499212"
"2024-05-03","1352.6503688849","874.9958404884","31.2986854107","47.6944419907","77.082309753","15.0542369923","17.5880177418","5.1258184324","7.776","4.8","5.8847632","3.421626639","1.489876084","1.75569258","2.2108407324","0.623808216","2.1712684553","0.5331320183","0.348578415","","0.4061976","0.05","","0","0.0001006392","","0.0000014349","0.0000007602","","","0","0","","","","2452.9616064685"
