"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-10","24.5251649935","8.566722452","5.1852003802","7.1953994586","0.0010377264","2.4","0.5736","1.0666666819","0.0000092","0.0970733328","0.0061308192","0","0.01","0","0.0000212","0.0213120456","0.002706","0.0000010136","0.0000019128","","","","0","0","","49.6510472166"
"2024-04-11","24.5251988519","8.5716148518","5.1851997042","7.1920644349","0.001022458","2.4","0.5736","1.0666666819","0.00001","0.0971783328","0.0061308192","0","0.01","0","0.0000136","0.0213120456","0.002706","0.0000007602","0.0000019128","","","","0","0","","49.6527204533"
"2024-04-12","24.5251988381","8.5662312282","5.1852019898","7.1943801311","0.001022458","2.4","0.5736","1.0666666819","0.0000116","0.0971483328","0.0061308192","0","0.01","0","0.0000204","0.0213120456","0.002706","0.0000010136","0.0000014349","","","","0","0","","49.6496329732"
"2024-04-13","24.5252046479","8.5649180698","5.1852111708","7.1959094722","0.0010241102","2.4","0.5736","1.0662500153","0.000012","0.0971833328","0.0061308192","0","0.01","0","0.0000088","0.0213120456","0.002772","0.0000010136","0.0000019128","","","","0","0","","49.6495394102"
"2024-04-14","24.5253010611","8.5737259013","5.1855395046","4.9760738496","0.001022458","2.4","0.5736","1.0666666819","0.0000108","0.1113583328","0.0061308192","0","0.01","0","0.0000104","0.0213120456","0.002574","0.0000010136","0.0000019128","","","","0","0","","47.4533287805"
"2024-04-15","24.5252419765","8.568606558","5.1857533057","4.7723276262","0.001022458","2.4","0.5736","1.0666666819","0.0000096","0.1225083328","0.0061308192","0","0.01","0","0.0000092","0.0213120456","0.002442","0.0000007602","0.0000014349","","","","0","0","","47.255632799"
"2024-04-16","24.5252635216","8.5679455579","5.1857324138","4.7769880439","0.001024058","2.4","0.5736","1.0666666819","0.0000104","0.1222833328","0.0061308192","0","0.01","0","0.0000088","0.0213120456","0.002706","0.0000010136","0.0000019128","","","","0","0","","47.2596746011"
"2024-04-17","24.5253394358","8.582275338","5.1856847038","4.7748971187","0.001022458","2.4","0.5736","1.0658333487","0.0000104","0.1213683328","0.0061308192","0","0.01","0","0.0000172","0.0213120456","0.002706","0.0000010136","0.0000019128","","","","0","0","","47.270200127"
"2024-04-18","24.5252946561","8.6259590087","5.1857018119","4.7732556102","0.00102408","2.4","0.5736","1.0662500153","0.0000104","0.1214383328","0.0061308192","0","0.01","0","0.0000944","0.0213120456","0.002706","0.0000007602","0.0000014349","","","","0","0","","47.3127793749"
"2024-04-19","24.5145079226","8.5691718766","5.1880718216","4.7753218603","0.001053258","2.4","0.5736","1.0662500153","0.0000092","0.1014383328","0.0061308192","0","0.01","0","0.0000244","0.0213120456","0.002706","0.0000010136","0.0000019128","","","","0","0","","47.2296004784"
"2024-04-20","24.5253185493","8.5673211667","5.1857285012","4.7721150129","0.0010241044","2.4","0.5736","1.0666666819","0.0000096","0.0907983328","0.0061308192","0","0.01","0","0.0004564","0.0213120456","0.002706","0.0000010136","0.0000019128","","","","0","0","","47.2231901404"
"2024-04-21","24.5254243872","8.5732751263","5.1879986565","4.7757741975","0.0010241102","2.4","0.5736","1.0666666819","0.0000112","0.0910583328","0.0061308192","0","0.01","0.0014","0.0000248","0.0213120456","0.002244","0.0000010136","0.0000014349","","","","0","0","","47.2359468057"
"2024-04-22","24.5253484178","8.5671405436","5.186257743","4.7746949189","0.0071810905","2.4","0.5736889427","1.0666666819","0.0000104","0.0913283328","0.0061308192","0","0.01","0.0014","0.00003","0.0213120456","0.002706","0.0000007602","0.0000019128","","","","0","0","","47.233898609"
"2024-04-23","24.5253929712","8.5676930231","5.1853506161","4.7751934281","0.001046458","2.4","0.5736","1.0666666819","0.0000812","0.0926733328","0.0061308192","0","0.01","0.0014","0.0000128","0.0213120456","0.002706","0.0000004924","0.0000009219","0.0000018933","","","0","0","","47.2292626836"
"2024-04-24","24.5253832603","8.6073084594","5.1853331328","4.7722322151","0.001034858","2.4","0.5736","1.0666666819","0.0001012","0.0899711106","0.0084780593","0","0.01","0.0014","0.0000184","0.0213120456","0.002706","0.00000033","0.0000005742","0.0000024615","","","0","0","","47.2655487887"
"2024-04-25","24.525472131","8.5881560738","5.1852766823","4.7787465105","0.0013819946","2.4","0.5736","1.0667055491","0.001292819","0.0930483328","0.010968216","0.0000000066","0.01","0.0014","0.000018","0.0213120478","0.00273","0.000000344","0.000000522","0.0000024752","","","0","0","","47.2601117047"
"2024-04-26","24.5255173363","8.6016644912","5.2852867349","4.7764038977","0.0014218809","2.4","0.5736","1.0667737335","0.0018652","0.0919883328","0.0120224185","0","","0.0007","0.0000012","0.0213120493","0.002715","0.000000344","0.0000006003","0.0000023794","","","0","0","","47.3612755988"
