"Service","EC2-Instances($)","EC2-Other($)","ElastiCache($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","S3($)","SQS($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-07-04","41.0455216147","26.0300285736","7.44","8.1831090078","3.8429869186","3.6363830925","2.4","0.7082440766","0.6526236","0.1989130128","0.067900128","0.0410694768","0.01","","0","0.000125","0","0.0000014349","0.0000010136","","0","0","","94.2569069499"
"2024-07-05","41.2822471659","26.3375902829","7.44","8.1767050818","3.9171662656","3.6424109026","2.4","0.7075438189","0.6525596","0.1989130128","0.067927128","0.0410694768","0.01","","0","0.000115","0","0.0000019128","0.0000010136","","0","0","","94.8742506617"
"2024-07-06","41.1864733148","26.3699663994","7.44","7.931498332","3.706983168","3.6391167601","2.4","0.7031341722","0.6523424","0.1989130128","0.067900128","0.0410694768","0.01","","0","0.0001","0","0.0000014349","0.0000005068","","0","0","","94.3474991058"
"2024-07-07","40.9516017605","26.3559679101","7.44","7.9207873183","3.7021901499","3.6360602891","2.4","0.7019333758","0.652018","0.1989130128","0.067822128","0.0410694768","0.01","","0","0.000095","0","0.0000019128","0.0000010136","","0","0","","94.0784613477"
"2024-07-08","41.5917953865","26.3999205984","7.44","7.9227804914","3.7230796987","3.6403107794","2.4","0.7078600825","0.6517716","0.1989130128","0.067822128","0.0410694768","0.01","","0","0.000105","0","0.0000014349","0.0000010136","","0","0","","94.795430703"
"2024-07-09","41.2794456698","26.6252143297","7.44","7.946268178","3.8083970333","3.6392873208","2.4","0.7390903316","0.6517184","0.1989130128","0.067822128","0.0410694768","0.01","","0","0.000105","0","0.0000019128","0.0000007602","","0","0","","94.8473335538"
"2024-07-10","41.2892949502","26.497390461","7.44","7.9337469484","3.7274621199","3.6435083653","2.4","0.7128435835","0.651786","0.1989175676","0.067900128","0.0410694768","0.01","","0","0.00015","0","0.0000014349","0.0000010136","","0","0","","94.6140720492"
"2024-07-11","41.6677186134","26.5991032113","7.44","7.9480303758","3.725635289","3.6378485792","2.4","0.7102319031","0.6515212","0.1989175671","0.067432128","0.0410694768","0.01","","0","0.000155","0","0.0000019128","0.0000010136","","0","0","","95.0976662701"
"2024-07-12","41.5972080314","26.4081998069","7.44","7.9246586856","3.7055494883","3.6296915616","2.4","0.8492224736","0.6516224","0.1989130128","0.067900128","0.0410694768","0.01","","0.0252","0.000165","0","0.0000019128","0.0000007602","","0","0","","94.949402738"
"2024-07-13","41.31944342","26.4258945138","7.44","7.9206257221","3.6833619785","3.630971623","2.4","0.7075208158","0.651582","0.1989130128","0.067822128","0.0410694768","0.01","","0.0245","0.00016","0","0.0000014349","0.0000010136","","0","0","","94.5218671393"
"2024-07-14","40.9482531393","26.3677700653","7.44","7.9206254873","3.6749202544","3.6301545703","2.4","0.706343089","0.6517376","0.1989130128","0.067900128","0.0410694768","0.01","","0.0231","0.000145","0","0.0000019128","0.0000010136","","0","0","","94.0809347496"
"2024-07-15","41.7892175253","26.6131747991","7.44","7.9350148303","3.7637206579","3.6366301508","2.4","0.7617439845","0.651644","0.198915859","0.067900128","0.0410694768","0.01","","0.0238","0.000155","0","0.0000019128","0.0000010136","","0","0","","95.3329893381"
"2024-07-16","41.5865985611","26.5775192852","7.44","7.9332791755","3.7082377416","3.6368267342","2.4","1.2310621307","0.6513752","0.1989130128","0.067900128","0.0410694768","0.01","","0.0224","0.00012","0","0.0000019128","0.0000007602","","0","0","","95.5053041189"
"2024-07-17","41.870647863","26.9281624671","7.44","7.9329858377","3.7158021402","3.6830560813","2.4","1.1993612537","0.6517812","0.1989252537","0.067900128","0.0410694768","0.01","","0.0224","0.00015","0","0.0000014349","0.0000010136","","0","0","","96.16224415"
"2024-07-18","42.227080287","26.3723049199","7.44","7.9986121422","3.7314662468","3.6223321291","2.4","1.7040006917","0.6515344","0.1989130152","0.067900128","0.0410694768","0.01","","0.0224","0.000145","0","0.0000019128","0.0000010136","","0","0","","96.4877613631"
"2024-07-19","42.0414062452","26.4072462627","7.44","8.0432593322","3.7282923172","3.6302815208","2.4","0.7261326088","0.6514128","0.1989144383","0.067510128","0.0410694768","0.01","","0.0196","0.000125","0","0.0000019128","0.0000015549","","0","0","","95.4052535977"
"2024-07-20","42.0002837306","26.3382517461","7.44","8.0406733803","3.7095895909","3.621089762","2.4","0.7748415052","0.6517144","0.1989130152","0.067822128","0.0410694768","0.01","","0.0147","0.000085","0","0.0000014349","0.0000018083","","0","0","","95.3090369783"
"2024-07-21","41.9708168836","26.3477092286","7.44","8.0408504544","3.7007151674","3.6228686808","2.4","0.7071754447","0.652424","0.1989130152","0.067822128","0.0410694768","0.01","","0.0119","0.000065","0","0.0000014349","0.0000018198","","0","0","","95.2123327342"
"2024-07-22","41.9709646825","26.4299429684","7.44","7.9932328585","3.7243141673","3.6261399155","2.4","0.7481285284","0.651554","0.1989130152","0.067822128","0.0410694768","0.01","","0.0112","0.00007","0","0.0000019128","0.0000018083","","0","0","","95.3133554617"
"2024-07-23","42.2236235043","26.7458977056","7.44","7.9336375921","3.7440582857","3.6405705573","2.4","0.715641202","0.6516448","0.1989192776","0.067744128","0.0410694768","0.01","","0.0224","0.000135","0","0.0000014349","0.0000020732","","0","0","","95.8353450375"
"2024-07-24","42.2533606692","26.627541649","7.44","8.0099458469","3.7336584405","3.6354839881","2.4","0.7196891921","0.6530096","0.1989175695","0.067822128","0.0410694768","0.01","","0.0217","0.000145","0.0000305043","0.0000019128","0.0000018198","","0","0","","95.812377797"
"2024-07-25","42.0854170635","26.4643662387","7.44","8.0509833132","3.7382216303","3.6334589318","2.4","0.7167499034","0.6531528","0.1989144383","0.067822128","0.0410694768","0.01","","0.0189","0.000115","0.0000235","0.0000019128","0.0000020732","","0","0","","95.51919841"
"2024-07-26","42.2465002067","26.3882534218","7.44","8.0431051398","3.7614219679","3.6263892271","2.4","1.633522408","0.6537248","0.1989130152","0.067900128","0.0410694768","0.01","","0.0182","0.000115","0.000021","0.0000014349","0.0000015551","","0","0","","96.5291387813"
"2024-07-27","42.1564556098","26.3742176227","7.44","8.0415634742","3.7145859691","3.6296631133","2.4","0.7118916376","0.6535696","0.1989130152","0.067900128","0.0410694768","0.01","","0.0175","0.00011","0.000021","0.0000019128","0.0000020736","","0","0","","95.4574646331"
"2024-07-28","42.0113740204","26.3759694148","7.44","7.9341487095","3.6991770726","3.6324274938","2.4","0.7097708578","0.6541044","0.1989130152","0.068008128","0.0410694768","0.01","","0.0168","0.00011","0.0000195","0.0000019128","0.0000018202","","0","0","","95.1918958219"
"2024-07-29","42.1108817567","26.6609700184","7.44","7.9429113028","3.7573693387","3.983662257","2.4","0.7187281396","0.6537576","0.1989221243","0.067846128","0.0410694768","0.01","","0.0147","0.000095","0.000017","0.0000014349","0.0000018085","","0","0","","96.0009333857"
"2024-07-30","42.4141307049","26.5387153346","7.44","8.0493634589","3.7035423062","3.6397532626","2.4","0.7172671075","0.6537456","0.1989130152","0.067684128","0.0410694768","0.01","","0.0133","0.000085","0.000016","0.0000019128","0.0000018083","","0","0","","95.8875891158"
"2024-07-31","43.4591030326","26.7990088085","7.44","8.0487606632","3.7126921435","3.6819273865","2.4","0.7192182513","0.6537252","0.1989189926","0.068008128","0.0410694768","0.01","","0.0126","0.00008","0.0000170021","0.0000014349","0.0000018198","","0","0","","97.2451323398"
"2024-08-01","42.9588323323","26.6968223608","7.44","8.1218866717","3.7120160564","3.7148640756","2.4","0.718601707","0.6533596","0.1989130152","0.067432128","0.0410694768","0.01","0.1","0","0.000065","0","0.0000019128","0.0000018087","","0","0","","96.8338661453"
"2024-08-02","43.1183083185","26.7338128783","7.44","8.1661473629","3.7088996904","3.7200101107","2.4","0.7185310207","0.653556","0.1989130152","0.067900128","0.0410694768","0.01","","0","0.000125","0","0.0000014349","0.0000015555","","0","0","","96.9772759919"
"2024-08-03","42.9363516911","26.6848279868","7.44","8.1605892929","3.6924750001","3.7087602789","2.4","0.7139145782","0.6536952","0.1989130152","0.067432128","0.0410694768","0.01","","0.0133","0.00008","0","0.0000019128","0.0000020736","","0","0","","96.7214126344"
"2024-08-04","42.758979957","26.6561200894","7.44","8.1568595259","3.6833870578","3.7065053127","2.4","0.7123145193","0.6540692","0.1989130152","0.067744128","0.0410694768","0.01","","0.0126","0.00008","0","0.0000014349","0.0000018202","","0","0","","96.4986455372"
"2024-08-05","44.0092587129","27.0003259831","7.44","7.9312092341","3.7642767855","3.7279098945","2.4","0.7211340518","0.653668","0.1989221247","0.067432128","0.0410694768","0.01","","0.014","0.00008","0","0.0000019128","0.0000015549","","0","0","","97.9792898591"
"2024-08-06","43.1281083176","26.7025187727","7.44","7.9262409865","3.7480944361","3.7181594675","2.4","0.7198515972","0.6538216","0.1989130176","0.067900128","0.0410694768","","","0.0133","0.00008","0","0.0000014349","0.0000020732","","0","0","","96.7580613081"
"2024-08-07","43.1490454715","26.7560593419","7.44","7.9242649797","3.7520577376","3.7110231556","2.4","0.7185966585","0.6536244","0.1989130176","0.067903128","0.0410694768","0.01","","0.0133","0.00007","0.000016","0.0000019128","0.0000018083","","0","0","","96.8359470883"
"2024-08-08","42.9316238904","26.7149473629","7.44","7.9273109105","3.7594341879","3.7130420611","2.4","0.71979728","0.6537376","0.1989130176","0.067900128","0.0410694768","0.01","","0.0161","0.00007","0.000016","0.0000014349","0.0000018198","","0","0","","96.5939651699"
"2024-08-09","42.8656089739","26.6435836064","7.44","7.9242837531","3.7535828173","3.7107428901","2.4","0.7196030542","0.653346","0.1989130176","0.067900128","0.0410694768","0.01","","0.0133","0.000075","0.0000175","0.0000019128","0.0000018083","","0","0","","96.4420299385"
"2024-08-10","42.7906851142","26.6318676193","7.44","7.9206258949","3.7211846285","4.0487570319","2.4","0.7160225974","0.6531616","0.1989130176","0.067900128","0.0410694768","0.01","","0.014","0.00007","0.000016","0.0000014349","0.0000018202","","0","0","","96.6542763637"
"2024-08-11","42.6725479745","26.6991151382","7.44","7.9468585769","3.709275281","3.7189902962","2.4","0.7149794574","0.6527452","0.1989130176","0.067900128","0.0410694768","0.01","","0.0161","0.00011","0.000021","0.0000019128","0.0000020736","","0","0","","96.288629533"
"2024-08-12","42.8139444565","26.9915510859","7.44","7.9508646814","3.7514320769","3.7391337388","2.4","0.7216134307","0.6529632","0.1989235517","0.067432128","0.0410694768","0.01","","0.0133","0.00008","0.0000175022","0.0000019128","0.0000015549","","0","0","","96.7923287966"
"2024-08-13","42.543766852","26.5133805915","7.44","7.9296559407","3.6992099743","3.6442563835","2.4","0.7214789062","0.6527112","0.1989130224","0.067978128","0.0410694768","0.01","","0.0133","0.000085","0.000016","0.0000014349","0.0000020734","","0","0","","95.8758249837"
"2024-08-14","42.3165136574","26.5709069064","7.44","7.929907089","3.6975490796","3.6410144221","2.4","0.7205423635","0.65177","0.1989130224","0.067822128","0.0410694768","0.01","","0.014","0.00008","0.000014","0.0000019128","0.0000015551","","0","0","","95.7001056131"
"2024-08-15","42.1322529142","26.4045271462","7.44","7.9207736849","3.6706767925","3.6322839621","2.4","0.7156824558","0.65289","0.1989130224","0.067978128","0.0410694768","0.01","","0.0105","0.000075","0.0000165","0.0000014349","0.000002074","","0","0","","95.2976425918"
"2024-08-16","42.2655434225","26.4011218153","7.44","7.9228195961","3.6848672888","3.6383058131","2.4","0.720334757","0.6526848","0.1989130224","0.067822128","0.0410694768","0.01","","0.0119","0.00009","0.000019","0.0000019128","0.0000015555","","0","0","","95.4554945883"
"2024-08-17","42.0390039522","26.4011825885","7.44","7.9208682752","3.6771162231","3.6428084451","2.4","0.717251304","0.652754","0.1989130224","0.067978128","0.0410694768","0.01","","0.0112","0.000075","0.000015","0.0000014349","0.0000020736","","0","0","","95.2202389238"
"2024-08-18","42.2392894138","26.4118483595","7.44","7.9208083359","3.671020582","3.642373617","2.4","0.715840236","0.6526964","0.1989130224","0.067900128","0.0410694768","0.01","","0.0126","0.00007","0.000015","0.0000019128","0.0000018085","","0","0","","95.4244482927"
"2024-08-19","42.2492316544","26.4279870967","7.44","7.9216802438","3.674908775","3.6409352824","2.4","0.7161699722","0.6523172","0.1989130224","0.067822128","0.0410694768","0.01","","0.0126","0.000075","0.0000145","0.0000019128","0.00000182","","0","0","","95.4537280845"
"2024-08-20","42.2256946752","26.5531657669","7.44","7.9236346727","3.6880350284","3.642548783","2.4","0.7775407133","0.6524176","0.1989130224","0.067978128","0.0410694768","0.01","","0.0182","0.00011","0.0000225","0.0000014349","0.0000020732","","0","0","","95.6393338748"
"2024-08-21","42.1536014535","26.6761617835","7.44","7.930323997","3.711065194","3.6636387226","2.4","0.7258385262","0.6524732","0.1989283934","0.067822128","0.0410694768","0.01","","0.0168","0.000105","0.000022","0.0000019128","0.0000015549","","0","0","","95.6878533427"
"2024-08-22","42.3160449599","26.3960001488","7.44","7.928423196","3.7269786563","3.6428937349","2.4","0.7246088306","0.6520228","0.1989130224","0.067900128","0.0410694768","0.01","","0.0147","0.000095","0.000019","0.0000019128","0.0000020732","","0","0","","95.5596729397"
"2024-08-23","43.6049649916","26.4497877058","7.44","7.9649219898","3.724432048","3.651717933","2.4","0.7271901897","0.6522648","0.1989130224","0.067588128","0.0410694768","0.01","","0.0175","0.00011","0.000023","0.0000014349","0.0000018083","","0","0","","96.9504865283"
"2024-08-24","42.533971252","26.3799735513","7.44","8.0420065679","3.7195875624","3.6456142592","2.4","0.721276927","0.6526832","0.1989130224","0.067432128","0.0410694768","0.01","","0.0189","0.000135","0.0000255","0.0000019128","0.0000018198","","0","0","","95.8715921796"
"2024-08-25","42.5439998258","26.3774804087","7.44","8.0418519813","3.6988701993","3.6496511667","2.4","0.7182123756","0.6528132","0.1989130224","0.067510128","0.0410694768","0.01","","0.0175","0.000125","0.0000265","0.0000019128","0.0000020732","","0","0","","95.8580272706"
"2024-08-26","44.3371614267","26.4506956939","7.44","8.0459739505","3.7288564506","3.6508496797","2.4","0.7250125894","0.6527064","0.1989130224","0.067432128","0.0410694768","0.01","","0.0168","0.000105","0.00002","0.0000019128","0.0000018083","","0","0","","97.7655995391"
"2024-08-27","44.6154232302","26.7011386923","7.44","8.0478739472","3.7333187349","3.6654910156","2.4","0.844812461","0.6522236","0.1989130256","0.067588128","0.0410694768","0.01","","0.0175","0.000115","0.0000250044","0.0000014349","0.0000018198","","0","0","","98.4354955707"
"2024-08-28","44.9608691086","27.2541871619","7.44","8.1849770612","3.862193276","3.7175562554","2.4","0.7321299057","0.6526504","0.1989215658","0.067510128","0.0422217506","0.01","","0.0175","0.000105","0.0000230043","0.0000019128","0.0000020732","","0","0","","99.5408486035"
"2024-08-29","47.6106830506","27.5655536245","7.44","8.192800049","3.9078688417","3.7630556004","2.4","0.7338157241","0.6523756","0.1989201427","0.067360128","0.0434228904","0.01","","0.014","0.00009","0.0000245109","0.0000019128","0.0000015555","","0","0","","102.5999736306"
"2024-08-30","48.3123188878","27.2318440449","7.44","8.2455913117","3.9857712045","3.7125564273","2.4","0.7320515197","0.6513532","0.1989130265","0.067684128","0.0434228904","","","0.0091","0.000055","0.0000115","0.0000014349","0.00000182","","0","0","","103.0306763957"
"2024-08-31","48.9212826454","27.0109135868","7.44","8.0409696859","3.8523657554","3.7296951077","2.4","0.7264968172","0.6519676","0.1989130265","0.068008128","0.0434228904","0.02","","0.0091","0.000035","0.000007","0.0000009566","0.0000010366","","0","0","","103.1131792365"
"2024-09-01","49.132174072","27.4837019633","7.44","8.040740827","3.7108191913","3.7757892208","2.4","0.7460772611","0.6530828","0.1989130608","0.0700506672","0.044870316","0.01","0.5","0","0.00005","0","0.0000014349","0.0000015549","","0","0","","104.2062723693"
"2024-09-02","47.4128181883","27.7993295223","7.44","8.0571579111","3.7288904229","3.7458666976","2.4","0.7592220982","0.6529944","0.1989221722","0.0700506672","0.044870316","0.01","","0","0.00003","0","0.0000019128","0.0000015551","","0","0","","102.3201558637"
"2024-09-03","45.7832829868","27.5305848319","7.44","8.011707751","3.6932740894","3.7007223565","2.4","0.7560806801","0.6526588","0.1989130656","0.0701286672","0.044870316","","","0","0.000035","0","0.0000009566","0.0000015549","","0","0","","100.282261056"
"2024-09-04","45.1335506986","27.4958125549","7.44","7.936655424","3.6924638909","3.7086343866","2.4","0.7579677558","0.653042","0.1989130676","0.0700506672","0.044870316","0.01","","0","0.00003","0.0000000066","0.0000019128","0.0000015549","","0","0","","99.5419942359"
"2024-09-05","44.8228957669","27.4118911793","7.44","8.0537462346","3.7173666346","3.7035092761","2.4","1.0975914425","0.6533364","0.198913068","0.0699726672","0.044870316","0.01","","0.0042","0.00003","0","0.0000009566","0.0000015553","","0","0","","99.6283254971"
"2024-09-06","44.6592586128","27.2299327443","7.44","8.0496542539","3.703016189","3.6880928338","2.4","1.4979274572","0.6529748","0.198913068","0.0698946672","0.044870316","0.01","","0.0063","0.00003","0","0.0000019128","0.0000018198","","0","0","","99.6508686748"
"2024-09-07","42.4007639447","27.2159410662","7.44","8.0418536904","3.6767765645","3.6836333639","2.4","0.7480381739","0.6532124","0.198913068","0.0699726672","0.044870316","0.01","","0.007","0.00004","0","0.0000014349","0.0000018083","","0","0","","96.591018498"
"2024-09-08","44.3707264282","27.2410075645","7.44","7.9360920423","3.6764667704","3.6843049259","2.4","0.7477390837","0.6534792","0.198913068","0.0699726672","0.044870316","0.01","","0.0091","0.00004","0","0.0000014349","0.0000018202","","0","0","","98.4827153213"
"2024-09-09","42.8017573876","27.5165421433","7.44","7.9359894289","3.7131136178","3.6929323603","2.4","0.7626988676","0.6532564","0.1989235997","0.0699726672","0.044870316","0.01","","0.0042","0.000025","0","0.0000014349","0.00000129","","0","0","","97.2442845133"
"2024-09-10","42.8080785662","27.3758142063","7.44","7.9559826806","3.7219012054","3.6972000156","2.4","0.760642152","0.6526872","0.1989176223","0.0699726672","0.044870316","0.01","","0.0098","0.00006","0","0.0000014349","0.0000015549","","0","0","","97.1459296214"
"2024-09-11","42.8380737362","27.2711800535","7.44","8.0666083511","3.7130968139","3.6857367383","2.4","0.760755036","0.6522744","0.198913068","0.0700506672","0.044870316","0.01","","0.007","0.00003","0","0.0000019128","0.0000018198","","0","0","","97.1585929128"
"2024-09-12","44.3805228191","27.2676798638","7.44","8.0553252994","3.7048715061","3.6861882251","2.4","0.7596516915","0.6524104","0.198913068","0.0700506672","0.044870316","0.01","","0.0077","0.000035","0","0.0000014349","0.0000018083","","0","0","","98.6782220994"
"2024-09-13","42.8379483829","27.2337275171","7.44","8.0941863406","3.7001578454","4.024484536","2.4","1.018282668","0.6522048","0.198913068","0.0700506672","0.044870316","0.01","","0.007","0.000035","0.0000075","0.0000014349","0.00000129","","0","0","","97.7318713661"
"2024-09-14","42.7189769977","27.2211926429","7.44","8.1606762114","3.6862225519","3.6988627851","2.4","0.8127084915","0.6524916","0.198913068","0.0700506672","0.044870316","0.01","","0.0077","0.000035","0.0000065","0.0000014349","0.0000015549","","0","0","","97.1227098215"
"2024-09-15","42.6836242948","27.2081882043","7.44","8.0583271683","3.6719328711","3.6955251855","2.4","0.7599977495","0.6524204","0.198913068","0.0700506672","0.044870316","0.01","","0.007","0.000035","0.000007","0.0000019128","0.0000018198","","0","0","","96.9008956573"
"2024-09-16","43.0660113143","27.2235458164","7.44","8.0443507637","3.7042213839","3.6997307962","2.4","0.7595149426","0.6523448","0.198913068","0.0699726672","0.044870316","0.02","","0.007","0.000035","0.0000065","0.0000014349","0.0000015549","","0","0","","97.3305203581"
"2024-09-17","43.6789233357","27.3228835164","7.44","7.9587071737","3.6857258207","3.702857821","2.4","0.7596851908","0.6519928","0.198913068","0.0700506672","0.044870316","0.01","","0.007","0.00004","0.000007","0.0000014349","0.0000018085","","0","0","","97.9316599529"
"2024-09-18","44.3935063853","27.458198309","7.44","8.0407749574","3.7265631695","3.7019322504","2.4","0.7629704656","0.6520496","0.198913068","0.0700506672","0.044870316","0.01","","0.0077","0.00004","0.000007","0.0000014349","0.0000015549","","0","0","","98.9075791782"
"2024-09-19","42.8337050577","27.6609352689","7.44","8.0869049167","3.7434042953","3.7045846331","2.4","0.764933151","0.651364","0.198913068","0.0700506672","0.044870316","0.01","","0.007","0.000035","0.000007","0.0000014349","0.0000015549","","0","0","","97.6167103637"
"2024-09-20","44.8169495425","27.5976038813","7.44","8.0971591586","3.7496317016","3.7038385534","2.4","0.8145181801","0.6520888","0.198913068","0.0700506672","0.044870316","0.01","","0.0063","0.00004","0.000007","0.0000014349","0.0000018087","","0","0","","99.6019741123"
"2024-09-21","42.8293316516","27.224926787","7.44","7.9230159506","3.6787323125","3.7032549622","2.4","0.7530034773","0.652418","0.198913068","0.0700506672","0.044870316","0.01","","0.0077","0.000035","0.0000075","0.0000014349","0.0000018087","","0","0","","96.936262936"
"2024-09-22","42.4245743125","27.2042187757","7.44","7.9223664739","3.6708721737","3.6974247942","2.4","0.7502034501","0.6527216","0.198913068","0.0700506672","0.044870316","0.01","","0.0063","0.000035","0.000007","0.0000014349","0.0000015551","","0","0","","96.4925606213"
"2024-09-23","46.6870833104","27.8461559865","7.44","8.2165373726","3.7847482061","3.7021504056","2.4","1.6176030561","0.6522248","0.198913068","0.0700506672","0.044870316","0.01","","0.0077","0.000035","0.0000075","0.0000014349","0.0000020734","","0","0","","102.6780831968"
"2024-09-24","48.7354312832","27.9318363197","7.44","8.2030186416","3.7910339299","3.7058636409","2.4","0.7686870324","0.6522316","0.198913068","0.0700626672","0.044870316","0.01","","0.007","0.000035","0.0000065","0.0000019128","0.0000013017","","0","0","","103.9589932134"
"2024-09-25","48.9607275472","27.9013971339","7.44","8.2121069117","3.8017930679","3.7015674488","2.4","0.772750039","0.652258","0.198913068","0.0700506672","0.044870316","0.01","","0.0049","0.00002","0.0000045","0.0000014349","0.0000015549","","0","0","","104.1713616895"
"2024-09-26","48.9604289453","27.6418734359","7.44","8.1070752849","3.7630331676","3.7054491935","2.4","0.7697941396","0.6522428","0.198913068","0.0700506672","0.044870316","0.01","","0.0119","0.000065","0.000012","0.0000014349","0.0000015549","","0","0","","103.7757110078"
"2024-09-27","47.8218066428","27.3015335498","7.44","7.9353005521","3.7127849672","3.7033182469","2.4","0.7686501575","0.6523672","0.198913068","0.0700716672","0.044870316","0.01","","0.0147","0.00009","0.000018","0.0000019128","0.0000020734","","0","0","","102.0744283537"
"2024-09-28","47.3817789061","27.9358297686","7.44","7.9610925568","3.8235215357","3.7131803031","2.4","0.9021698257","0.6522424","0.198913068","0.0701586672","0.044870316","0.01","","0.0175","0.000105","0.000019","0.0000009566","0.0000015553","","0","0","","102.5513838591"
"2024-09-29","47.3756406642","27.6697334391","7.44","8.0276704698","3.7593089001","3.7099941151","2.4","0.8392349651","0.6527008","0.198913068","0.0701586672","0.044870316","0.01","","0.0168","0.000105","0.0000195","0.0000019128","0.0000020738","","0","0","","102.2151538912"
"2024-09-30","46.977436089","27.9570347667","7.44","8.0974469146","3.8123261883","3.7119691777","2.4","0.8431840266","0.6523228","0.1989144911","0.0702396672","0.044870316","0.02","","0.0161","0.000105","0.0000185","0.0000014349","0.0000015551","","0","0","","102.2419709272"
"2024-10-01","46.3661890734","26.9068503872","7.44","8.0854258749","3.7617509816","3.5672347482","2.4","0.7546482483","0.652126","0.198912","0.068008128","0.0434228904","0.01","0.1","0","0.000105","0","0.0000019128","0.000002074","","0","0","","100.3546773188"
"2024-10-02","47.1343152826","26.4868185324","7.44","7.922092025","3.6761572343","3.6518409172","2.4","0.7383729638","0.6520644","0.1989130265","0.068008128","0.0434228904","0.01","","0","0.00009","0","0.0000019128","0.0000020732","","0","0","","100.4220993862"
"2024-10-03","46.9466193896","27.1593547008","7.44","8.2225036937","3.7954308512","3.9888078599","2.4","0.7574601689","0.6517664","0.1989130337","0.068008128","0.0434228904","0.01","","0.0182","0.000115","0","0.0000014349","0.0000015551","","0","0","","101.7006051062"
"2024-10-04","43.2194859725","26.7441546992","7.44","8.0753336345","3.751998878","3.6565947336","2.4","0.751461156","0.6518156","0.1989130335","0.067603128","0.0434228904","0.01","","0.0294","0.00011","0","0.0000019128","0.000002024","","0","0","0","97.0402976625"
"2024-10-05","43.5579057023","26.4959413044","7.44","7.9206708413","3.6829966481","3.6452429654","2.4","0.740358796","0.652358","0.1989130344","0.067360128","0.0434228904","0.01","","0.0322","0.000095","0","0.0000014349","0.0000015052","","0","0","","96.8874682504"
"2024-10-06","43.2020460973","26.4636716587","7.44","7.9206366934","3.6698942271","3.6376939454","2.4","0.7387429777","0.6525768","0.1989130342","0.068008128","0.0434228904","0.01","","0.0301","0.000095","0","0.0000019128","0.0000020071","","0","0","","96.4758053721"
"2024-10-07","43.4058785523","26.5311011781","7.44","7.9536841251","3.7143263675","3.6441879532","2.4","0.7502389186","0.6526572","0.1989130335","0.068008128","0.0434228904","0.02","","0.0287","0.000085","0","0.0000019128","0.0000017591","","0","0","","96.8512070186"
"2024-10-08","43.7459450804","26.6316398131","7.44","7.9865818177","3.7212694766","3.6533111022","2.4","0.749274635","0.6523888","0.1989130344","0.068008128","0.0434228904","0.01","","0.0308","0.000115","0","0.0000014349","0.0000020076","","0","0","","97.3316732203"
"2024-10-09","43.6906460796","26.5373161027","7.44","8.0617744372","3.710895869","3.644113629","2.4","0.7481873276","0.6520752","0.1989130265","0.068008128","0.0434228904","0.01","","0.0238","0.00009","0.000015","0.0000019128","0.0000017542","","0","0","","97.229261357"
"2024-10-10","44.8802910254","26.5408080918","7.44","8.0542002709","3.706475447","3.6442744178","2.4","0.751014254","0.6519336","0.1989130265","0.068008128","0.0434228904","0.01","","0.0273","0.00009","0.000016","0.0000014349","0.0000017591","","0","0","","98.4167503458"
"2024-10-11","44.1456392264","26.5086370607","7.44","8.1390377683","3.6966585096","3.6413975436","2.4","0.7475060233","0.6521248","0.1989130265","0.068008128","0.0434228904","0.01","","0.0364","0.000115","0.0000215","0.0000019128","0.0000015057","","0","0","","97.7278848953"
"2024-10-12","43.4469144485","26.4646285883","7.44","7.9492937437","3.6709553847","3.6445675543","2.4","0.7408801166","0.6523044","0.1989130265","0.068008128","0.0434228904","0.01","","0.0364","0.000125","0.0000235","0.0000019128","0.0000020071","","0","0","","96.7664407009"
"2024-10-13","43.2110066096","26.5088241334","7.44","7.9208277759","3.6707867472","3.6483510652","2.4","0.7397927179","0.6523832","0.1989130265","0.068008128","0.0434228904","0.01","","0.035","0.00013","0.000022","0.0000019128","0.0000020076","","0","0","","96.5474722145"
"2024-10-14","44.4178109562","26.5418233999","7.44","7.9342669918","3.7138001678","3.647588204","2.4","0.7504262707","0.6519628","0.1989130263","0.068008128","0.0434228904","0.02","","0.0343","0.00012","0.000021","0.0000014349","0.0000015052","","0","0","","97.8624667752"
"2024-10-15","45.308664409","26.599011746","7.44","7.9357511046","3.7146815332","3.6521867763","2.4","0.7528313278","0.6522788","0.1989130263","0.068008128","0.0434228904","0.01","","0.0357","0.00012","0.00002","0.0000019128","0.0000020076","","0","0","","98.811593662"
"2024-10-16","45.0895974817","26.5489744756","7.44","8.0016290378","3.7072110494","3.643670385","2.4","0.751169029","0.651966","0.1989130263","0.068008128","0.0434228904","0.01","","0.0329","0.000125","0.000018","0.0000018855","0.0000020056","","0","0","","98.5876083943"
"2024-10-17","45.9313091195","26.6518254731","7.44","8.0810213925","3.7111740632","3.9855727397","2.4","0.7560664587","0.6515884","0.1989175806","0.068008128","0.0434228904","0.01","","0.0301","0.0001","0.00002","0.0000013257","0.0000015052","","0","0","","99.9591290766"
