"Service","EC2-Instances($)","EC2-Other($)","ElastiCache($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Elastic Container Service for Kubernetes($)","S3($)","SQS($)","DynamoDB($)","Key Management Service($)","EC2 Container Registry (ECR)($)","Cost Explorer($)","Route 53($)","Service Catalog($)","Secrets Manager($)","SNS($)","Simple Workflow Service($)","Step Functions($)","CloudShell($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-20","49.6256736078","28.5929986152","7.44","5.0478444534","3.7136315708","3.0305984539","2.4","0.5918802536","0.6520392","0.1989129648","0.0705186672","0.0418343568","0.01","","0.0014","0.000135","0","0.0000019128","0.0000010136","","0","0","","101.4174700699"
"2024-04-21","49.6183823108","28.5603332139","7.44","5.0403524716","3.6973671049","3.035747051","2.4","0.5912509389","0.652326","0.1989129648","0.0698946672","0.0418343568","0.01","","0.0014","0.000115","0","0.0000014349","0.0000010136","","0","0","","101.3579185284"
"2024-04-22","49.6235203584","29.0681412137","7.44","5.048384996","3.713382069","3.0793557465","2.4","0.5987574605","0.653196","0.1989206431","0.0705966672","0.0418343568","0.01","","0.0014","0.00013","0.0000000043","0.0000019128","0.0000007602","","0","0","","101.9476221885"
"2024-04-23","49.7524628467","29.4997722457","7.44","5.0544164124","3.702278315","3.1225177865","2.4","0.6007081103","0.652604","0.1989323603","0.0693486672","0.0418343568","0.01","","0.0014","0.000125","0.0000000022","0.0000019128","0.0000010136","","0","0","","102.5464030295"
"2024-04-24","49.7601121058","27.6802006368","7.44","5.0524355398","3.7125020241","3.1835790163","2.4","0.6000816973","0.6525684","0.1989266853","0.0703146672","0.0418343568","0.01","","0.0014","0.00011","0","0.0000019128","0.0000010136","","0","0","","100.8040680558"
"2024-04-25","48.9835952298","26.7531898115","7.44","5.0482965929","3.7302294983","3.148488286","2.4","0.6059141575","0.65259","0.1989312396","0.0704406672","0.0418343568","0.01","","0.0007","0.00011","0.0000000346","0.0000014349","0.0000007602","","0","0","","99.0843220693"
"2024-04-26","48.9418872613","26.4917657622","7.44","5.0469001698","3.7016411831","3.4515259638","2.4","0.5988241196","0.652372","0.1989144455","0.0704406672","0.0418343568","0.01","","0.0014","0.000115","0","0.0000019128","0.0000010136","","0","0","","99.0476238557"
"2024-04-27","48.9159278353","26.4235546221","7.44","5.040678729","3.6947295915","3.1154958597","2.4","0.5949962234","0.6525648","0.1989130224","0.0704406672","0.0418343568","0.01","","0.0014","0.00009","0","0.0000014349","0.0000010136","","0","0","","98.6006281559"
"2024-04-28","48.983729323","26.5428222761","7.44","5.0421785819","3.690914047","3.1288585014","2.4","0.594266927","0.6524624","0.1989158686","0.0708066672","0.0418343568","0.01","","0.0014","0.000095","0","0.0000019128","0.0000010136","","0","0","","98.7982868754"
"2024-04-29","48.9448735136","26.4234659563","7.44","5.0448366399","3.7251442382","3.1159313419","2.4","0.6158029614","0.6521236","0.1989161553","0.0705936672","0.0418343568","0.01","","0.0007","0.000095","0","0.0000019128","0.0000007602","","0","0","","98.6843201036"
"2024-04-30","48.8102058297","26.5429613488","7.44","5.0456921505","3.7359633927","3.1273693231","2.4","0.7654628946","0.651844","0.1989221334","0.0707256672","0.0418343568","0.01","","0.0014","0.000105","0","0.0000014349","0.0000010136","","0","0","","98.8424885453"
"2024-05-01","46.6887511796","25.8339443933","7.44","5.1215737784","3.7402519523","3.0958389352","2.4","0.585859537","0.6523792","0.1989144167","0.068452128","0.0404848656","0.01","0.5","0","0.000125","0","0.0000014349","0.0000007602","","0","0","","96.3765775812"
