"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Elastic Load Balancing($)","CloudWatch($)","Cost Explorer($)","Service Catalog($)","Route 53($)","Secrets Manager($)","S3($)","DynamoDB($)","Key Management Service($)","SQS($)","Athena($)","SNS($)","Glacier($)","Step Functions($)","Simple Workflow Service($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-04-21","24.5838779682","7.9245203689","4.5603834291","1.1473403112","0.993333324","0.01","0.0014","0.0001928","0.0289466664","0.0026022197","0.0213120552","0.002772","0.0001056","","0","0.0000023629","0.000000385","0.0000006264","0","0","","39.276790117"
"2024-04-22","24.5838260718","7.9171384041","4.5603905278","1.1473748444","0.993333324","0.01","0.0014","0.0002432","0.0290416664","0.0026185112","0.0213120552","0.002706","0.0001104","","0","0.0000024244","0.000000329","0.0000006003","0","0","","39.2694983586"
"2024-04-23","24.5838698846","7.9267868409","4.560407935","1.147373321","0.993333324","0.01","0.0014","0.0002296","0.0291416664","0.0028694265","0.0213120552","0.002772","0.0001056","","0","0.0000023936","0.000000372","0.0000006786","0","0","","39.2796050978"
"2024-04-24","24.5839143729","7.9368682494","4.564099702","1.1476888989","0.993333324","0.01","0.0014","0.0004964","0.0287666664","0.0028210215","0.0213120552","0.002706","0.0001056","","0","0.0000024391","0.000000315","0.0000005742","0","0","","39.2935156186"
"2024-04-25","24.5896344556","7.9572224574","4.5639789789","1.1479630812","0.993333324","0.01","0.0014","0.0006024","0.0289566664","0.003273343","0.0213120552","0.002706","0.0001104","","0","0.0000023714","0.000000345","0.0000005742","0","0","","39.3204964523"
"2024-04-26","24.5839200602","7.9180868695","4.5610097341","1.1475049426","0.993333324","0.01","0.0014","0.0003512","0.0288516664","0.0028318831","0.0213120552","0.002706","0.0001104","","0","0.0000023353","0.000000285","0.0000005742","0","0","","39.2714213296"
"2024-04-27","24.5839359118","7.9165297982","4.5604333505","1.1474154221","0.993333324","0.01","0.0014","0.0003408","0.0290416664","0.0028238381","0.0213120552","0.002376","0.0001104","","0","0.0000024533","0.000000328","0.0000005481","0","0","","39.2690558957"
"2024-04-28","24.583969804","7.918789801","4.5604516021","1.1473799557","0.993333324","0.01","0.0014","0.000262","0.0289466664","0.0028320846","0.0213120552","0.002829","0.0001008","","0","0.0000024379","0.000000343","0.0000004959","0","0","","39.2716103698"
"2024-04-29","24.552400332","7.9337080225","4.5624799807","1.1486825394","0.993333324","","","0.0006212","0.0284466664","0.0032542586","0.0213120552","0.003042","0.0000912","","0","0.0000027429","0.000000342","0.0000006264","0","0","","39.2473752901"
"2024-04-30","25.6916093367","8.1536637117","4.7654734425","1.1479892234","1.0399999902","0.01","0.0014","0.00093","0.0290666664","0.0067664934","0.0213120608","0.002925","0.0001152","","0","0.0000029574","0.000000374","0.0000005481","0","0","","40.8712550046"
"2024-05-01","26.4124681653","7.9183939116","4.5607515623","1.1474848728","1.038709692","0.01","0","1.0004384","0.0277064512","0.0105415385","0.02131206","0.002706","0.0001152","","0","0.0000030186","0.000000371","0.0000006264","0","0","","42.1506318697"
"2024-05-02","26.4124833776","7.9053508304","4.5607720594","1.1474958629","1.038709692","0.01","0","0.0004632","0.0276114512","0.0103976338","0.02131206","0.002706","0.0001008","","0","0.000003084","0.000000359","0.0000006003","0","0","","41.1374070106"
"2024-05-03","26.4124842131","7.9060174627","4.5609901193","1.1475118269","1.038709692","0.01","0","0.0005732","0.0277064512","0.0105282939","0.02131206","0.002772","0.0001008","","0","0.0000030169","0.000000328","0.0000005742","0","0","","41.1387100382"
"2024-05-04","26.4125382471","7.9189434192","4.5605614442","1.147538975","1.038709692","0.01","0","0.0005324","0.0279964512","0.0108627091","0.02131206","0.002112","0.0001152","","0","0.000003084","0.000000373","0.0000006003","0","0","","41.1512266551"
"2024-05-05","26.4125402632","7.906697408","4.5604310425","1.1473075556","1.038709692","0.01","0","0.0002384","0.0274214512","0.0104291169","0.02131206","0.002112","0.0001104","","0","0.0000031061","0.000000254","0.0000005742","0","0","","41.1373133237"
"2024-05-06","26.42727187","7.9436244532","4.5605273073","1.1474296472","1.038709692","0.01","0","0.0003836","0.0277064512","0.020184365","0.02131206","0.002706","0.0000864","","0","0.000003084","0.000000326","0.0000005742","0","0","","41.1999458301"
"2024-05-07","26.4199616513","7.9353019182","4.5612583119","1.1475365862","1.038709692","0.01","0","0.0003788","0.0280014512","0.0144329162","0.02131206","0.002376","0.0000912","","0","0.0000030964","0.000000314","0.0000005742","0","0","","41.1793645716"
"2024-05-08","26.4126257858","7.9054878266","4.560533585","1.1474463999","1.038709692","0.01","0","0.000486","0.0268211824","0.0143053297","0.02131206","0.002772","0.0001056","","0","0.0000031138","0.000000312","0.0000005742","0","0","","41.1406094614"
"2024-05-09","26.4126274088","7.9054543697","4.560507841","1.1474398667","1.038709692","0.01","0","0.0005512","0.0279914512","0.0142615762","0.02131206","0.002706","0.0000912","","0","0.0000036487","0.000000269","0.000000522","0","0","","41.1416571053"
"2024-05-10","26.4126623958","7.9122112748","4.5604160932","1.1474069778","1.038709692","0.01","0","0.0002828","0.0280864512","0.0142179077","0.02131206","0.002706","0.0001104","","0","0.0000037665","0.000000357","0.0000006264","0","0","","41.1481268024"
"2024-05-11","26.4126645876","7.9055132456","4.5603922585","1.1473572443","1.038709692","0.01","0","0.0001696","0.0268211824","0.0142533297","0.02131206","0.002706","0.0001104","","0","0.0000035496","0.00000033","0.0000006003","0","0","","41.14001408"
"2024-05-12","26.4127362603","7.9093290535","4.5604188234","1.1474259146","1.038709692","0.01","0","0.0004024","0.0280864512","0.0142613747","0.02131206","0.002706","0.0001056","","0","0.0000035602","0.000000328","0.0000005742","0","0","","41.1454980921"
"2024-05-13","26.4127035846","7.9053364886","4.5604344046","1.1473820001","1.038709692","0.01","0","0.0005496","0.0263461824","0.0142533297","0.02131206","0.002706","0.000096","","0","0.0000035794","0.000000284","0.0000005481","0","0","","41.1398337535"
"2024-05-14","26.41270624","7.9049073881","4.5604235062","1.1473883557","1.038709692","0.01","0","0.0004092","0.0278014512","0.0143733807","0.02131206","0.002706","0.0001104","","0","0.000003584","0.000000343","0.0000005481","0","0","","41.140852149"
"2024-05-15","26.4127733985","7.9060251315","4.5603496926","1.1472248889","1.038709692","0.01","0","0.0002232","0.0265361824","0.0143653043","0.02131206","0.002772","0.0001008","","0","0.0000036148","0.000000359","0.0000006264","0","0","","41.1403969504"
"2024-05-16","26.4127936441","7.9072034099","4.5603424039","1.1472","1.038709692","0.01","0","0.0001956","0.0279914512","0.0144210122","0.02131206","0.002706","0.0001104","","0","0.0000036143","0.000000315","0.0000006003","0","0","","41.1429902029"
"2024-05-17","26.30998724","7.9059819842","4.5603404203","1.1472","1.038709692","0.01","0","0.0000668","0.0278014512","0.0142786059","0.02131206","0.002706","0.0001104","","0","0.0000037791","0.000000329","0.0000006003","0","0","","41.038499362"
"2024-05-18","26.4128163339","7.9057015975","4.5603385461","1.1472","1.038709692","0.01","0","0.0000296","0.0266311824","0.0143511956","0.02131206","0.002706","0.0001152","","0","0.0000038883","0.000000374","0.0000006525","0","0","","41.1399163223"
"2024-05-19","26.4128535693","7.9068174815","4.5603364933","1.1472","1.038709692","0.01","0","0.0000196","0.0274214512","0.0143423653","0.02131206","0.002706","0.0001008","","0","0.0000037039","0.00000033","0.0000005481","0","0","","41.1418240946"
"2024-05-20","26.4128725203","7.9070049602","4.5603336934","1.1472","1.0375000146","0.01","0","0.0001","0.0281814512","0.0143493048","0.02131206","0.002706","0.0001152","","0","0.0000038309","0.000000359","0.0000006264","0","0","","41.1416800208"
"2024-05-21","26.4128980218","7.9056462831","4.5603360274","1.147202765","1.038709692","0.01","0","0.0000896","0.0278964512","0.014358437","0.02131206","0.002706","0.0001104","","0","0.0000038192","0.000000329","0.0000006003","0","0","","41.141270486"
"2024-05-22","26.4129226852","7.906012832","4.560335608","1.1472","1.0383064662","0.01","0","0.0000372","0.0268211824","0.0142444004","0.02131206","0.002772","0.0001056","","0","0.0000037585","0.00000033","0.0000005481","0","0","","41.1400746708"
"2024-05-23","26.4131465018","7.9692022616","4.5614514758","1.1475102025","1.038709692","0.01","0","0.0002316","0.0280864512","0.0144994432","0.02131206","0.002706","0.0001008","","0","0.0000038428","0.000000343","0.0000005742","0","0","","41.2069612481"
"2024-05-24","26.4130651181","7.9005455002","4.5604162889","1.1474102761","1.038709692","0.01","0","0.000236","0.0278014512","0.0143552513","0.02131206","0.002706","0.0000912","","0","0.0000038217","0.000000327","0.000000522","0","0","","41.1366535085"
"2024-05-25","26.4130260944","7.8995285401","4.5603857053","1.1473657334","1.038709692","0.01","0","0.0001012","0.0278014512","0.0143672942","0.02131206","0.002829","0.0001008","","0","0.0000037072","0.000000284","0.0000005481","0","0","","41.1355321099"
"2024-05-26","26.4131135663","7.9061113646","4.560377868","1.1473472","1.038709692","0.01","0.0014","0.0001296","0.0276114512","0.0143460654","0.02131206","0.002829","0.0000912","","0","0.0000038508","0.000000268","0.0000005481","0","0","","41.1433837344"
"2024-05-27","26.4435728966","8.0182111037","4.5604471929","1.1473168742","1.038709692","0.01","0.0014","0.0001896","0.0278964512","0.0144224728","0.02131206","0.002829","0.0000912","","0","0.0000037345","0.000000285","0.0000004698","0","0","","41.2864030327"
"2024-05-28","26.4534424817","7.9513816063","4.5606027163","1.1472404205","1.038709692","0.01","0.0014","0.0000732","0.0279964512","0.0146387254","0.02131206","0.002829","0.0000864","","0","0.0000036692","0.000000314","0.0000004437","0","0","","41.2297171803"
