account_id,month,deepika_spend,resource_type,parakh_spend
2637409966,2024-04-01,196300.0,compute,88287.5083655973
2637409966,2024-05-01,196100.0,compute,88111.5230699865
2637409966,2024-06-01,189500.0,compute,100053.9763309551
2637409966,2024-07-01,184100.0,compute,103937.7254702185
2637409966,2024-08-01,190500.0,compute,107463.1040169627
2637409966,2024-09-01,184600.0,compute,106051.9419643008
2637409966,2024-10-01,179800.0,compute,1987.2053920973
2637409966,2024-11-01,174700.0,compute,88632.3480451318
2637409966,2024-12-01,180000.0,compute,90659.9923641545
2637409966,2025-01-01,214291.0,compute,107783.6283105097
2637409966,2025-02-01,198816.0,compute,93770.4203865624
2637409966,2025-03-01,185000.0,compute,76757.253314464
3079193758,2024-04-01,48600.0,compute,40102.2201486472
3079193758,2024-05-01,47800.0,compute,39352.2363635157
3079193758,2024-06-01,45000.0,compute,36733.5161503335
3079193758,2024-07-01,46700.0,compute,39042.4299463292
3079193758,2024-08-01,49000.0,compute,41248.7453904768
3079193758,2024-09-01,50100.0,compute,42226.8190683013
3079193758,2024-10-01,50800.0,compute,1.0467296932
3079193758,2024-11-01,47900.0,compute,39969.3825894485
3079193758,2024-12-01,50000.0,compute,41041.9549767707
3079193758,2025-01-01,55299.0,compute,45132.3645282091
3079193758,2025-02-01,50515.0,compute,41199.7589266838
3079193758,2025-03-01,53500.0,compute,6490.3742153556
17820698743,2024-08-01,0.0,compute,24.6370735084
17820698743,2024-09-01,900.0,compute,658.4405627214
17820698743,2024-10-01,2700.0,compute,2.4232e-06
17820698743,2024-11-01,1500.0,compute,1036.9203591128
17820698743,2024-12-01,1300.0,compute,1147.0522189385
17820698743,2025-01-01,1134.0,compute,989.0705835474
17820698743,2025-02-01,951.0,compute,828.984349585
17820698743,2025-03-01,1500.0,compute,400.9502825193
21891570382,2024-08-01,1100.0,compute,582.2169985553
21891570382,2024-09-01,14300.0,compute,6392.0833321787
21891570382,2024-10-01,15100.0,compute,-2.0445e-06
21891570382,2024-11-01,14500.0,compute,7008.5534459485
21891570382,2024-12-01,20000.0,compute,7462.1594046346
21891570382,2025-01-01,22693.0,compute,12590.617417625
21891570382,2025-02-01,21406.0,compute,11392.1183002447
21891570382,2025-03-01,24400.0,compute,7758.7739912516
23903256547,2024-04-01,200.0,compute,94.0911596729
23903256547,2024-05-01,200.0,compute,102.3626953646
23903256547,2024-06-01,300.0,compute,215.2228628082
23903256547,2024-07-01,400.0,compute,242.8593884137
23903256547,2024-08-01,300.0,compute,255.2956917096
23903256547,2024-09-01,200.0,compute,137.6296954773
23903256547,2024-10-01,100.0,compute,-1.143e-07
23903256547,2024-11-01,100.0,compute,46.4911075723
28914776520,2024-04-01,17400.0,compute,10679.9199972406
28914776520,2024-05-01,18700.0,compute,11824.644729089
28914776520,2024-06-01,19400.0,compute,12470.7685772831
28914776520,2024-07-01,17600.0,compute,10752.5231308667
28914776520,2024-08-01,16000.0,compute,9636.6794889232
28914776520,2024-09-01,15200.0,compute,9348.2591111657
28914776520,2024-10-01,15400.0,compute,229.1378432829
28914776520,2024-11-01,15000.0,compute,9395.7522824566
