account_id,month,proportion_pct,minimum_commitment
767397730150,2025-05-01,0.004,2671.18
767397730150,2025-06-01,0.005,2724.61
767397730150,2025-07-01,0.005,2779.12
767397730150,2025-08-01,0.005,2834.71
767397730150,2025-09-01,0.005,2891.4
767397730150,2025-10-01,0.005,2949.24
767397730150,2025-11-01,0.005,3008.25
767397730150,2025-12-01,0.005,3068.34
767397730150,2026-01-01,0.005,3129.75
767397730150,2026-02-01,0.005,3192.33
767397730150,2026-03-01,0.005,3256.22
548411824430,2025-04-01,0.0,256.27
548411824430,2025-05-01,0.0,261.39
548411824430,2025-06-01,0.0,266.66
548411824430,2025-07-01,0.0,272.01
548411824430,2025-08-01,0.0,277.44
548411824430,2025-09-01,0.0,282.94
548411824430,2025-10-01,0.0,288.6
548411824430,2025-11-01,0.0,294.42
548411824430,2025-12-01,0.001,300.31
548411824430,2026-01-01,0.001,306.28
548411824430,2026-02-01,0.001,312.41
548411824430,2026-03-01,0.001,318.69
272415727726,2025-04-01,0.153,91705.82
272415727726,2025-05-01,0.157,94456.94
272415727726,2025-06-01,0.162,97290.65
272415727726,2025-07-01,0.167,100209.41
272415727726,2025-08-01,0.172,103215.65
272415727726,2025-09-01,0.177,106312.14
272415727726,2025-10-01,0.183,109501.52
272415727726,2025-11-01,0.188,112786.58
272415727726,2025-12-01,0.194,116170.13
272415727726,2026-01-01,0.199,119655.25
272415727726,2026-02-01,0.205,123244.89
272415727726,2026-03-01,0.207,124064.26
381491835802,2025-04-01,0.125,75290.18
381491835802,2025-05-01,0.131,78301.76
381491835802,2025-06-01,0.136,81433.84
381491835802,2025-07-01,0.141,84691.15
381491835802,2025-08-01,0.147,88078.8
381491835802,2025-09-01,0.153,91601.99
381491835802,2025-10-01,0.159,95266.07
381491835802,2025-11-01,0.165,99076.71
381491835802,2025-12-01,0.172,103039.79
381491835802,2026-01-01,0.179,107161.36
381491835802,2026-02-01,0.186,111447.78
381491835802,2026-03-01,0.194,116310.24
339712810712,2025-04-01,0.005,3298.79
339712810712,2025-05-01,0.006,3463.72
339712810712,2025-06-01,0.006,3636.87
339712810712,2025-07-01,0.006,3818.78
339712810712,2025-08-01,0.007,4009.68
339712810712,2025-09-01,0.007,4210.12
339712810712,2025-10-01,0.007,4420.64
339712810712,2025-11-01,0.008,4641.71
339712810712,2025-12-01,0.008,4873.79
339712810712,2026-01-01,0.009,5117.5
339712810712,2026-02-01,0.009,5373.38
339712810712,2026-03-01,0.009,5641.98
211125458732,2025-04-01,0.145,87272.15
211125458732,2025-05-01,0.15,89890.29
211125458732,2025-06-01,0.154,92586.98
211125458732,2025-07-01,0.159,95364.63
211125458732,2025-08-01,0.164,98225.55
211125458732,2025-09-01,0.169,101172.31
211125458732,2025-10-01,0.174,104207.46
211125458732,2025-11-01,0.179,107333.73
211125458732,2025-12-01,0.184,110553.74
211125458732,2026-01-01,0.19,113870.36
211125458732,2026-02-01,0.195,117286.47
211125458732,2026-03-01,0.201,120805.01
381492106076,2025-04-01,0.003,1957.5
381492106076,2025-05-01,0.003,2055.36
381492106076,2025-06-01,0.004,2158.1
381492106076,2025-07-01,0.004,2266.03
381492106076,2025-08-01,0.004,2379.32
381492106076,2025-09-01,0.004,2498.34
381492106076,2025-10-01,0.004,2623.26
381492106076,2025-11-01,0.005,2754.38
381492106076,2025-12-01,0.005,2892.09
381492106076,2026-01-01,0.005,3036.71
381492106076,2026-02-01,0.005,3188.53
381492106076,2026-03-01,0.006,3347.95
992382754296,2025-04-01,0.002,1207.38
