account_id,account_name,month,spend
352506242819,payments-platform_prod_ocl ,2024-04-01,"926,594"
352506242819,payments-platform_prod_ocl ,2024-05-01,"795,864"
352506242819,payments-platform_prod_ocl ,2024-06-01,"754,750"
352506242819,payments-platform_prod_ocl ,2024-07-01,"746,706"
352506242819,payments-platform_prod_ocl ,2024-08-01,"686,434"
352506242819,payments-platform_prod_ocl ,2024-09-01,"698,920"
352506242819,payments-platform_prod_ocl ,2024-10-01,"715,548"
352506242819,payments-platform_prod_ocl ,2024-11-01,"675,212"
352506242819,payments-platform_prod_ocl ,2024-12-01,"718,375"
352506242819,payments-platform_prod_ocl ,2025-01-01,"721,111"
352506242819,payments-platform_prod_ocl ,2025-02-01,"623,894"
352506242819,payments-platform_prod_ocl ,2025-03-01,"656,505"
628412515026,Datalake AWS ,2024-04-01,"424,243"
628412515026,Datalake AWS ,2024-05-01,"406,120"
628412515026,Datalake AWS ,2024-06-01,"406,204"
628412515026,Datalake AWS ,2024-07-01,"399,264"
628412515026,Datalake AWS ,2024-08-01,"402,506"
628412515026,Datalake AWS ,2024-09-01,"395,407"
628412515026,Datalake AWS ,2024-10-01,"409,911"
628412515026,Datalake AWS ,2024-11-01,"412,154"
628412515026,Datalake AWS ,2024-12-01,"441,493"
628412515026,Datalake AWS ,2025-01-01,"435,840"
628412515026,Datalake AWS ,2025-02-01,"411,588"
628412515026,Datalake AWS ,2025-03-01,"490,327"
567423616371,parent account_ocl ,2024-04-01,"333,742"
567423616371,parent account_ocl ,2024-05-01,"311,170"
567423616371,parent account_ocl ,2024-06-01,"289,737"
567423616371,parent account_ocl ,2024-07-01,"259,476"
567423616371,parent account_ocl ,2024-08-01,"232,344"
567423616371,parent account_ocl ,2024-09-01,"230,244"
567423616371,parent account_ocl ,2024-10-01,"227,052"
567423616371,parent account_ocl ,2024-11-01,"223,311"
567423616371,parent account_ocl ,2024-12-01,"232,265"
567423616371,parent account_ocl ,2025-01-01,"229,026"
567423616371,parent account_ocl ,2025-02-01,"213,583"
567423616371,parent account_ocl ,2025-03-01,"202,847"
340077773684,Paytm Financial Services ,2024-04-01,"220,210"
340077773684,Paytm Financial Services ,2024-05-01,"212,634"
340077773684,Paytm Financial Services ,2024-06-01,"219,179"
340077773684,Paytm Financial Services ,2024-07-01,"230,120"
340077773684,Paytm Financial Services ,2024-08-01,"221,080"
340077773684,Paytm Financial Services ,2024-09-01,"205,472"
340077773684,Paytm Financial Services ,2024-10-01,"209,704"
340077773684,Paytm Financial Services ,2024-11-01,"208,042"
340077773684,Paytm Financial Services ,2024-12-01,"220,726"
340077773684,Paytm Financial Services ,2025-01-01,"217,964"
340077773684,Paytm Financial Services ,2025-02-01,"205,306"
340077773684,Paytm Financial Services ,2025-03-01,"226,011"
2637409966,user-management-prod ,2024-04-01,"196,285"
2637409966,user-management-prod ,2024-05-01,"196,124"
2637409966,user-management-prod ,2024-06-01,"189,489"
2637409966,user-management-prod ,2024-07-01,"184,088"
2637409966,user-management-prod ,2024-08-01,"191,768"
2637409966,user-management-prod ,2024-09-01,"184,598"
2637409966,user-management-prod ,2024-10-01,"179,792"
2637409966,user-management-prod ,2024-11-01,"174,653"
2637409966,user-management-prod ,2024-12-01,"180,884"
2637409966,user-management-prod ,2025-01-01,"188,148"
2637409966,user-management-prod ,2025-02-01,"174,060"
2637409966,user-management-prod ,2025-03-01,"185,179"
968032760053,Fraud AWS ,2024-04-01,"174,475"
968032760053,Fraud AWS ,2024-05-01,"183,385"
968032760053,Fraud AWS ,2024-06-01,"189,836"
968032760053,Fraud AWS ,2024-07-01,"199,169"
968032760053,Fraud AWS ,2024-08-01,"205,339"
968032760053,Fraud AWS ,2024-09-01,"194,144"
968032760053,Fraud AWS ,2024-10-01,"181,198"
968032760053,Fraud AWS ,2024-11-01,"158,760"
968032760053,Fraud AWS ,2024-12-01,"177,588"
968032760053,Fraud AWS ,2025-01-01,"173,497"
968032760053,Fraud AWS ,2025-02-01,"175,379"
968032760053,Fraud AWS ,2025-03-01,"188,737"
304016915943,payments-data-rtdd_prod_ocl ,2024-04-01,"179,160"
304016915943,payments-data-rtdd_prod_ocl ,2024-05-01,"173,013"
304016915943,payments-data-rtdd_prod_ocl ,2024-06-01,"167,969"
304016915943,payments-data-rtdd_prod_ocl ,2024-07-01,"160,787"
304016915943,payments-data-rtdd_prod_ocl ,2024-08-01,"157,044"
304016915943,payments-data-rtdd_prod_ocl ,2024-09-01,"153,841"
304016915943,payments-data-rtdd_prod_ocl ,2024-10-01,"164,692"
304016915943,payments-data-rtdd_prod_ocl ,2024-11-01,"162,786"
304016915943,payments-data-rtdd_prod_ocl ,2024-12-01,"179,289"
304016915943,payments-data-rtdd_prod_ocl ,2025-01-01,"169,065"
304016915943,payments-data-rtdd_prod_ocl ,2025-02-01,"163,621"
304016915943,payments-data-rtdd_prod_ocl ,2025-03-01,"175,362"
424503791295,merchant-payments-api_prod_ocl ,2024-04-01,"167,491"
424503791295,merchant-payments-api_prod_ocl ,2024-05-01,"152,160"
424503791295,merchant-payments-api_prod_ocl ,2024-06-01,"150,899"
424503791295,merchant-payments-api_prod_ocl ,2024-07-01,"147,780"
424503791295,merchant-payments-api_prod_ocl ,2024-08-01,"144,681"
424503791295,merchant-payments-api_prod_ocl ,2024-09-01,"137,728"
424503791295,merchant-payments-api_prod_ocl ,2024-10-01,"144,584"
424503791295,merchant-payments-api_prod_ocl ,2024-11-01,"143,030"
424503791295,merchant-payments-api_prod_ocl ,2024-12-01,"146,256"
424503791295,merchant-payments-api_prod_ocl ,2025-01-01,"149,089"
424503791295,merchant-payments-api_prod_ocl ,2025-02-01,"145,688"
424503791295,merchant-payments-api_prod_ocl ,2025-03-01,"147,003"
899249751508,PayTm DaaS ML ,2024-04-01,"137,824"
899249751508,PayTm DaaS ML ,2024-05-01,"123,022"
899249751508,PayTm DaaS ML ,2024-06-01,"119,581"
899249751508,PayTm DaaS ML ,2024-07-01,"123,329"
899249751508,PayTm DaaS ML ,2024-08-01,"123,670"
899249751508,PayTm DaaS ML ,2024-09-01,"126,668"
899249751508,PayTm DaaS ML ,2024-10-01,"136,458"
899249751508,PayTm DaaS ML ,2024-11-01,"129,232"
899249751508,PayTm DaaS ML ,2024-12-01,"129,995"
899249751508,PayTm DaaS ML ,2025-01-01,"134,409"
899249751508,PayTm DaaS ML ,2025-02-01,"128,644"
899249751508,PayTm DaaS ML ,2025-03-01,"143,573"
75790327284,cdp_growth marketing_ocl ,2024-04-01,"128,496"
75790327284,cdp_growth marketing_ocl ,2024-05-01,"137,665"
75790327284,cdp_growth marketing_ocl ,2024-06-01,"134,483"
75790327284,cdp_growth marketing_ocl ,2024-07-01,"119,839"
75790327284,cdp_growth marketing_ocl ,2024-08-01,"106,506"
75790327284,cdp_growth marketing_ocl ,2024-09-01,"97,773"
75790327284,cdp_growth marketing_ocl ,2024-10-01,"99,016"
