account_id,month,spend,resource_type
2637409966,2024-04-01,196300,compute
2637409966,2024-05-01,196100,compute
2637409966,2024-06-01,189500,compute
2637409966,2024-07-01,184100,compute
2637409966,2024-08-01,190500,compute
2637409966,2024-09-01,184600,compute
2637409966,2024-10-01,179800,compute
2637409966,2024-11-01,174700,compute
2637409966,2024-12-01,180000,compute
2637409966,2025-01-01,214291,compute
2637409966,2025-02-01,198816,compute
2637409966,2025-03-01,185000,compute
3079193758,2024-04-01,48600,compute
3079193758,2024-05-01,47800,compute
3079193758,2024-06-01,45000,compute
3079193758,2024-07-01,46700,compute
3079193758,2024-08-01,49000,compute
3079193758,2024-09-01,50100,compute
3079193758,2024-10-01,50800,compute
3079193758,2024-11-01,47900,compute
3079193758,2024-12-01,50000,compute
3079193758,2025-01-01,55299,compute
3079193758,2025-02-01,50515,compute
3079193758,2025-03-01,53500,compute
9124235587,2024-04-01,100,compute
9124235587,2024-05-01,200,compute
9124235587,2024-06-01,200,compute
9124235587,2024-07-01,200,compute
9124235587,2024-08-01,200,compute
9124235587,2024-09-01,200,compute
9124235587,2024-10-01,100,compute
9124235587,2024-11-01,100,compute
9124235587,2024-12-01,0,compute
9124235587,2025-01-01,0,compute
9124235587,2025-02-01,0,compute
9124235587,2025-03-01,0,compute
11420223908,2024-04-01,1600,compute
11420223908,2024-05-01,1500,compute
11420223908,2024-06-01,1400,compute
11420223908,2024-07-01,1700,compute
11420223908,2024-08-01,2900,compute
11420223908,2024-09-01,2900,compute
11420223908,2024-10-01,2600,compute
11420223908,2024-11-01,1700,compute
11420223908,2024-12-01,0,compute
11420223908,2025-01-01,0,compute
11420223908,2025-02-01,0,compute
11420223908,2025-03-01,0,compute
15680176265,2024-04-01,0,compute
15680176265,2024-05-01,0,compute
15680176265,2024-06-01,0,compute
15680176265,2024-07-01,100,compute
15680176265,2024-08-01,100,compute
15680176265,2024-09-01,0,compute
15680176265,2024-10-01,0,compute
15680176265,2024-11-01,0,compute
15680176265,2024-12-01,0,compute
15680176265,2025-01-01,0,compute
15680176265,2025-02-01,0,compute
15680176265,2025-03-01,0,compute
17820698743,2024-04-01,0,compute
17820698743,2024-05-01,0,compute
17820698743,2024-06-01,0,compute
17820698743,2024-07-01,0,compute
17820698743,2024-08-01,0,compute
17820698743,2024-09-01,900,compute
17820698743,2024-10-01,2700,compute
17820698743,2024-11-01,1500,compute
17820698743,2024-12-01,1300,compute
17820698743,2025-01-01,1134,compute
17820698743,2025-02-01,951,compute
17820698743,2025-03-01,1500,compute
21891570382,2024-04-01,0,compute
21891570382,2024-05-01,0,compute
21891570382,2024-06-01,0,compute
21891570382,2024-07-01,0,compute
21891570382,2024-08-01,1100,compute
21891570382,2024-09-01,14300,compute
21891570382,2024-10-01,15100,compute
21891570382,2024-11-01,14500,compute
21891570382,2024-12-01,20000,compute
21891570382,2025-01-01,22693,compute
21891570382,2025-02-01,21406,compute
21891570382,2025-03-01,24400,compute
23903256547,2024-04-01,200,compute
23903256547,2024-05-01,200,compute
23903256547,2024-06-01,300,compute
23903256547,2024-07-01,400,compute
23903256547,2024-08-01,300,compute
23903256547,2024-09-01,200,compute
23903256547,2024-10-01,100,compute
23903256547,2024-11-01,100,compute
23903256547,2024-12-01,0,compute
23903256547,2025-01-01,0,compute
23903256547,2025-02-01,0,compute
23903256547,2025-03-01,0,compute
28914776520,2024-04-01,17400,compute
28914776520,2024-05-01,18700,compute
28914776520,2024-06-01,19400,compute
28914776520,2024-07-01,17600,compute
28914776520,2024-08-01,16000,compute
28914776520,2024-09-01,15200,compute
28914776520,2024-10-01,15400,compute
28914776520,2024-11-01,15000,compute
28914776520,2024-12-01,15000,compute
28914776520,2025-01-01,16655,compute
28914776520,2025-02-01,15980,compute
28914776520,2025-03-01,15600,compute
54736913503,2024-04-01,3200,compute
