Service,EC2-Instances($),EC2-Other($),Elastic Load Balancing($),Route 53($),S3($),VPC($),Elastic Container Service for Kubernetes($),WAF($),CloudWatch($),API Gateway($),CloudTrail($),EC2 Container Registry (ECR)($),CloudFront($),QuickSight($),SES($),Secrets Manager($),Cost Explorer($),Relational Database Service($),DynamoDB($),SNS($),Key Management Service($),Lambda($),Simple Workflow Service($),Step Functions($),CloudShell($),Glue($),Service Catalog($),SQS($),SimpleDB($),CloudWatch Events($),CloudFormation($),Total costs($)
2025-04-10,286.4947717,118.6990959,11.71037768,11.50825067,5.178336067,4.323265938,2.4,1.30229574,0.257804409,0.0275525144,0.8015621294,0.4719340921,0.5407251779,0.4000000032,0.3139835832,0.2670866664,0.07,0.0730049642,0,0.0052520479,0.005865,0,0.0000014142,0.000000984,,0,0,0,0,0,,444.8511666
2025-04-11,285.3879299,116.0707432,11.76749925,12.35410307,5.432255969,4.280458514,2.4,1.35889434,0.2578220097,0.0347471469,0.617440111,0.4722357888,0.5478436804,0.4000000032,0.3419924099,0.2669816664,0.12,0.0730049642,0,0.0091470426,0.00621,0,0.0000009428,0.0000012384,,0,0,0,0,0,,442.1993112
2025-04-12,283.9169532,116.2201869,11.98945807,12.57685267,5.207746828,4.280663889,2.4,1.38518094,0.2578435664,0.0304217229,0.5894385633,0.4722357888,0.5302936676,0.4000000032,0.2663573857,0.2669816664,0.09,0.0730049642,0,0.0050514517,0.005865,0,0.0000014142,0.0000009888,,0,0,0,0,0,,440.9645386
2025-04-13,283.8186357,117.311719,12.07452905,11.46946027,5.19357252,4.237665193,2.4,1.42449354,0.2578626742,0.0341710582,0.6073897637,0.4722357888,0.5434978605,0.4000000032,0.2976112259,0.2670866664,0.08,0.0730049642,0,0.0059748517,0.00621,0,0.0000009428,0.0000014832,,0,0,0,0,0,,440.9751225
2025-04-14,284.1147007,116.4109333,11.81585785,11.95380467,5.179520412,4.231915369,2.4,1.34489994,0.2578843022,0.0307189554,0.6778853783,0.4722357888,0.5460881747,0.4000000032,0.2624568848,0.2669816664,0.11,0.0730049642,0,0.0059155325,0.00564,0.000000544,0.0000014142,0.0000012384,,0,0,0,0,0,,440.560447
2025-04-15,285.4123409,119.7824802,11.65087649,13.08771227,5.139035171,4.25216659,2.4,1.31141934,0.2579024776,0.0228330929,0.8671877265,0.4723859524,0.5655549456,0.4000000032,0.4531811355,0.2559755553,0.08,0.0730049642,0,0.0108758413,0.006195,0,0.0000009428,0.0000012336,,0,0,0,0,0,,446.5011299
2025-04-16,287.0095161,112.4652872,11.96268452,15.35939947,5.127539974,4.335565704,2.4,1.44702864,0.2579159974,0.2282210672,0.8331092169,0.4724401896,0.549968342,0.4000000032,0.2870274756,0.2670866664,0.08,0.0730049642,0,0.0045274671,0.006009,0,0.0000009428,0.000000984,,0,0,0,0,0,,443.5663339
2025-04-17,285.7770281,106.5030476,11.81559748,11.25043027,5.176544087,4.243267869,2.4,1.37639724,0.258046169,1.795426406,0.718512768,0.4724401896,0.5425767,0.4000000032,0.2040967153,0.2669816664,0.09,0.0730049642,0,0.0050335826,0.005778,0,0.0000014142,0.0000009888,,0,0,0,0,0,,433.3742121
2025-04-18,285.278716,107.2321063,11.94166469,10.51090747,5.151459397,4.236335741,2.4,1.40017164,1.6161203,2.232303436,0.7286921942,0.4724401896,0.5471527562,0.4000000032,0.3161739412,0.2669816664,0.09,0.0730049642,0,0.0073214113,0.005865,0,0.0000009428,0.0000007392,,0,0,0,0,0,,434.9074187
2025-04-19,284.891845,107.1761684,11.83248558,10.88899347,5.128517328,4.231991066,2.4,1.42207464,2.507372688,2.270895704,0.7223079169,0.4724401896,0.5439694031,0.4000000032,0.2715762325,0.2668766664,0.08,0.0730049642,0,0.007603806,0.005865,0,0.0000009428,0.0000004896,,0,0,0,0,0,,435.5939894
2025-04-20,284.2986558,107.7207298,11.79752589,9.145787467,5.121933892,4.229595894,2.4,1.39461414,2.525850038,2.283432489,0.7228202237,0.4724401896,0.5406660877,0.4000000032,0.2938298153,0.2668766664,0.08,0.0730049642,0,0.0056729505,0.00621,0,0.0000014142,0.0000009936,,0,0,0,0,0,,433.7796488
2025-04-21,284.9059659,107.0770857,11.41302807,11.78152387,5.11107497,4.28872608,2.4,1.28967684,1.795688053,1.541257762,0.6997372794,0.4724401896,0.5499899966,0.4000000032,0.2732149094,0.2670866664,0.12,0.0730049642,0,0.0059735635,0.005871,0.0000008129,0.0000009428,0.0000007344,,0,0,0,0,0,,434.4713482
2025-04-22,287.7370344,107.7245223,11.38425662,8.694449867,5.089114323,4.271214165,2.4,1.25092224,1.733213363,1.483774436,0.6998015741,0.4734868959,0.5385190174,0.4000000032,0.2994428272,0.2669816664,0.08,0.0730049642,0,0.0038847283,0.006033,0,0.0000014142,0.0000009888,,0,0,0,0,0,,434.6096587
2025-04-23,285.0068139,107.4854049,11.35841787,6.381988667,5.118823349,4.270797368,2.4,1.26832134,1.855881052,1.604183487,0.6569364493,0.476476404,0.5405005854,0.4000000032,0.3036790415,0.2557655553,0.05,0.0730049642,0,0.0061769184,0.006102,0,0.0000014142,0.0000002448,0.000000042,0,0,0,0,0,,429.5192756
2025-04-24,285.7555653,108.8206379,11.34537689,6.394903467,5.128959925,4.256788567,2.4,1.531288455,1.932170453,1.63472089,0.7235662929,0.476476404,0.5411347887,0.4000000032,0.3370447981,0.2680316664,0.09,0.0730049642,0,0.0065973267,0.00819,0.0000224904,0.0000014142,0.0000014832,,0,0,0,0,0,,432.1244835
2025-04-25,285.9665582,108.2136492,11.48703558,6.196622667,5.132175809,4.259030905,2.4,1.652259574,2.193702269,1.891331842,0.7234582052,0.476476404,0.4592136,0.4000000032,0.2988554797,0.2703416664,0.07,0.0730049642,0,0.0065168157,0.01185,0.0000360073,0.0000018856,0.0000017328,,0,0,0,0,0,,432.1821228
2025-04-26,287.4380382,108.5571986,11.74093665,5.845503067,5.1281165,4.230404464,2.4,1.735152574,2.719646383,2.411705084,0.7106275557,0.476476404,0.6176041062,0.4000000032,0.2926041999,0.2698216664,0.07,0.0730049642,0,0.0074002487,0.01068,0.0000360114,0.0000018856,0.0000019776,,0,0,0,0,0,,435.1349605
2025-04-27,288.2417939,109.3425723,11.71624362,5.747421067,5.121876116,4.230587147,2.4,1.871771074,2.668787692,2.346559837,0.7353810436,0.476476404,0.6267898854,0.4000000032,0.3165221088,0.2679266664,0.07,0.0730049642,0,0.0094909505,0.009201,0.0000360156,0.0000014142,0.0000014832,,0,0,0,0,0,,436.6724448
2025-04-28,289.1915939,107.7038871,11.40705001,6.965465067,5.11359752,4.263560152,2.4,1.689405274,1.910659795,1.61707257,0.7096895328,0.476476404,0.5442622937,0.4000000032,0.2821030228,0.2686616664,0.09,0.0730049642,0,0.0053325808,0.010185,0.0000365612,0.0000014142,0.0000014832,,0,0,0,0,0,,435.1220463
2025-04-29,289.3432875,108.51106,11.3545013,6.622751867,5.107324969,4.268041456,2.4,1.671923974,1.925750578,1.629226785,0.7068117985,0.476476404,0.697590319,0.4000000032,0.2483731404,0.2572355553,0.07,0.0730049642,0,0.0058734129,0.0099,0.0000361008,0.0000014142,0.0000014835,,0,0,0,0,0,,435.779173
2025-04-30,290.9836564,120.6842763,11.61440089,6.291899867,5.108435818,4.331213738,2.4,1.709081461,2.035988498,1.734817319,0.7737616764,0.476476404,0.5517386445,0.4000000032,0.2576531842,0.2692916664,0.07,0.0730049642,0,0.0062759895,0.01242,0.0000360257,0.0000018856,0.000001978,,0,0,0,0,0,,449.7844328
