account_id,day,spend,service_id
002637409966,2025-04-26,104.62,11
002637409966,2025-04-26,0.0,62
002637409966,2025-04-26,56.01,8
002637409966,2025-04-26,0.0,68
002637409966,2025-04-26,0.01,55
002637409966,2025-04-26,78.95,6
002637409966,2025-04-26,12.94,21
002637409966,2025-04-26,0.0,95
002637409966,2025-04-26,0.0,47
002637409966,2025-04-26,1.28,40
002637409966,2025-04-26,0.0,43
002637409966,2025-04-26,2.19,29
002637409966,2025-04-26,161.88,4
002637409966,2025-04-26,5.1,3
002637409966,2025-04-26,2195.41,1
002637409966,2025-04-26,0.43,20
002637409966,2025-04-26,1.79,13
002637409966,2025-04-26,0.21,44
002637409966,2025-04-26,4.8,18
002637409966,2025-04-26,0.06,52
002637409966,2025-04-26,0.0,102
002637409966,2025-04-26,0.0,24
002637409966,2025-04-26,0.05,39
002637409966,2025-04-26,619.94,7
002637409966,2025-04-26,1.34,23
002637409966,2025-04-26,0.0,46
002637409966,2025-04-26,0.0,96
002637409966,2025-04-26,1821.38,2
003079193758,2025-04-26,4.63,11
003079193758,2025-04-26,0.0,62
003079193758,2025-04-26,17.16,8
003079193758,2025-04-26,0.01,68
003079193758,2025-04-26,0.01,55
003079193758,2025-04-26,17.37,6
003079193758,2025-04-26,0.0,95
003079193758,2025-04-26,1045.32,14
003079193758,2025-04-26,0.0,47
003079193758,2025-04-26,0.16,40
003079193758,2025-04-26,0.0,78
003079193758,2025-04-26,0.0,43
003079193758,2025-04-26,4.33,29
003079193758,2025-04-26,16.08,4
003079193758,2025-04-26,179.03,1
003079193758,2025-04-26,19.1,13
003079193758,2025-04-26,0.01,44
003079193758,2025-04-26,0.0,52
003079193758,2025-04-26,0.0,24
003079193758,2025-04-26,0.06,39
003079193758,2025-04-26,34.8,41
003079193758,2025-04-26,2.22,46
003079193758,2025-04-26,0.0,96
003079193758,2025-04-26,131.95,2
003079193758,2025-04-26,370.22,19
017820698743,2025-04-26,0.0,106
017820698743,2025-04-26,0.05,11
017820698743,2025-04-26,9.24,8
017820698743,2025-04-26,0.0,68
017820698743,2025-04-26,0.0,55
017820698743,2025-04-26,0.0,47
017820698743,2025-04-26,0.08,40
017820698743,2025-04-26,0.0,43
017820698743,2025-04-26,0.01,4
017820698743,2025-04-26,0.03,3
017820698743,2025-04-26,12.93,1
017820698743,2025-04-26,0.43,13
017820698743,2025-04-26,0.75,44
017820698743,2025-04-26,0.0,52
017820698743,2025-04-26,0.0,24
017820698743,2025-04-26,0.01,39
017820698743,2025-04-26,0.05,23
017820698743,2025-04-26,0.0,46
017820698743,2025-04-26,0.0,96
017820698743,2025-04-26,1.64,2
021891570382,2025-04-26,0.0,106
021891570382,2025-04-26,6.28,11
021891570382,2025-04-26,13.94,8
021891570382,2025-04-26,0.0,68
021891570382,2025-04-26,0.0,55
021891570382,2025-04-26,5.58,6
021891570382,2025-04-26,0.0,47
021891570382,2025-04-26,0.19,40
021891570382,2025-04-26,0.0,43
021891570382,2025-04-26,0.0,29
021891570382,2025-04-26,0.69,4
021891570382,2025-04-26,62.67,3
021891570382,2025-04-26,210.55,1
021891570382,2025-04-26,1.37,13
021891570382,2025-04-26,0.21,44
021891570382,2025-04-26,16.8,18
021891570382,2025-04-26,0.0,52
021891570382,2025-04-26,41.1,5
021891570382,2025-04-26,0.01,39
021891570382,2025-04-26,0.2,24
021891570382,2025-04-26,44.5,7
021891570382,2025-04-26,1.69,23
021891570382,2025-04-26,0.0,46
021891570382,2025-04-26,0.0,96
021891570382,2025-04-26,222.6,2
028914776520,2025-04-26,9.33,11
028914776520,2025-04-26,9.81,22
028914776520,2025-04-26,20.23,8
028914776520,2025-04-26,0.0,68
