account_id,account_name,month,spend
469795226344,billing account_ocl ,2024-04-01,1452999.884
469795226344,billing account_ocl ,2024-05-01,1450091.221
469795226344,billing account_ocl ,2024-06-01,1355992.166
469795226344,billing account_ocl ,2024-07-01,1554342.406
469795226344,billing account_ocl ,2024-08-01,770273.8692
469795226344,billing account_ocl ,2024-09-01,1248027.523
469795226344,billing account_ocl ,2024-10-01,244865.5125
469795226344,billing account_ocl ,2024-11-01,236544.87
469795226344,billing account_ocl ,2024-12-01,1183903.575
469795226344,billing account_ocl ,2025-01-01,1234422.942
469795226344,billing account_ocl ,2025-02-01,1074178.163
469795226344,billing account_ocl ,2025-03-01,1042094.349
352506242819,payments-platform_prod_ocl ,2024-04-01,580158.2976
352506242819,payments-platform_prod_ocl ,2024-05-01,489421.9721
352506242819,payments-platform_prod_ocl ,2024-06-01,453036.8498
352506242819,payments-platform_prod_ocl ,2024-07-01,421904.8879
352506242819,payments-platform_prod_ocl ,2024-08-01,383331.3641
352506242819,payments-platform_prod_ocl ,2024-09-01,395840.5548
352506242819,payments-platform_prod_ocl ,2024-10-01,-0.000104094
352506242819,payments-platform_prod_ocl ,2024-11-01,320903.0467
352506242819,payments-platform_prod_ocl ,2024-12-01,421372.814
352506242819,payments-platform_prod_ocl ,2025-01-01,424630.061
352506242819,payments-platform_prod_ocl ,2025-02-01,392592.3674
352506242819,payments-platform_prod_ocl ,2025-03-01,86238.76556
628412515026,Datalake AWS ,2024-04-01,367227.3155
628412515026,Datalake AWS ,2024-05-01,332440.1843
628412515026,Datalake AWS ,2024-06-01,326660.5301
628412515026,Datalake AWS ,2024-07-01,315821.7148
628412515026,Datalake AWS ,2024-08-01,318743.0058
628412515026,Datalake AWS ,2024-09-01,312069.7234
628412515026,Datalake AWS ,2024-10-01,614.3582496
628412515026,Datalake AWS ,2024-11-01,315690.3559
628412515026,Datalake AWS ,2024-12-01,343975.3241
628412515026,Datalake AWS ,2025-01-01,340700.6241
628412515026,Datalake AWS ,2025-02-01,325927.6341
628412515026,Datalake AWS ,2025-03-01,379382.1937
567423616371,parent account_ocl ,2024-04-01,231802.1358
