account_id,service_name,2025-04-26,2025-04-27,2025-04-28,2025-04-29,2025-04-30,2025-05-01,2025-05-02,total_cost
017820698743,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,AWS Secrets Manager,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.54
017820698743,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,Amazon Simple Storage Service,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.02
017820698743,Amazon Relational Database Service,0.03,0.03,0.03,0.03,0,0.03,0.03,0.18
017820698743,EC2 - Other,12.93,12.93,12.93,12.93,9.34,12.66,12.63,86.35
017820698743,Amazon DynamoDB,0.43,0.43,0.43,0.43,0.34,0.43,0.43,2.92
017820698743,AWS Key Management Service,0.75,0.75,0.75,0.76,0.57,0.73,0.73,5.04
017820698743,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,Amazon Route 53,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
017820698743,AWS Cost Explorer,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.19
017820698743,Amazon EC2 Container Registry (ECR),0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.34
017820698743,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
017820698743,Amazon Elastic Compute Cloud - Compute,1.64,1.68,1.95,1.99,1.6,1.89,1.86,12.61
021891570382,AWS CloudFormation,0,0,0,0.0,0,0,0,0.0
021891570382,AmazonCloudWatch,6.28,3.44,3.89,3.8,3.2,7.62,7.28,35.51
021891570382,Amazon Virtual Private Cloud,13.94,13.92,14.09,13.99,11.36,13.97,13.96,95.23
021891570382,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,AWS Service Catalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,Amazon Elastic Load Balancing,5.58,5.51,5.67,5.69,4.55,5.76,5.81,38.57
021891570382,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,AWS Secrets Manager,0.19,0.19,0.19,0.18,0.15,0.19,0.18,1.27
021891570382,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,Amazon Simple Storage Service,0.69,0.63,0.64,0.73,0.66,1.14,1.72,6.21
021891570382,Amazon Relational Database Service,62.67,62.67,62.67,62.67,47.0,62.51,62.51,422.7
021891570382,EC2 - Other,210.55,207.06,218.82,218.59,137.3,213.66,215.12,1421.1
021891570382,Amazon DynamoDB,1.37,1.37,1.54,1.57,1.25,1.57,1.57,10.24
021891570382,AWS Key Management Service,0.21,0.21,0.21,0.21,0.16,0.2,0.2,1.4
021891570382,Amazon Elastic Container Service for Kubernetes,16.8,16.8,16.8,16.8,13.3,16.8,16.8,114.1
021891570382,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,Amazon Elastic MapReduce,41.1,40.72,41.1,40.72,32.29,40.72,43.11,279.76
021891570382,AWS Cost Explorer,0.01,0.01,0.01,0.01,0.05,0.06,0.04,0.19
021891570382,Amazon Route 53,0.2,0.21,0.18,0.18,0.14,1.38,0.39,2.68
021891570382,Amazon ElastiCache,44.5,44.5,44.5,44.5,35.23,44.5,44.5,302.23
021891570382,Amazon EC2 Container Registry (ECR),1.69,1.69,1.69,1.69,1.34,1.64,1.64,11.38
021891570382,Amazon Simple Queue Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
021891570382,Amazon Elastic Compute Cloud - Compute,222.6,222.18,294.55,316.17,257.21,323.91,314.29,1950.91
028914776520,AmazonCloudWatch,9.33,9.09,8.08,8.08,6.33,10.22,10.21,61.34
028914776520,AWS Direct Connect,9.81,9.76,9.74,9.74,7.94,9.77,9.79,66.55
028914776520,Amazon Virtual Private Cloud,20.23,20.34,20.45,20.43,16.22,20.38,20.5,138.55
028914776520,Amazon Simple Notification Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,CloudWatch Events,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,AWS Service Catalog,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.05
028914776520,Amazon Elastic Load Balancing,30.62,30.08,29.81,29.46,26.07,30.25,31.08,207.37
028914776520,AWS CloudTrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,AWS Secrets Manager,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.2
028914776520,AWS Backup,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
028914776520,AWS Glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,AWS Lambda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,Amazon Simple Storage Service,25.04,24.38,26.1,27.68,26.04,24.91,24.68,178.83
028914776520,EC2 - Other,141.26,140.79,140.8,141.12,93.76,137.32,133.38,928.43
028914776520,Amazon Elastic File System,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07
028914776520,Amazon DynamoDB,0.09,0.09,0.09,0.09,0.07,0.09,0.09,0.61
028914776520,AWS Key Management Service,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.27
028914776520,AWS Network Firewall,37.98,37.97,37.98,37.98,30.06,37.97,37.98,257.92
028914776520,AWS Config,2.2,2.56,2.06,2.06,0,3.17,3.11,15.16
028914776520,Amazon Elastic Container Service for Kubernetes,4.8,4.8,4.8,4.8,3.8,4.8,4.8,32.6
028914776520,AWS Step Functions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,AWS CloudShell,0,0,0,0,0,0.0,0,0.0
028914776520,Amazon Route 53,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
028914776520,AWS Cost Explorer,0.14,0.13,0.12,0.14,0.12,0.13,0.13,0.91
028914776520,Amazon EC2 Container Registry (ECR),0.14,0.14,0.14,0.15,0.12,0.14,0.14,0.97
028914776520,Amazon Simple Queue Service,0.94,0.95,0.97,0.97,0.9,0.99,1.01,6.73
028914776520,Amazon Simple Workflow Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
028914776520,Amazon Elastic Compute Cloud - Compute,173.46,171.92,172.03,172.42,137.7,175.43,176.83,1179.79
054736913503,AmazonCloudWatch,0.11,0.11,0.11,0.11,0.08,0.26,0.26,1.04
054736913503,CloudWatch Events,0,0,0.0,0.0,0.0,0.0,0.0,0.0
054736913503,Amazon Virtual Private Cloud,14.96,14.96,15.21,15.21,12.09,15.21,15.21,102.85
