account_id,month,aop_amount,aop_proportion_pct,min_comm_proportion
896760538,2024-04-01,0.0,0.0,0.0
896760538,2024-05-01,0.0,0.0,0.0
896760538,2024-06-01,0.0,0.0,0.0
896760538,2024-07-01,0.0,0.0,0.0
896760538,2024-08-01,0.0,0.0,0.0
896760538,2024-09-01,0.0,0.0,0.0
896760538,2024-10-01,0.0,0.0,0.0
896760538,2024-11-01,0.0,0.0,0.0
896760538,2024-12-01,0.0,0.0,0.0
896760538,2025-01-01,0.0,0.0,0.0
896760538,2025-02-01,0.0,0.0,0.0
896760538,2025-03-01,0.0,0.0,0.0
2637409966,2024-04-01,250000.0,0.26,154051.56
2637409966,2024-05-01,250000.0,0.26,154051.56
2637409966,2024-06-01,250000.0,0.26,154051.56
2637409966,2024-07-01,200000.0,0.21,123241.24
2637409966,2024-08-01,200000.0,0.21,123241.24
2637409966,2024-09-01,200000.0,0.21,123241.24
2637409966,2024-10-01,200000.0,0.21,123241.24
2637409966,2024-11-01,200000.0,0.21,123241.24
2637409966,2024-12-01,200000.0,0.21,123241.24
2637409966,2025-01-01,200000.0,0.21,123241.24
2637409966,2025-02-01,200000.0,0.21,123241.24
2637409966,2025-03-01,200000.0,0.21,123241.24
3079193758,2024-04-01,80000.0,0.08,49296.5
3079193758,2024-05-01,80000.0,0.08,49296.5
3079193758,2024-06-01,90000.0,0.09,55458.56
3079193758,2024-07-01,90000.0,0.09,55458.56
3079193758,2024-08-01,100000.0,0.1,61620.62
3079193758,2024-09-01,100000.0,0.1,61620.62
3079193758,2024-10-01,110000.0,0.11,67782.68
3079193758,2024-11-01,110000.0,0.11,67782.68
3079193758,2024-12-01,120000.0,0.12,73944.75
3079193758,2025-01-01,120000.0,0.12,73944.75
3079193758,2025-02-01,130000.0,0.13,80106.81
3079193758,2025-03-01,130000.0,0.13,80106.81
9124235587,2024-04-01,0.0,0.0,0.0
9124235587,2024-05-01,0.0,0.0,0.0
9124235587,2024-06-01,0.0,0.0,0.0
9124235587,2024-07-01,0.0,0.0,0.0
9124235587,2024-08-01,0.0,0.0,0.0
9124235587,2024-09-01,0.0,0.0,0.0
9124235587,2024-10-01,0.0,0.0,0.0
9124235587,2024-11-01,0.0,0.0,0.0
9124235587,2024-12-01,0.0,0.0,0.0
9124235587,2025-01-01,0.0,0.0,0.0
9124235587,2025-02-01,0.0,0.0,0.0
9124235587,2025-03-01,0.0,0.0,0.0
10840421276,2024-04-01,0.0,0.0,0.0
