account_id,month,aop_amount
072401294672,2025-04-01,10474.6
072401294672,2025-05-01,10684.1
072401294672,2025-06-01,10897.8
072401294672,2025-07-01,11115.8
072401294672,2025-08-01,11338.1
072401294672,2025-09-01,11564.9
072401294672,2025-10-01,11796.2
072401294672,2025-11-01,12032.1
072401294672,2025-12-01,12272.7
072401294672,2026-01-01,12518.2
072401294672,2026-02-01,12768.5
072401294672,2026-03-01,13023.9
901553615594,2025-04-01,54216.3
901553615594,2025-05-01,55300.6
901553615594,2025-06-01,56406.6
901553615594,2025-07-01,57534.8
901553615594,2025-08-01,58685.5
901553615594,2025-09-01,59859.2
901553615594,2025-10-01,61056.4
901553615594,2025-11-01,62277.5
901553615594,2025-12-01,63523.0
901553615594,2026-01-01,64793.5
901553615594,2026-02-01,66089.4
901553615594,2026-03-01,67411.1
480732456233,2025-04-01,7251.3
480732456233,2025-05-01,7396.3
480732456233,2025-06-01,7544.3
480732456233,2025-07-01,7695.2
480732456233,2025-08-01,7849.1
480732456233,2025-09-01,8006.0
480732456233,2025-10-01,8166.2
480732456233,2025-11-01,8329.5
480732456233,2025-12-01,8496.1
480732456233,2026-01-01,8666.0
480732456233,2026-02-01,8839.3
480732456233,2026-03-01,9016.1
182401677120,2025-04-01,28909.8
182401677120,2025-05-01,29488.0
182401677120,2025-06-01,30077.7
182401677120,2025-07-01,30679.3
182401677120,2025-08-01,31292.9
182401677120,2025-09-01,31918.7
182401677120,2025-10-01,32557.1
182401677120,2025-11-01,33208.2
182401677120,2025-12-01,33872.4
182401677120,2026-01-01,34549.9
182401677120,2026-02-01,35240.8
182401677120,2026-03-01,35945.7
389881277731,2025-04-01,871.1
389881277731,2025-05-01,888.5
389881277731,2025-06-01,906.3
389881277731,2025-07-01,924.4
389881277731,2025-08-01,942.9
389881277731,2025-09-01,961.8
389881277731,2025-10-01,981.0
389881277731,2025-11-01,1000.6
389881277731,2025-12-01,1020.6
389881277731,2026-01-01,1041.0
389881277731,2026-02-01,1061.8
389881277731,2026-03-01,1083.1
745098155683,2025-04-01,647.9
745098155683,2025-05-01,660.9
745098155683,2025-06-01,674.1
745098155683,2025-07-01,687.6
745098155683,2025-08-01,701.3
745098155683,2025-09-01,715.3
745098155683,2025-10-01,729.6
745098155683,2025-11-01,744.2
745098155683,2025-12-01,759.1
745098155683,2026-01-01,774.3
745098155683,2026-02-01,789.8
745098155683,2026-03-01,805.6
997924011427,2025-04-01,4543.7
997924011427,2025-05-01,4634.5
997924011427,2025-06-01,4727.2
997924011427,2025-07-01,4821.8
997924011427,2025-08-01,4918.2
997924011427,2025-09-01,5016.6
997924011427,2025-10-01,5116.9
997924011427,2025-11-01,5219.2
997924011427,2025-12-01,5323.6
997924011427,2026-01-01,5430.1
997924011427,2026-02-01,5538.7
997924011427,2026-03-01,5649.5
630307967658,2025-04-01,1138.1
630307967658,2025-05-01,1160.9
630307967658,2025-06-01,1184.1
630307967658,2025-07-01,1207.8
630307967658,2025-08-01,1231.9
630307967658,2025-09-01,1256.6
630307967658,2025-10-01,1281.7
630307967658,2025-11-01,1307.3
630307967658,2025-12-01,1333.5
630307967658,2026-01-01,1360.1
630307967658,2026-02-01,1387.3
630307967658,2026-03-01,1415.1
495419344110,2025-04-01,10176.0
495419344110,2025-05-01,10379.5
495419344110,2025-06-01,10587.1
495419344110,2025-07-01,10798.8
495419344110,2025-08-01,11014.8
495419344110,2025-09-01,11235.1
495419344110,2025-10-01,11459.8
495419344110,2025-11-01,11689.0
495419344110,2025-12-01,11922.8
495419344110,2026-01-01,12161.2
495419344110,2026-02-01,12404.5
495419344110,2026-03-01,12652.5
761904723706,2025-04-01,35909.8
761904723706,2025-05-01,36628.0
761904723706,2025-06-01,37360.6
761904723706,2025-07-01,38107.8
761904723706,2025-08-01,38869.9
761904723706,2025-09-01,39647.3
761904723706,2025-10-01,40440.3
761904723706,2025-11-01,41249.1
761904723706,2025-12-01,42074.1
