account_id,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
758230397644,  14.1000 K,  14.1000 K,  14.5000 K,  14.5000 K,  14.5000 K,  15.0000 K,  15.0000 K,  15.0000 K,  15.0000 K,  15.0000 K,  15.0000 K,  15.0000 K
992382517474,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.1000 K,  1.2000 K,  1.2000 K,  1.2000 K
542832536672,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
798411736697,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
445736908015,  110.0000 K,  110.0000 K,  115.0000 K,  115.0000 K,  115.0000 K,  120.0000 K,  120.0000 K,  120.0000 K,  125.0000 K,  125.0000 K,  125.0000 K,  130.0000 K
442447453008,  5.8000 K,  7.3000 K,  7.3000 K,  7.3000 K,  8.7000 K,  8.7000 K,  10.2000 K,  10.2000 K,  10.2000 K,  11.6000 K,  11.6000 K,  11.6000 K
176839215860,,,,,,,,,,,,
664526282133,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K,  2.6000 K
453914767997,,,,,,,,,,,,
Premium Support,,,,,,,,,,,,
469795226344,,,,,,,,,,,,
015680176265,,,,,,,,,,,,
65278587813,  4.8163 K,  4.8154 K,  4.8155 K,  4.8156 K,  4.8157 K,  4.8156 K,  4.8156 K,  4.8156 K,  4.8156 K,  4.8156 K,  4.8156 K,  4.8156 K
302399626617,  0.0370 K,  0.0374 K,  0.0376 K,  0.0376 K,  0.0374 K,  0.0375 K,  0.0375 K,  0.0375 K,  0.0375 K,  0.0375 K,  0.0375 K,  0.0375 K
919275210163,  0.3374 K,  0.3369 K,  0.3370 K,  0.3369 K,  0.3371 K,  0.3370 K,  0.3370 K,  0.3370 K,  0.3370 K,  0.3370 K,  0.3370 K,  0.3370 K
477815026673,  0.1305 K,  0.1303 K,  0.1303 K,  0.1302 K,  0.1303 K,  0.1303 K,  0.1303 K,  0.1303 K,  0.1303 K,  0.1303 K,  0.1303 K,  0.1303 K
695745283037,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K,  0.0043 K
576349278157,  0.0482 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K,  0.0481 K
271855570343,  0.7623 K,  0.7610 K,  0.7609 K,  0.7607 K,  0.7612 K,  0.7610 K,  0.7610 K,  0.7610 K,  0.7610 K,  0.7610 K,  0.7610 K,  0.7610 K
580053151223,  4.1709 K,  4.1790 K,  4.1858 K,  4.1807 K,  4.1791 K,  4.1811 K,  4.1817 K,  4.1806 K,  4.1806 K,  4.1810 K,  4.1810 K,  4.1808 K
973103936838,  0.5586 K,  0.5602 K,  0.5604 K,  0.5592 K,  0.5596 K,  0.5598 K,  0.5598 K,  0.5596 K,  0.5597 K,  0.5597 K,  0.5597 K,  0.5597 K
537598503159,  7.2336 K,  7.2783 K,  7.2805 K,  7.2674 K,  7.2649 K,  7.2728 K,  7.2714 K,  7.2691 K,  7.2695 K,  7.2707 K,  7.2702 K,  7.2699 K
123964038738,  14.8449 K,  14.8304 K,  14.8310 K,  14.8263 K,  14.8332 K,  14.8302 K,  14.8302 K,  14.8300 K,  14.8309 K,  14.8303 K,  14.8303 K,  14.8304 K
