account_id,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
218943325897,  0.6000 K,  0.6000 K,  0.6000 K,  0.6000 K,  0.7000 K,  0.7000 K,  0.7000 K,  0.7000 K,  0.7000 K,  0.7000 K,  0.7000 K,  0.7000 K
161282784430,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
811134095225,  61.6000 K,  62.7000 K,  63.9000 K,  59.7000 K,  60.9000 K,  62.1000 K,  63.4000 K,  64.6000 K,  65.9000 K,  67.2000 K,  68.6000 K,  70.0000 K
975049957371,  33.3000 K,  34.0000 K,  34.7000 K,  35.4000 K,  36.1000 K,  36.8000 K,  37.5000 K,  38.3000 K,  39.0000 K,  39.8000 K,  40.6000 K,  41.4000 K
419830208690,  24.3850 K,  24.8727 K,  25.3702 K,  25.8776 K,  26.3951 K,  26.9230 K,  27.4615 K,  28.0107 K,  28.5710 K,  29.1424 K,  29.7252 K,  30.3197 K
628412515026,  482.9000 K,  439.5000 K,  431.3000 K,  439.9000 K,  448.7000 K,  457.7000 K,  466.9000 K,  476.2000 K,  485.7000 K,  495.4000 K,  505.4000 K,  515.5000 K
471112571211,  274.5000 K,  277.2000 K,  279.9000 K,  282.6000 K,  285.4000 K,  288.2000 K,  291.0000 K,  293.8000 K,  296.7000 K,  299.6000 K,  302.5000 K,  305.5000 K
863780864233,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
442231926211,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
97001033170,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K,  3.5000 K
3079193758,  57.0000 K,  59.0000 K,  61.0000 K,  62.0000 K,  64.0000 K,  66.0000 K,  68.0000 K,  70.0000 K,  72.0000 K,  74.0000 K,  76.0000 K,  78.0000 K
28914776520,  15.6000 K,  15.6000 K,  15.6000 K,  17.0000 K,  17.0000 K,  17.0000 K,  17.5000 K,  17.5000 K,  17.5000 K,  17.5000 K,  17.5000 K,  17.0000 K
848332057417,  4.0000 K,  4.0000 K,  4.5000 K,  4.5000 K,  4.5000 K,  4.5000 K,  4.5000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K,  5.0000 K
66548792077,  1.5000 K,  1.5000 K,  1.5000 K,  1.6000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K,  1.7000 K
821240137883,  2.0000 K,  2.0000 K,  2.0000 K,  1.9000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K,  2.0000 K
494799526181,  1.4000 K,  1.4000 K,  1.4000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K,  1.5000 K
906954799739,  14.2868 K,  14.5725 K,  14.8640 K,  15.1613 K,  15.4645 K,  15.7738 K,  16.0893 K,  16.4110 K,  16.7393 K,  17.0741 K,  17.4155 K,  17.7638 K
975049937880,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
851725259472,  21.7000 K,  22.1000 K,  22.6000 K,  23.0000 K,  23.5000 K,  23.9000 K,  24.4000 K,  24.9000 K,  25.4000 K,  25.9000 K,  26.4000 K,  27.0000 K
860971823470,,,,,,,,,,,,
797142548187,,,,,,,,,,,,
272968093320,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K,  1.3000 K
789596305652,  8.7000 K,  10.2000 K,  10.2000 K,  10.2000 K,  11.6000 K,  11.6000 K,  11.6000 K,  11.6000 K,  11.6000 K,  14.5000 K,  14.5000 K,  15.7000 K
656952484900,,,,,,,,,,,,
470060591194,,,,,,,,,,,,
322263815270,,,,,,,,,,,,
185774682289,,,,,,,,,,,,
762730909359,,,,,,,,,,,,
11420223908,,,,,,,,,,,,
211125336551,,,,,,,,,,,,
992382687474,,,,,,,,,,,,
381492193378,,,,,,,,,,,,
339712912282,,,,,,,,,,,,
736121233725,,,,,,,,,,,,
851725496687,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K,  9.0000 K
370214104985,,,,,,,,,,,,
582604545400,,,,,,,,,,,,
9124235587,,,,,,,,,,,,
423387369363,,,,,,,,,,,,
58264391305,,,,,,,,,,,,
654654145181,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K,  3.0000 K
590183908249,,,,,,,,,,,,
807119641913,,,,,,,,,,,,
159245624542,,,,,,,,,,,,
661338130494,,,,,,,,,,,,
907058949943,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
905418158003,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.5000 K,  0.5000 K,  0.5000 K,  0.5000 K,  0.5000 K
767397877262,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.4000 K,  0.5000 K,  0.5000 K,  0.5000 K,  0.5000 K,  0.5000 K,  0.5000 K
654654138046,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K,  0.3000 K
318633126153,  0.4000 K,  4.2000 K,  4.2000 K,  4.2000 K,  4.2000 K,  4.2000 K,  4.1000 K,  4.0000 K,  4.1000 K,  4.1000 K,  4.1000 K,  4.1000 K
474140895141,  8.6000 K,  9.3000 K,  9.6000 K,  7.5000 K,  7.2000 K,  7.0000 K,  7.1000 K,  7.1000 K,  7.1000 K,  7.1000 K,  7.1000 K,  7.1000 K
367464822874,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K,  0.2000 K
661338130494,  0.1000 K,  0.1000 K,  0.2000 K,  0.1000 K,  0.1000 K,  0.1000 K,  0.1000 K,  0.1000 K,  0.2000 K,  0.1000 K,  0.1000 K,  0.1000 K
